t_ns,value
96315277737546,46.0
96317037740775,43.0
96317197745932,42.0
96317357740723,43.0
96317517740567,46.0
96319437739606,45.0
96319757743668,41.0
96319917744658,47.0
96320877783721,44.0
96321037741846,37.0
96321197744658,34.0
96321357740023,37.0
96321517803564,47.0
96321677742262,48.0
96322477745700,47.0
96322797743616,46.0
96322957742366,44.0
96323117744033,43.0
96323277740179,42.0
96323597741950,43.0
96323757742054,44.0
96324237743304,45.0
96324397742731,47.0
96324557739762,49.0
96324877743200,47.0
96325037741168,40.0
96325197740127,47.0
96325517743773,43.0
96325677878148,47.0
96325837739033,36.0
96325997744606,35.0
96326157741689,42.0
96326317743356,36.0
96326477742262,47.0
96327117741741,36.0
96327277739241,47.0
96327437741377,46.0
96327597743773,47.0
96327917739971,39.0
96328077810596,37.0
96328237742314,40.0
96328397743825,39.0
96328557740596,35.0
96328717896846,34.0
96328877741846,38.0
96329037742575,37.0
96329197739762,42.0
96329357925908,45.0
96329517742262,43.0
96329677744658,41.0
96329837740387,48.0
96330157742887,47.0
96330957743304,46.0
96331277738877,47.0
96331597743616,46.0
96334477740127,47.0
96338157741533,45.0
96338317742783,39.0
96338477739346,34.0
96339277743304,36.0
96339437745023,38.0
96339597741950,34.0
96340237745700,42.0
96340397739346,47.0
96344237744866,46.0
96344557741012,47.0
96346317739866,48.0
96346797744710,47.0
96346957740075,46.0
96347597740023,47.0
96348237739554,46.0
96348877740856,47.0
96350957739971,46.0
96351117839033,47.0
96355437746116,47.0
96359757744814,47.0
96361037821377,48.0
96361197741429,47.0
96361677915908,45.0
96361837741898,38.0
96361997745023,39.0
96362157739502,40.0
96362317742523,44.0
96362477741585,46.0
96363597745127,47.0
96367917741793,47.0
96370637746221,46.0
96372397742366,45.0
96372557741846,38.0
96372717740335,33.0
96373357740075,34.0
96373517739554,33.0
96373677739554,34.0
96373997739502,33.0
96374157739346,34.0
96374477789918,35.0
96374637746377,43.0
96374797739293,46.0
96376557744450,47.0
96376717740908,48.0
96378957742366,49.0
96383277739428,49.0
96384877742240,48.0
96385677741719,49.0
96385837743282,48.0
96385997739375,36.0
96386157740417,31.0
96386317744636,22.0
96386477745782,20.0
96387117743907,19.0
96387437825365,21.0
96387597742761,32.0
96391917739844,32.0
96393037745000,33.0
96393357885678,34.0
96393677742605,36.0
96393837739428,43.0
96393997742813,46.0
96394157745000,47.0
96394317742500,48.0
96394637741250,47.0
96394957742396,46.0
96395117739167,42.0
96395277738698,37.0
96395437742605,36.0
96395597742500,35.0
96395757739688,34.0
96396717742761,35.0
96396877745157,34.0
96397997855938,35.0
96398157744428,38.0
96398317742500,39.0
96398477742344,42.0
96398637892344,44.0
96398957742136,45.0
96400077743594,44.0
96400237744375,43.0
96400557741719,42.0
