t_s,lat,lon,x_m,y_m,v,heading_deg,mode,sim,k,sigma_pos,v_model,sigma_model,stop,tick_ms,model_ms,corridor_id,s_m,d_m
0.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.133,0.000,,,
0.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.041,0.000,,,
0.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.060,0.000,,,
0.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.062,0.000,,,
0.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.136,0.000,,,
0.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.536,0.000,,,
0.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.134,0.000,,,
0.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.134,0.000,,,
0.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.258,0.000,,,
1.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.212,0.000,,,
1.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.202,0.000,,,
1.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.223,0.000,,,
1.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.249,0.000,,,
1.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.191,0.000,,,
1.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.230,0.000,,,
1.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.232,0.000,,,
1.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.220,0.000,,,
1.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.204,0.000,,,
1.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.197,0.000,,,
2.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.262,0.000,,,
2.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.264,0.000,,,
2.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.283,0.000,,,
2.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.119,0.000,,,
2.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.205,0.000,,,
2.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.144,0.000,,,
2.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,1.675,1.390,,,
2.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,1.565,1.289,,,
2.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,1.261,0.962,,,
2.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,1.213,1.000,,,
3.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,1.508,1.197,,,
3.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,1.310,1.040,,,
3.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,0.587,0.474,,,
3.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,0.623,0.508,,,
3.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,1.060,0.787,,,
3.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,0.849,0.700,,,
3.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,0.584,0.470,,,
3.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,1.431,1.205,,,
3.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.004,0.050,1,0.687,0.555,,,
3.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,1.102,0.801,,,
4.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,0.560,0.451,,,
4.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,0.908,0.735,,,
4.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,1.119,0.926,,,
4.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,1.591,1.337,,,
4.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.003,0.050,1,1.460,1.145,,,
4.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,1.481,1.218,,,
4.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.002,0.050,1,1.328,1.041,,,
