t_ns,hPa
97366238370006,982.6533
97366278368860,982.6531
97366318368287,982.6487
97366358370058,982.6533
97366398370527,982.6533
97366438369694,982.6533
97366478511777,982.6521
97366518372714,982.65845
97366558375006,982.6604
97366598376412,982.65967
97366638375735,982.655
97366678471985,982.655
97366718372089,982.66455
97366758372975,982.66187
97366798374642,982.6577
97366838374225,982.6572
97366878413392,982.65454
97366918373912,982.65576
97366958372194,982.65186
97366998374902,982.6548
97367038375110,982.6587
97367078376933,982.6548
97367118372975,982.6614
97367158372610,982.6599
97367198379225,982.6531
97367238374017,982.65454
97367278374798,982.6572
97367318593652,982.65796
97367358373079,982.6538
97367398372819,982.6538
97367438374225,982.65015
97367478373756,982.6472
97367518452089,982.65063
97367558372506,982.64844
97367598372402,982.6538
97367638374485,982.65063
97367678374642,982.6548
97367718374225,982.65967
97367758372037,982.6587
97367798372402,982.66187
97367838373964,982.666
97367878374225,982.6572
97367918372714,982.6533
97367958375162,982.64844
97367998372350,982.65674
97368038373600,982.65967
97368078375162,982.65674
97368118376256,982.66675
97368158526569,982.6675
97368198373548,982.6594
97368238373079,982.6609
97368278376100,982.6633
97368318374902,982.66235
97368358405423,982.6616
97368398373496,982.6614
97368438372350,982.6565
97368478375319,982.65796
97368518374173,982.66064
97368558374746,982.6636
97368598374485,982.656
97368638372506,982.6604
97368678379277,982.66187
97368718375267,982.66284
97368758375839,982.66797
97368798557506,982.6655
97368838372194,982.6638
97368878372506,982.6609
97368918375683,982.65625
97368958373652,982.656
97368998436256,982.66113
97369038373027,982.6665
97369078373600,982.66895
97369118373600,982.6653
97369158375527,982.655
97369198375371,982.65576
97369238373079,982.66016
97369278373600,982.6572
97369318374746,982.6614
97369358375162,982.6587
97369398376569,982.655
97369438567246,982.6572
97369478373183,982.65454
97369518374173,982.6487
97369558374485,982.64087
97369598374694,982.64355
97369638532767,982.63916
97369678372558,982.6494
97369718372454,982.65576
97369758396204,982.6521
97369798374069,982.6548
97369838375527,982.65625
97369878372454,982.656
97369918372662,982.6575
97369958374225,982.65796
97369998376100,982.6572
97370038373600,982.6548
97370078374381,982.6638
97370118372662,982.6587
97370158374902,982.65576
97370198375423,982.6572
97370238376048,982.66797
97370278559173,982.66455
97370318372194,982.6643
97370358373235,982.6675
97370398374642,982.6648
97370438372871,982.6594
97370478420839,982.6543
97370518371985,982.6521
97370558372923,982.64795
97370598374642,982.64966
97370638372246,982.6565
97370678373808,982.65454
97370718371777,982.6494
97370758372506,982.6531
97370798377246,982.6565
97370838373964,982.6575
97370878374694,982.66064
97370918375006,982.6643
97370958372402,982.66626
97370998373860,982.66895
97371038374537,982.6658
97371078375162,982.6577
97371118499121,982.6511
97371158372246,982.64746
97371198372037,982.64844
97371238382350,982.6494
97371278374381,982.6533
97371318376881,982.64746
97371358371933,982.6572
97371398372558,982.65796
97371438405683,982.6604
97371478375319,982.6616
97371518376829,982.6621
97371558373287,982.6555
97371598372558,982.6521
97371638375996,982.65674
97371678373652,982.65674
97371718376777,982.6599
97371758523444,982.6616
97371798372767,982.6658
97371838374017,982.6621
97371878376725,982.6692
97371918372767,982.6643
97371958402871,982.6658
97371998371881,982.6643
97372038372454,982.6704
97372078374381,982.6721
97372118375214,982.67065
97372158372819,982.6609
97372198373339,982.66284
97372238372662,982.6633
97372278374485,982.6648
97372318375110,982.6753
97372358383912,982.6736
97372398374798,982.6648
97372438373027,982.6655
97372478373392,982.66846
97372518374433,982.6604
97372558374798,982.6621
97372598402558,982.6633
97372638372871,982.66895
97372678372610,982.66626
97372718374277,982.6648
97372758375006,982.6616
97372798373496,982.66113
97372838372923,982.667
97372878372819,982.6665
97372918375423,982.6658
97372958375006,982.6682
97372998376933,982.66504
97373038375892,982.6587
97373078371933,982.6638
97373118376881,982.6548
97373158374850,982.655
97373198373756,982.65796
97373238514277,982.6653
97373278371933,982.6526
97373318374694,982.65625
97373358374173,982.65283
97373398374537,982.64624
97373438396048,982.6428
97373478372558,982.646
97373518371985,982.65015
97373558374954,982.65137
97373598374694,982.65137
97373638374642,982.6489
97373678374485,982.65015
97373718373704,982.64746
97373758375944,982.6594
97373798375683,982.66113
97373838376517,982.66455
97373878586725,982.6631
97373918371673,982.66724
97373958371673,982.66675
97373998374694,982.66187
97374038374485,982.66797
97374078461777,982.67285
97374118372610,982.67114
97374158373392,982.66846
97374198373704,982.6675
97374238374485,982.6655
97374278372298,982.66846
97374318372194,982.66235
97374358372871,982.6638
97374398375214,982.6616
97374438374746,982.656
97374478375371,982.6548
97374518374746,982.6521
97374558372871,982.6587
97374598372454,982.6587
97374638373704,982.65356
97374678374902,982.65405
97374718520423,982.6599
97374758371673,982.6699
97374798372037,982.67456
97374838374381,982.6726
97374878373339,982.6648
97374918375683,982.6548
97374958372298,982.6565
97374998373444,982.657
97375038375735,982.6492
97375078373912,982.65234
97375118374121,982.6572
97375158372975,982.6582
97375198372923,982.6577
97375238375319,982.6565
97375278374225,982.655
97375318373964,982.6465
97375358490944,982.6531
97375398373339,982.6455
97375438373912,982.6421
97375478374069,982.6367
97375518375319,982.6372
97375558462819,982.6406
97375598372246,982.6521
97375638373287,982.6531
97375678373444,982.6638
97375718375162,982.66504
97375758377037,982.6553
97375798379485,982.6543
97375838372089,982.65137
97375878376204,982.65063
97375918375475,982.6516
97375958372662,982.6553
97375998376569,982.6577
97376038372454,982.6548
97376078375319,982.6609
97376118376308,982.66113
97376158376048,982.66284
97376198481100,982.6572
97376238373235,982.6599
97376278375579,982.6531
97376318376829,982.65576
97376358374694,982.65796
97376398375839,982.66064
97376438371621,982.6616
97376478372246,982.6655
97376518375267,982.6531
97376558374642,982.65015
97376598373287,982.6516
97376638375631,982.6543
97376678372454,982.66504
97376718374017,982.6599
97376758373704,982.6599
97376798374277,982.66113
97376838548183,982.6621
97376878372350,982.6616
97376918373600,982.6575
97376958374642,982.66284
97376998374694,982.6543
97377038417714,982.6621
97377078373027,982.66724
97377118372350,982.6648
97377158374694,982.6719
97377198374694,982.6721
97377238374850,982.6653
97377278372871,982.66016
97377318373131,982.6594
97377358374225,982.6555
97377398374798,982.6494
97377438377142,982.65674
97377478376152,982.6555
97377518372923,982.6575
97377558372871,982.6587
97377598371985,982.6604
97377638382298,982.6648
97377678454850,982.66187
97377718371985,982.6609
97377758372975,982.6655
97377798376517,982.66016
97377838373548,982.6538
97377878375110,982.65234
97377918372558,982.65063
97377958372662,982.6448
97377998375006,982.65186
97378038373912,982.64624
97378078374746,982.6406
97378118373079,982.635
97378158374069,982.647
97378198374589,982.6433
97378238374433,982.6465
97378278375162,982.6533
97378318537923,982.65405
97378358373392,982.66284
97378398372350,982.6655
97378438375214,982.65576
97378478374225,982.6555
97378518373912,982.65845
97378558371933,982.67017
97378598373912,982.6592
97378638374798,982.65234
97378678375944,982.6614
97378718376100,982.66724
97378758373027,982.66895
97378798372714,982.6748
97378838373756,982.67505
97378878374329,982.6709
97378918374121,982.6699
97378958580892,982.66895
97378998372871,982.6719
97379038373912,982.67114
97379078374798,982.6697
97379118374433,982.6699
97379158454902,982.6726
97379198371985,982.6677
97379238372142,982.66895
97379278374433,982.6631
97379318374121,982.66504
97379358376152,982.6638
