t_ns,constellation,svid,cn0,baseband_cn0,elev,azim,used_in_fix,has_ephemeris,has_almanac,carrier_freq_hz
97369523633320,1,24,24.0,19.0,9.286508,319.7849,false,true,true,1.57542E9
97370521569205,1,24,25.2,20.2,9.286508,319.7849,false,true,true,1.57542E9
97372525098371,1,24,28.9,23.9,9.286508,319.7849,false,true,true,1.57542E9
97372525098371,5,25,24.6,19.6,23.877863,316.34787,false,true,true,1.561098E9
97372525098371,1,24,18.7,13.7,9.286508,319.7849,false,true,true,1.17645E9
97373521859881,1,24,27.7,22.7,9.286508,319.7849,false,true,true,1.57542E9
97373521859881,5,25,25.2,20.2,23.877863,316.34787,false,true,true,1.561098E9
97373521859881,1,24,18.7,13.7,9.286508,319.7849,false,true,true,1.17645E9
97373521859881,5,25,18.7,13.7,23.877863,316.34787,false,true,true,1.17645E9
97374521329360,1,24,27.8,22.8,9.286508,319.7849,false,true,true,1.57542E9
97374521329360,5,25,24.9,19.9,23.877863,316.34787,false,true,true,1.561098E9
97374521329360,1,24,20.8,15.8,9.286508,319.7849,false,true,true,1.17645E9
97374521329360,5,25,18.7,13.7,23.877863,316.34787,false,true,true,1.17645E9
97375524440454,1,24,26.1,21.1,9.286508,319.7849,false,true,true,1.57542E9
97375524440454,5,25,24.9,19.9,23.877863,316.34787,false,true,true,1.561098E9
97375524440454,1,24,21.1,16.1,9.286508,319.7849,false,true,true,1.17645E9
97375524440454,5,25,20.1,15.1,23.877863,316.34787,false,true,true,1.17645E9
97376523020089,1,24,26.7,21.7,9.286508,319.7849,false,true,true,1.57542E9
97376523020089,5,25,24.0,19.0,23.877863,316.34787,false,true,true,1.561098E9
97376523020089,1,24,21.1,16.1,9.286508,319.7849,false,true,true,1.17645E9
97376523020089,5,25,20.1,15.1,23.877863,316.34787,false,true,true,1.17645E9
97377522146963,1,24,27.0,22.0,9.286508,319.7849,false,true,true,1.57542E9
97377522146963,5,25,24.7,19.7,23.877863,316.34787,false,true,true,1.561098E9
97377522146963,1,24,20.3,15.3,9.286508,319.7849,false,true,true,1.17645E9
97377522146963,5,25,20.1,15.1,23.877863,316.34787,false,true,true,1.17645E9
97378526000400,1,24,25.1,20.1,9.286508,319.7849,false,true,true,1.57542E9
97378526000400,5,25,22.3,17.3,23.877863,316.34787,false,true,true,1.561098E9
97378526000400,1,24,20.3,15.3,9.286508,319.7849,false,true,true,1.17645E9
97378526000400,5,25,16.7,11.7,23.877863,316.34787,false,true,true,1.17645E9
97379524184775,1,24,26.2,21.2,9.286508,319.7849,false,true,true,1.57542E9
97379524184775,5,25,22.5,17.5,23.877863,316.34787,false,true,true,1.561098E9
97379524184775,1,24,20.3,15.3,9.286508,319.7849,false,true,true,1.17645E9
97379524184775,5,25,16.7,11.7,23.877863,316.34787,false,true,true,1.17645E9
97380522288681,1,24,25.7,20.7,9.286508,319.7849,false,true,true,1.57542E9
97380522288681,5,25,25.1,20.1,23.877863,316.34787,false,true,true,1.561098E9
97380522288681,1,24,20.3,15.3,9.286508,319.7849,false,true,true,1.17645E9
97380522288681,5,25,16.7,11.7,23.877863,316.34787,false,true,true,1.17645E9
