t_s,lat,lon,x_m,y_m,v,heading_deg,mode,sim,k,sigma_pos,v_model,sigma_model,stop,tick_ms,model_ms,corridor_id,s_m,d_m
0.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.028,0.000,,,
0.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.026,0.000,,,
0.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.090,0.000,,,
0.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.067,0.000,,,
0.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.054,0.000,,,
0.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.291,0.000,,,
0.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.118,0.000,,,
0.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.208,0.000,,,
0.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.188,0.000,,,
0.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.167,0.000,,,
1.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.201,0.000,,,
1.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.095,0.000,,,
1.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.202,0.000,,,
1.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.169,0.000,,,
1.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.431,0.000,,,
1.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.181,0.000,,,
1.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.166,0.000,,,
1.700,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,7.577,0.000,,,
1.800,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.147,0.000,,,
1.900,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.174,0.000,,,
2.000,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.206,0.000,,,
2.100,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.181,0.000,,,
2.200,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,2.928,0.000,,,
2.300,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.175,0.000,,,
2.400,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.498,0.000,,,
2.500,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.398,0.000,,,
2.600,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.177,1,0.732,0.530,,,
2.700,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.179,1,2.901,0.475,,,
2.800,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.174,1,0.754,0.548,,,
2.900,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.166,1,0.965,0.671,,,
3.000,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.172,1,0.666,0.473,,,
3.100,28.52595356,77.57062275,-0.172,0.012,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.176,1,1.296,0.760,,,
3.200,28.52595356,77.57062275,-0.172,0.012,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.170,1,3.992,0.734,,,
3.300,28.52595356,77.57062275,-0.172,0.012,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.163,1,1.379,0.995,,,
3.400,28.52595356,77.57062275,-0.172,0.012,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.169,1,0.797,0.568,,,
3.500,28.52595356,77.57062275,-0.172,0.012,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.164,1,0.992,0.711,,,
