t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=5.3 s=14.7 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-213.3 s=443.5 count=0 corridors=2"
1.211,RECOG,"SNU_R1 fix=2 d=5.3 s=14.7 count=2 corridors=2"
1.211,RECOG,"SNU_R2 fix=2 d=-213.3 s=443.5 count=0 corridors=2"
2.652,RECOG,"SNU_R1 fix=3 d=5.3 s=14.7 count=3 corridors=2"
2.652,RECOG,"SNU_R2 fix=3 d=-213.3 s=443.5 count=0 corridors=2"
3.648,RECOG,"SNU_R1 fix=4 d=5.4 s=14.6 count=4 corridors=2"
3.648,RECOG,"SNU_R2 fix=4 d=-213.3 s=443.5 count=0 corridors=2"
4.646,RECOG,"SNU_R1 fix=5 d=5.4 s=14.6 count=5 corridors=2"
4.646,RECOG,"SNU_R2 fix=5 d=-213.2 s=443.5 count=0 corridors=2"
5.648,RECOG,"SNU_R1 fix=6 d=5.4 s=14.6 count=6 corridors=2"
5.648,RECOG,"SNU_R2 fix=6 d=-213.2 s=443.5 count=0 corridors=2"
6.649,RECOG,"SNU_R1 fix=7 d=5.4 s=14.6 count=7 corridors=2"
6.649,RECOG,"SNU_R2 fix=7 d=-213.2 s=443.5 count=0 corridors=2"
7.649,RECOG,"SNU_R1 fix=8 d=5.5 s=14.6 count=8 corridors=2"
7.649,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=14.6 d=5.5 s_start=14.6"
15.001,ALIGN,"stand g=9.874 pitch=2.41 roll=66.99 bias_dps=[0.020 0.055 -0.122] quiet=true qfrac=0.71 rot=3.33deg"
15.001,PHASE,"RIDE"
17.653,MOTION_START,"v=1.47"
18.700,DIRECTION,"AB"
23.660,ALIGN,"psi=36.53 (init) pitch=2.41 roll=66.99 blocks=0 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=36.53 (init) pitch=0.07 roll=66.72 blocks=1 moved_at=NaN sway_ratio=NaN"
38.640,ALIGN,"psi=90.97 (sway) pitch=0.07 roll=66.72 blocks=1 moved_at=NaN sway_ratio=25.4"
38.700,ARMED,""
45.010,ALIGN,"psi=90.97 (sway) pitch=0.10 roll=66.69 blocks=2 moved_at=NaN sway_ratio=25.4"
48.640,ALIGN,"psi=88.56 (sway) pitch=0.10 roll=66.69 blocks=2 moved_at=NaN sway_ratio=9.9"
58.640,ALIGN,"psi=92.69 (sway) pitch=0.10 roll=66.69 blocks=2 moved_at=NaN sway_ratio=7.8"
65.010,ALIGN,"psi=92.69 (sway) pitch=0.12 roll=66.65 blocks=3 moved_at=NaN sway_ratio=7.8"
68.640,ALIGN,"psi=92.99 (sway) pitch=0.12 roll=66.65 blocks=3 moved_at=NaN sway_ratio=7.5"
75.010,ALIGN,"psi=92.99 (sway) pitch=0.06 roll=66.67 blocks=4 moved_at=NaN sway_ratio=7.5"
78.640,ALIGN,"psi=93.79 (sway) pitch=0.06 roll=66.67 blocks=4 moved_at=NaN sway_ratio=7.2"
85.010,ALIGN,"psi=93.79 (sway) pitch=-0.08 roll=66.05 blocks=5 moved_at=NaN sway_ratio=7.2"
88.640,ALIGN,"psi=94.13 (sway) pitch=-0.08 roll=66.05 blocks=5 moved_at=NaN sway_ratio=7.2"
95.010,ALIGN,"psi=94.13 (sway) pitch=-0.15 roll=65.70 blocks=6 moved_at=NaN sway_ratio=7.2"
98.640,ALIGN,"psi=93.89 (sway) pitch=-0.15 roll=65.70 blocks=6 moved_at=NaN sway_ratio=7.0"
105.010,ALIGN,"psi=93.89 (sway) pitch=-0.17 roll=65.33 blocks=7 moved_at=NaN sway_ratio=7.0"
108.640,ALIGN,"psi=93.97 (sway) pitch=-0.17 roll=65.33 blocks=7 moved_at=NaN sway_ratio=6.7"
114.200,OUTAGE_ENTER,"no fix for 1.5 s"
114.200,REAL_OUTAGE,"gap at tick"
114.200,MODE,"GNSS_INS->INERTIAL"
114.200,DISARMED,"gnss5s"
115.010,ALIGN,"psi=93.97 (sway) pitch=-0.25 roll=64.85 blocks=8 moved_at=NaN sway_ratio=6.7"
116.652,REVEAL,"off_by_m=1.3 distance_m=0 duration_s=4 max_err_m=1.3 sim=false armed=true"
116.700,MODE,"INERTIAL->RECOVERING"
119.387,PHASE,"STOP_STAND"
119.700,MODE,"RECOVERING->GNSS_INS"
121.700,ARMED,""
134.388,PHASE,"DONE"
