t_s,type,text
0.000,PHASE,"STAND"
NaN,RECOG,"SNU_R1 fix=1 d=5.6 s=334.9 count=1 corridors=2"
NaN,RECOG,"SNU_R2 fix=1 d=-418.1 s=281.9 count=0 corridors=2"
1.591,RECOG,"SNU_R1 fix=2 d=5.6 s=334.9 count=2 corridors=2"
1.591,RECOG,"SNU_R2 fix=2 d=-418.1 s=281.9 count=0 corridors=2"
2.489,RECOG,"SNU_R1 fix=3 d=5.6 s=334.9 count=3 corridors=2"
2.489,RECOG,"SNU_R2 fix=3 d=-418.0 s=281.9 count=0 corridors=2"
3.482,RECOG,"SNU_R1 fix=4 d=5.6 s=334.9 count=4 corridors=2"
3.482,RECOG,"SNU_R2 fix=4 d=-418.0 s=281.9 count=0 corridors=2"
4.485,RECOG,"SNU_R1 fix=5 d=5.6 s=334.8 count=5 corridors=2"
4.485,RECOG,"SNU_R2 fix=5 d=-418.0 s=281.9 count=0 corridors=2"
5.492,RECOG,"SNU_R1 fix=6 d=5.6 s=334.8 count=6 corridors=2"
5.492,RECOG,"SNU_R2 fix=6 d=-418.0 s=281.9 count=0 corridors=2"
6.488,RECOG,"SNU_R1 fix=7 d=5.6 s=334.8 count=7 corridors=2"
6.488,RECOG,"SNU_R2 fix=7 d=-417.9 s=281.9 count=0 corridors=2"
7.488,RECOG,"SNU_R1 fix=8 d=5.6 s=334.8 count=8 corridors=2"
7.488,CORRIDOR,"recognised SNU_R1 (Football-ground Rd) s=334.8 d=5.6 s_start=334.8"
15.000,ALIGN,"stand g=9.869 pitch=3.55 roll=64.09 bias_dps=[0.011 -0.034 0.087] quiet=true qfrac=0.57 rot=0.33deg"
15.001,PHASE,"RIDE"
17.490,MOTION_START,"v=1.62"
18.500,DIRECTION,"BA"
23.500,ALIGN,"psi=49.70 (init) pitch=3.55 roll=64.09 blocks=0 moved_at=NaN sway_ratio=NaN"
25.010,ALIGN,"psi=49.70 (init) pitch=0.57 roll=65.40 blocks=1 moved_at=NaN sway_ratio=NaN"
35.010,ALIGN,"psi=49.70 (init) pitch=0.51 roll=65.32 blocks=2 moved_at=NaN sway_ratio=NaN"
37.490,ALIGN,"psi=86.98 (sway) pitch=0.51 roll=65.32 blocks=2 moved_at=NaN sway_ratio=19.2"
37.500,ARMED,""
45.010,ALIGN,"psi=86.98 (sway) pitch=0.44 roll=65.24 blocks=3 moved_at=NaN sway_ratio=19.2"
47.490,ALIGN,"psi=87.72 (sway) pitch=0.44 roll=65.24 blocks=3 moved_at=NaN sway_ratio=15.8"
51.490,SIM_ENTER,"armed=true"
51.500,MODE,"GNSS_INS->INERTIAL sim"
51.500,DISARMED,"gnss5s"
51.500,BAND_ENTER,""
55.010,ALIGN,"psi=87.72 (sway) pitch=0.42 roll=65.26 blocks=4 moved_at=NaN sway_ratio=15.8"
57.490,ALIGN,"psi=88.34 (sway) pitch=0.42 roll=65.26 blocks=4 moved_at=NaN sway_ratio=15.0"
65.010,ALIGN,"psi=88.34 (sway) pitch=0.44 roll=65.15 blocks=5 moved_at=NaN sway_ratio=15.0"
67.490,ALIGN,"psi=88.69 (sway) pitch=0.44 roll=65.15 blocks=5 moved_at=NaN sway_ratio=13.3"
75.010,ALIGN,"psi=88.69 (sway) pitch=0.44 roll=65.09 blocks=6 moved_at=NaN sway_ratio=13.3"
77.490,ALIGN,"psi=89.06 (sway) pitch=0.44 roll=65.09 blocks=6 moved_at=NaN sway_ratio=11.9"
86.484,REVEAL,"off_by_m=9.9 distance_m=134 duration_s=36 max_err_m=9.9 sim=true armed=true"
86.500,MODE,"INERTIAL->RECOVERING"
86.500,BAND_EXIT,""
87.490,ALIGN,"psi=90.13 (sway) pitch=0.44 roll=65.09 blocks=6 moved_at=NaN sway_ratio=8.8"
89.500,MODE,"RECOVERING->GNSS_INS"
91.500,ARMED,""
95.010,ALIGN,"psi=90.13 (sway) pitch=0.38 roll=65.01 blocks=7 moved_at=NaN sway_ratio=8.8"
97.490,ALIGN,"psi=89.74 (sway) pitch=0.38 roll=65.01 blocks=7 moved_at=NaN sway_ratio=9.1"
105.010,ALIGN,"psi=89.74 (sway) pitch=0.36 roll=64.95 blocks=8 moved_at=NaN sway_ratio=9.1"
110.277,PHASE,"STOP_STAND"
125.278,PHASE,"DONE"
