t_s,lat,lon,x_m,y_m,v,heading_deg,mode,sim,k,sigma_pos,v_model,sigma_model,stop,tick_ms,model_ms,corridor_id,s_m,d_m
0.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.014,0.000,,,
0.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
0.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
0.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.011,0.000,,,
0.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.011,0.000,,,
1.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.013,0.000,,,
1.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
1.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
1.300,28.52711526,77.57723298,-0.023,0.050,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.315,0.000,,,
1.400,28.52711526,77.57723298,-0.023,0.050,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.022,0.000,,,
1.500,28.52711526,77.57723298,-0.023,0.050,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.006,0.000,,,
1.600,28.52711526,77.57723298,-0.023,0.050,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.005,0.000,,,
1.700,28.52711526,77.57723298,-0.023,0.050,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.006,0.000,,,
1.800,28.52711526,77.57723298,-0.023,0.050,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.325,0.000,,,
1.900,28.52711526,77.57723298,-0.023,0.050,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.006,0.000,,,
2.000,28.52711526,77.57723298,-0.023,0.050,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.006,0.000,,,
2.100,28.52711526,77.57723298,-0.023,0.050,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.006,0.000,,,
2.200,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.050,1,0.011,0.000,,,
2.300,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.050,1,0.295,0.000,,,
2.400,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.050,1,0.007,0.000,,,
2.500,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.169,1,0.171,0.160,,,
2.600,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.176,1,0.131,0.090,,,
2.700,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.168,1,0.100,0.084,,,
2.800,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.167,1,0.474,0.083,,,
2.900,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.170,1,0.122,0.088,,,
3.000,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.170,1,0.096,0.081,,,
3.100,28.52711522,77.57723298,-0.023,0.045,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.167,1,0.092,0.082,,,
3.200,28.52711518,77.57723298,-0.023,0.041,-0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.168,1,0.115,0.085,,,
3.300,28.52711518,77.57723298,-0.023,0.041,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.169,1,0.503,0.081,,,
3.400,28.52711518,77.57723298,-0.023,0.041,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.173,1,0.111,0.083,,,
3.500,28.52711518,77.57723298,-0.023,0.041,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.168,1,0.104,0.082,,,
3.600,28.52711518,77.57723298,-0.023,0.041,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.167,1,0.113,0.081,,,
3.700,28.52711518,77.57723298,-0.023,0.041,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.166,1,0.101,0.081,,,
3.800,28.52711518,77.57723298,-0.023,0.041,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.165,1,0.506,0.081,,,
3.900,28.52711518,77.57723298,-0.023,0.041,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.161,1,0.121,0.086,,,
4.000,28.52711518,77.57723298,-0.023,0.041,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.161,1,0.091,0.081,,,
4.100,28.52711518,77.57723298,-0.023,0.041,0.000,0.000,GNSS_INS,0,1.0000,1.768,0.000,0.160,1,0.092,0.080,,,
4.200,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.150,1,0.116,0.081,,,
4.300,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.148,1,0.514,0.084,,,
4.400,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.145,1,0.097,0.086,,,
4.500,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.141,1,0.110,0.084,,,
4.600,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.142,1,0.139,0.083,,,
4.700,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.141,1,0.111,0.083,,,
4.800,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.141,1,0.472,0.082,,,
4.900,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.141,1,0.142,0.088,,,
5.000,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.140,1,0.092,0.083,,,
5.100,28.52711513,77.57723299,-0.022,0.036,0.000,0.000,GNSS_INS,0,1.0000,1.602,0.000,0.141,1,0.105,0.081,,,
5.200,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.142,1,0.112,0.082,,,
5.300,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.142,1,0.513,0.082,,,
5.400,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.141,1,0.104,0.086,,,
5.500,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.140,1,0.103,0.080,,,
5.600,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.140,1,0.104,0.080,,,
5.700,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.139,1,0.093,0.082,,,
5.800,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.139,1,0.472,0.082,,,
5.900,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.141,1,0.142,0.088,,,
6.000,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.138,1,0.108,0.080,,,
6.100,28.52711511,77.57723301,-0.020,0.033,0.000,0.000,GNSS_INS,0,1.0000,1.476,0.000,0.140,1,0.093,0.082,,,
6.200,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.139,1,0.120,0.080,,,
6.300,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.139,1,0.488,0.080,,,
6.400,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.139,1,0.113,0.083,,,
6.500,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.139,1,0.102,0.080,,,
6.600,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.139,1,0.094,0.077,,,
6.700,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.139,1,0.089,0.080,,,
6.800,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.138,1,0.493,0.080,,,
6.900,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.138,1,0.094,0.081,,,
7.000,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.138,1,0.097,0.080,,,
7.100,28.52711509,77.57723304,-0.018,0.031,0.000,0.000,GNSS_INS,0,1.0000,1.375,0.000,0.138,1,0.088,0.079,,,
7.200,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.138,1,0.111,0.083,,,
7.300,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.138,1,0.653,0.081,,,
7.400,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.138,1,0.182,0.141,,,
7.500,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.138,1,0.231,0.135,,,
7.600,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.138,1,0.148,0.133,,,
7.700,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.137,1,0.234,0.127,,,
7.800,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.138,1,0.614,0.132,,,
7.900,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.138,1,0.148,0.132,,,
8.000,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.137,1,0.165,0.125,,,
8.100,28.52711506,77.57723306,-0.015,0.028,0.000,0.000,GNSS_INS,0,1.0000,1.293,0.000,0.137,1,0.150,0.130,,,
8.200,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.138,1,0.158,0.132,SNU_R2,903.72,-4.23
8.300,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.139,1,0.168,0.132,SNU_R2,903.72,-4.23
8.400,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.139,1,0.179,0.130,SNU_R2,903.72,-4.23
8.500,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.138,1,0.165,0.129,SNU_R2,903.72,-4.23
8.600,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.138,1,0.158,0.121,SNU_R2,903.72,-4.23
8.700,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.139,1,0.141,0.130,SNU_R2,903.72,-4.23
8.800,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.138,1,0.139,0.126,SNU_R2,903.72,-4.23
8.900,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.138,1,0.157,0.122,SNU_R2,903.72,-4.23
9.000,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.138,1,0.160,0.129,SNU_R2,903.72,-4.23
9.100,28.52711472,77.57723311,-0.011,-0.010,0.000,0.000,GNSS_INS,0,1.0000,3.000,0.000,0.138,1,0.134,0.123,SNU_R2,903.72,-4.23
9.200,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.138,1,0.161,0.129,SNU_R2,903.72,-4.24
9.300,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.137,1,0.143,0.124,SNU_R2,903.72,-4.24
9.400,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.138,1,0.164,0.126,SNU_R2,903.72,-4.24
9.500,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.139,1,0.162,0.134,SNU_R2,903.72,-4.24
9.600,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.138,1,0.139,0.126,SNU_R2,903.72,-4.24
9.700,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.138,1,0.167,0.126,SNU_R2,903.72,-4.24
9.800,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.138,1,0.141,0.130,SNU_R2,903.72,-4.24
9.900,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.138,1,0.131,0.122,SNU_R2,903.72,-4.24
10.000,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.138,1,0.139,0.122,SNU_R2,903.72,-4.24
10.100,28.52711465,77.57723317,-0.005,-0.018,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.139,1,0.163,0.128,SNU_R2,903.72,-4.24
10.200,28.52711463,77.57723321,-0.001,-0.020,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.139,1,0.159,0.130,SNU_R2,903.73,-4.24
10.300,28.52711463,77.57723321,-0.001,-0.020,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.139,1,0.138,0.124,SNU_R2,903.73,-4.24
10.400,28.52711463,77.57723321,-0.001,-0.020,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.139,1,0.139,0.123,SNU_R2,903.73,-4.24
10.500,28.52711463,77.57723321,-0.001,-0.020,0.000,0.000,GNSS_INS,0,1.0000,1.999,0.000,0.139,1,0.173,0.130,SNU_R2,903.73,-4.24
