t_s,A_pure_INS,B_INS_fwd_only_NHC,C_gyro_heading_last_speed_held,D_gyro_heading_true_speed,gyro_heading_deg,gnss_bearing_deg,ins_fwd_speed_B,gnss_speed
-0.054,0.000,0.000,0.000,0.000,281.835,116.500,0.000,0.000
-0.045,0.000,0.000,0.000,0.000,281.838,116.500,0.000,0.000
-0.035,0.000,0.000,0.000,0.000,281.834,116.500,0.000,0.000
-0.026,0.000,0.000,0.000,0.000,281.826,116.500,0.000,0.000
-0.016,0.000,0.000,0.000,0.000,281.825,116.500,0.000,0.000
-0.007,0.000,0.000,0.000,0.000,281.831,116.500,0.000,0.000
0.003,0.000,0.000,0.000,0.000,281.841,116.500,0.000,0.000
0.013,0.000,0.000,0.000,0.000,281.851,116.500,0.000,0.000
0.022,0.000,0.000,0.000,0.000,281.859,116.500,0.000,0.000
0.032,0.000,0.000,0.000,0.000,281.867,116.500,0.000,0.000
0.041,0.000,0.000,0.000,0.000,281.871,116.500,0.000,0.000
0.051,0.000,0.000,0.000,0.000,281.873,116.500,0.000,0.000
0.060,0.000,0.000,0.000,0.000,281.874,116.500,0.000,0.000
0.070,0.000,0.000,0.000,0.000,281.870,116.500,0.000,0.000
0.079,0.000,0.000,0.000,0.000,281.862,116.500,0.000,0.000
0.089,0.000,0.000,0.000,0.000,281.858,116.500,0.000,0.000
0.098,0.000,0.000,0.000,0.000,281.858,116.500,0.000,0.000
0.108,0.000,0.000,0.000,0.000,281.860,116.500,0.000,0.000
0.117,0.000,0.000,0.000,0.000,281.863,116.500,0.000,0.000
0.127,0.000,0.000,0.000,0.000,281.866,116.500,0.000,0.000
0.136,0.000,0.000,0.000,0.000,281.869,116.500,0.000,0.000
0.146,0.000,0.000,0.000,0.000,281.878,116.500,0.000,0.000
0.155,0.000,0.000,0.000,0.000,281.886,116.500,0.000,0.000
0.165,0.000,0.000,0.000,0.000,281.888,116.500,0.000,0.000
0.174,0.000,0.000,0.000,0.000,281.887,116.500,0.000,0.000
0.184,0.000,0.000,0.000,0.000,281.884,116.500,0.000,0.000
0.193,0.000,0.000,0.000,0.000,281.879,116.500,0.000,0.000
0.203,0.000,0.000,0.000,0.000,281.876,116.500,0.000,0.000
0.212,0.000,0.000,0.000,0.000,281.878,116.500,0.000,0.000
0.222,0.000,0.000,0.000,0.000,281.882,116.500,0.000,0.000
0.231,0.000,0.000,0.000,0.000,281.882,116.500,0.000,0.000
