t_s,t_ns,lat,lon,alt,acc_h,speed,bearing,n_sats_used,x_m,y_m
1.1881825,21041643858972,28.5215616,77.5715988,152.6151123,3.7900925,0.0000000,,31,0.0809726,-0.4013881
2.2921824,21042747858919,28.5215623,77.5715985,152.5469971,3.7900925,0.0000000,,31,0.0574983,-0.3178981
3.2951725,21043750848971,28.5215630,77.5715984,152.5904541,3.7900925,0.0000000,,53,0.0457611,-0.2466533
4.2954820,21044751158449,28.5215637,77.5715982,152.7189331,3.7900925,0.0000000,,62,0.0232648,-0.1709557
5.2996450,21045755321521,28.5215646,77.5715980,152.8721313,3.7900925,0.0000000,,60,0.0076152,-0.0663149
6.2970432,21046752719647,28.5215651,77.5715980,153.0065308,3.7900925,0.0000000,,57,0.0046809,-0.0106549
7.2914982,21047747174698,28.5215656,77.5715978,153.0259399,3.7900925,0.0000000,,57,-0.0109687,0.0427787
8.2939578,21048749634229,28.5215659,77.5715978,153.0381470,3.7900925,0.0000000,,57,-0.0148811,0.0784011
9.3006967,21049756373188,28.5215664,77.5715978,153.0040283,3.7900925,0.0000000,,56,-0.0139030,0.1307215
10.2986020,21050754278499,28.5215667,77.5715977,152.9852295,3.7900925,0.0000000,,59,-0.0187935,0.1641175
11.3022680,21051757944437,28.5215668,77.5715976,152.9954224,3.7900925,0.0000000,,60,-0.0305307,0.1830419
12.2985516,21052754228082,28.5215670,77.5715975,153.0162964,3.7900925,0.0000000,,59,-0.0403117,0.1952871
13.2978604,21053753536883,28.5215671,77.5715975,153.0388794,3.7900925,0.0000000,,60,-0.0442241,0.2064191
14.2972422,21054752918707,28.5215671,77.5715975,153.0567017,3.7900925,0.0000000,,60,-0.0461803,0.2130983
15.3020922,21055757768653,28.5215671,77.5715974,153.0645752,3.7900925,0.0000000,,60,-0.0481365,0.2164379
16.2945715,21056750247923,28.5215708,77.5715999,153.2861328,3.7900925,0.3900000,43.1000000,58,0.1954103,0.6249823
17.2896826,21057745359121,28.5215834,77.5716076,153.3600464,3.7900925,2.0900000,27.2000000,58,0.9407219,2.0220483
18.2912309,21058746907350,28.5216025,77.5716199,153.3225098,3.7900925,2.7300000,29.6000000,58,2.1437839,4.1527131
19.3030782,21059758754641,28.5216253,77.5716386,153.3419189,3.7900925,3.3500000,37.4000000,61,3.9747856,6.6874695
20.3004813,21060756157818,28.5216496,77.5716643,153.4305420,3.7900925,3.9100000,43.2000000,63,6.4924130,9.3914323
21.2950194,21061750695891,28.5216760,77.5716954,153.4946289,3.7900925,4.4600000,45.1000000,64,9.5294111,12.3391859
22.3020555,21062757731932,28.5217045,77.5717282,153.5610352,3.7900925,4.6300000,44.5000000,64,12.7405108,15.5029003
23.2939210,21063749597453,28.5217358,77.5717633,153.6577759,3.7900925,5.0400000,42.7000000,63,16.1697266,18.9916691
24.2946998,21064750376306,28.5217670,77.5717999,153.7015381,3.7900925,5.1700000,45.9000000,63,19.7515260,22.4637399
25.3029768,21065758653285,28.5218014,77.5718345,153.4292603,3.7900925,5.0800000,37.7000000,59,23.1337931,26.2942611
26.2952691,21066750945523,28.5218404,77.5718642,153.2016602,3.7900925,5.2600000,34.6000000,60,26.0436382,30.6379675
27.2937179,21067749394326,28.5218801,77.5718929,153.2429199,3.7900925,5.2600000,34.5000000,59,28.8517611,35.0540319
28.3028331,21068758509534,28.5219212,77.5719203,152.9556885,3.7900925,5.2300000,29.9000000,59,31.5288186,39.6270575
29.3006078,21069756284273,28.5219640,77.5719402,152.9625244,3.7900925,5.2500000,26.3000000,56,33.4723018,44.3926667
30.2937842,21070749460627,28.5220081,77.5719620,152.9371338,3.7900925,5.2700000,20.3000000,56,35.6035800,49.3007655
31.2925222,21071748198699,28.5220520,77.5719807,153.0850830,3.7900925,5.3000000,18.4000000,55,37.4404503,54.1910531
32.3019613,21072757637761,28.5220972,77.5720006,153.1286011,3.7900925,5.2800000,21.2000000,53,39.3819772,59.2193775
33.2933847,21073749061146,28.5221412,77.5720252,152.9053345,3.7900925,5.2100000,26.4000000,53,41.7881013,64.1152311
