t_s,t_ns,lat,lon,alt,acc_h,speed,bearing,n_sats_used,x_m,y_m
1.5766266,21225024886713,28.5226926,77.5739947,154.2801514,3.7900925,0.0000000,,39,-0.1041665,0.0938269
2.3071519,21225755412026,28.5226908,77.5739952,154.1157227,3.7900925,0.0000000,,46,-0.0484154,-0.1043227
3.3093581,21226757618172,28.5226897,77.5739956,154.1681519,3.7900925,0.0000000,,53,-0.0132042,-0.2234351
4.3033125,21227751572598,28.5226902,77.5739958,154.2530518,3.7900925,0.0000000,,62,0.0053795,-0.1722279
5.3037209,21228751980983,28.5226912,77.5739963,154.4374390,3.7900925,0.0000000,,64,0.0542839,-0.0575683
6.3094055,21229757665618,28.5226914,77.5739964,154.4204712,3.7900925,0.0000000,,63,0.0660210,-0.0408703
7.3018343,21230750094419,28.5226918,77.5739962,154.4732056,3.7900925,0.0000000,,63,0.0454811,0.0103369
8.3056118,21231753871919,28.5226922,77.5739960,154.5129395,3.7900925,0.0000000,,63,0.0239632,0.0526385
9.3076593,21232755919367,28.5226922,77.5739957,154.4802246,3.7900925,0.0000000,,62,0.0014671,0.0570913
10.3047595,21233753019575,28.5226924,77.5739957,154.5269165,3.7900925,0.0000000,,59,-0.0063576,0.0704497
11.3090290,21234757289053,28.5226924,77.5739957,154.5313721,3.7900925,0.0000000,,59,-0.0053795,0.0760157
12.2978453,21235746105355,28.5226925,77.5739957,154.5480347,3.7900925,0.0000000,,59,-0.0053795,0.0815817
13.3030618,21236751321918,28.5226925,77.5739956,154.5635376,3.7900925,0.0000000,,59,-0.0073357,0.0804685
14.3074300,21237755690146,28.5226924,77.5739957,154.5687866,3.7900925,0.0000000,,59,-0.0063576,0.0760157
15.3003844,21238748644521,28.5226914,77.5739935,154.8992920,3.7900925,0.2900000,35.2000000,59,-0.2215371,-0.0353043
16.2965239,21239744783999,28.5226853,77.5739925,154.8901367,3.7900925,0.4400000,186.0000000,60,-0.3183679,-0.7154695
17.3061103,21240754370353,28.5226765,77.5739914,154.9288940,3.7900925,0.7900000,186.1000000,62,-0.4230234,-1.6895195
18.3041176,21241752377749,28.5226586,77.5739873,155.0571899,3.7900925,2.3600000,192.6000000,63,-0.8269741,-3.6866003
19.3074257,21242755685822,28.5226349,77.5739809,154.9096680,3.7900925,2.8400000,194.8000000,65,-1.4461042,-6.3293371
20.3076834,21243755943477,28.5226082,77.5739744,154.9094238,3.7900925,3.0200000,191.8000000,65,-2.0877305,-9.2949019
21.3064338,21244754693894,28.5225816,77.5739653,154.5727539,3.7900925,3.1200000,200.2000000,65,-2.9797474,-12.2560139
22.3022457,21245750505820,28.5225547,77.5739484,154.4942017,3.7900925,3.5100000,209.8000000,66,-4.6258708,-15.2560879
23.3067499,21246755009987,28.5225282,77.5739277,154.3013306,3.7900925,3.5900000,214.7000000,65,-6.6573612,-18.2060679
24.2964558,21247744715872,28.5225028,77.5739032,154.1643066,3.7900925,3.6400000,219.6000000,65,-9.0527006,-21.0324827
25.3068839,21248755144048,28.5224769,77.5738770,153.9732056,3.7900925,3.8200000,220.2000000,64,-11.6084465,-23.9134443
26.2993746,21249747634725,28.5224504,77.5738475,154.3837280,3.7900925,4.2000000,224.8000000,64,-14.5006550,-26.8611979
27.2961358,21250744395871,28.5224280,77.5738154,154.1866455,3.7900925,3.8700000,232.3000000,64,-17.6403199,-29.3636715
28.2957657,21251744025766,28.5224084,77.5737809,154.4335938,3.7900925,3.9800000,237.6000000,65,-21.0117919,-31.5399775
29.3004713,21252748731443,28.5223913,77.5737444,154.4230957,3.7900925,3.9700000,241.9000000,65,-24.5837721,-33.4446627
30.3065916,21253754851651,28.5223760,77.5737077,154.4387207,3.7900925,3.8900000,244.4000000,64,-28.1733578,-35.1478587
31.3036188,21254751878942,28.5223608,77.5736704,154.4431152,3.7900925,3.9700000,244.8000000,65,-31.8206508,-36.8443755
32.3075993,21255755859410,28.5223462,77.5736342,154.5716553,3.7900925,3.7800000,244.7000000,64,-35.3574198,-38.4663079
33.3011759,21256749436025,28.5223319,77.5735975,154.7437134,3.7900925,3.8900000,245.8000000,65,-38.9499398,-40.0548443
34.2994906,21257747750712,28.5223188,77.5735598,154.8677979,3.7900925,3.8400000,248.5000000,65,-42.6344002,-41.5142495
35.3083177,21258756577847,28.5223086,77.5735215,154.9565430,3.7900925,3.8100000,253.1000000,64,-46.3863487,-42.6530531
