t_s,ax,ay,az,gx,gy,gz,x_m,y_m,lat,lon,speed_mps,bearing_deg,gnss_age_s,state
0.000000,-0.941499,8.884437,4.175972,-0.000747,0.014639,-0.007477,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.010000,-0.990810,8.843564,4.256269,-0.001824,0.005730,-0.003072,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.020000,-0.901486,8.823835,4.246502,-0.001146,-0.007605,0.004716,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.030000,-0.760458,8.819873,4.210515,-0.000631,-0.002882,0.001109,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.040000,-0.738127,8.820623,4.232614,-0.000906,0.010550,-0.011130,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.050000,-0.861280,8.811884,4.366417,-0.000627,0.009571,-0.016789,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.060000,-0.912368,8.793454,4.423230,0.001422,-0.010093,-0.008574,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.070000,-0.802274,8.772536,4.282128,0.004014,-0.012491,-0.003914,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.080000,-0.824459,8.806511,4.148433,0.003349,0.013143,-0.013722,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.090000,-1.101415,8.912933,4.154563,0.001258,0.032192,-0.022249,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.100000,-1.373013,8.981224,4.240444,0.000141,0.016784,-0.013274,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.110000,-1.314623,8.939562,4.260136,-0.001062,-0.016985,0.006344,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.120000,-0.954583,8.865621,4.249247,-0.001477,-0.026094,0.012743,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.130000,-0.680643,8.829140,4.243547,-0.000272,-0.002476,-0.001592,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
0.140000,-0.727908,8.812650,4.332424,0.000748,0.021584,-0.017400,0.186124,-0.477599,28.52155373,77.57159278,0.000000,,,CALIB
