t_s,ax,ay,az,gx,gy,gz,x_m,y_m,lat,lon,speed_mps,bearing_deg,gnss_age_s,state
0.000000,-0.432950,9.170882,3.705339,-0.001219,-0.007094,0.016204,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.010000,-0.314704,9.167313,3.675552,-0.001479,-0.023233,0.024884,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.020000,-0.107745,9.164798,3.659583,-0.001334,-0.021556,0.023221,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.030000,-0.050710,9.154762,3.670443,-0.000902,-0.006724,0.015419,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.040000,-0.175533,9.137159,3.702110,-0.000712,0.006246,0.009938,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.050000,-0.361372,9.125917,3.743963,-0.001332,0.005855,0.010492,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.060000,-0.463325,9.097483,3.772405,-0.001952,-0.007388,0.019203,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.070000,-0.373702,9.082888,3.763724,-0.001705,-0.019116,0.027644,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.080000,-0.187419,9.104739,3.737691,-0.000904,-0.017971,0.028725,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.090000,-0.081849,9.133815,3.733907,-0.000658,-0.007160,0.022878,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.100000,-0.124119,9.137105,3.769536,-0.001234,0.000517,0.017485,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.110000,-0.201244,9.122024,3.782149,-0.001623,-0.003307,0.018024,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.120000,-0.205507,9.113976,3.767836,-0.001456,-0.011048,0.020281,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.130000,-0.130161,9.106644,3.773012,-0.001227,-0.014107,0.019690,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.140000,-0.021137,9.117023,3.774193,-0.000035,-0.011637,0.016222,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.150000,0.033823,9.126851,3.785840,0.001042,-0.004284,0.010348,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.160000,-0.012993,9.129398,3.781478,0.000436,0.002230,0.005058,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.170000,-0.106298,9.132137,3.745096,-0.000210,0.004617,0.001891,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.180000,-0.182787,9.119120,3.734652,0.000366,0.002157,0.002586,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.190000,-0.202831,9.110652,3.739277,0.000137,-0.003574,0.004556,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.200000,-0.150714,9.118034,3.716204,0.000254,-0.006210,0.005255,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.210000,-0.091789,9.138026,3.693399,-0.000315,-0.003790,0.003551,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.220000,-0.081620,9.152386,3.691758,-0.000551,0.001015,0.000833,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.230000,-0.133230,9.157847,3.697336,0.000381,0.003292,-0.000365,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.240000,-0.159538,9.161751,3.684451,0.000044,0.000344,-0.000204,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.250000,-0.136891,9.162693,3.664041,-0.000337,-0.004920,-0.000133,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.260000,-0.072545,9.173657,3.651437,-0.000396,-0.006638,-0.000693,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.270000,0.001157,9.178108,3.638895,-0.000378,-0.001937,-0.003537,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.280000,-0.037550,9.184588,3.633080,0.000397,0.007715,-0.010050,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.290000,-0.203969,9.194655,3.633886,0.000943,0.015198,-0.014644,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.300000,-0.395612,9.191989,3.658678,0.001460,0.011202,-0.012084,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.310000,-0.493012,9.189150,3.680708,0.001493,-0.002469,-0.004718,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.320000,-0.453139,9.169720,3.690187,0.000480,-0.012640,0.002553,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.330000,-0.346449,9.136845,3.708707,0.000863,-0.011091,0.004482,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
0.340000,-0.296970,9.133081,3.743703,0.001245,-0.003685,0.003929,-0.175598,0.018751,28.52595362,77.57062272,0.000000,,,CALIB
