run,dir,n_train,speed_mae,speed_mae_moving,speed_bias_moving,v_mean,outage_m,outage_s,last_end_m,ml_end_m,ml_rmse_m,ml_drift_pct,last_drift_pct,ml_after_stop_m,last_after_stop_m,heading_err_deg
run1,AB,21295,0.212,0.268,-0.02,3.03,295.0,102.0,23.0,6.3,3.4,2.1,7.8,6.3,41.6,0.2
run2,BA,21465,0.132,0.15,0.006,3.31,284.0,86.0,14.7,5.0,2.3,1.8,5.2,5.1,65.5,1.0
run3,AB,21404,0.15,0.18,-0.026,3.28,287.0,92.0,19.1,7.1,3.4,2.5,6.7,7.0,49.9,1.6
run4,BA,21555,0.161,0.178,-0.058,3.69,277.0,77.0,21.5,3.1,1.8,1.1,7.8,3.2,79.4,0.1
run5,AB,21479,0.173,0.191,0.012,3.4,283.0,84.0,16.7,10.0,3.1,3.5,5.9,10.1,69.3,-0.3
run6,BA,21545,0.151,0.171,-0.034,3.67,286.0,78.0,20.0,10.5,3.9,3.7,7.0,10.7,77.8,-2.2
run7,AB,21486,0.181,0.217,0.015,3.43,288.0,83.0,10.7,10.5,4.3,3.6,3.7,11.1,60.7,-1.2
run9,BA,21495,0.17,0.196,0.025,3.44,287.0,83.0,32.0,16.5,6.5,5.7,11.1,16.1,59.5,-2.6
run10,AB,21735,0.284,0.358,-0.163,4.6,274.0,60.0,30.4,5.9,3.8,2.2,11.1,6.3,107.1,-0.7
run11,BA,21793,0.21,0.272,-0.076,5.14,272.0,52.0,39.1,14.7,6.9,5.4,14.4,16.0,88.0,-4.2
run12,AB,21729,0.25,0.288,-0.049,4.65,282.0,60.0,72.6,59.8,30.2,21.2,25.7,60.8,133.2,-14.5
run13,BA,21724,0.344,0.479,-0.128,4.88,270.0,60.0,110.3,5.5,6.2,2.0,40.9,5.6,201.3,1.8
run14,AB,21717,0.256,0.326,-0.249,4.62,275.0,60.0,57.5,40.0,21.9,14.5,20.9,40.9,130.3,-10.0
run15,BA,21661,0.246,0.315,0.004,4.23,271.0,67.0,77.9,30.3,14.5,11.2,28.7,30.5,144.9,5.0
run16,AB,21520,0.252,0.296,0.114,3.56,281.0,80.0,45.5,27.3,12.3,9.7,16.2,27.9,103.1,-4.6
run17,BA,21584,0.189,0.235,0.039,3.89,280.0,73.0,68.6,50.4,25.9,18.0,24.5,50.9,132.2,-11.5
run18,AB,21655,0.198,0.25,-0.048,4.22,275.0,66.0,55.1,7.0,2.8,2.5,20.0,8.4,129.6,3.0
run19,BA,21750,0.206,0.265,-0.117,4.75,265.0,58.0,97.4,17.6,7.4,6.7,36.8,17.5,185.8,-7.0
run20,AB,21639,0.198,0.248,-0.048,4.19,274.0,68.0,63.9,5.9,2.5,2.1,23.3,6.4,138.6,0.6
run21,BA,21601,0.249,0.292,0.052,3.92,279.0,73.0,35.1,11.6,4.0,4.1,12.6,13.0,100.1,-1.7
