run,dir,tilt_stand_vs_ride_deg,max_block_angle_deg,moved_at_s,gate_frac,ride_psi_init_deg,ride_psi_sway_deg,ride_sway_ratio,ride_psi_lean_deg,ride_lean_best_corr,ride_psi_fit_deg,ride_fit_scale,ride_fit_rms_mps,ride_fit_n,stand_yaw_slope,stand_yaw_rms_dps,ride_yaw_slope,ride_yaw_corr,ride_yaw_rms_dps,ride_yaw_lag_s,ride_fwd_start_mps2,ride_lat_start_mps2,ride_fwd_corr,ride_fwd_slope,ride_lean_corr,ride_mean_fx_straight,ride_mean_fy_straight,error
1,AB,6.23,5.33,70.0,0.682,60.8,83.65,9.6,126.0,0.618,59.98,2.576,1.931,67,0.9325,2.29,0.9442,0.9547,2.23,0.6000000000000001,1.317,-0.555,0.557,1.524,0.472,0.489,-0.312,
2,BA,2.59,0.72,,0.717,90.0,89.41,5.5,82.0,0.869,81.95,0.858,0.188,64,0.9484,1.73,0.9461,0.9719,1.72,0.4,0.45,0.005,0.837,0.878,0.867,-0.022,0.005,
3,AB,3.06,3.42,,0.616,96.66,93.61,7.0,106.0,0.853,60.82,2.14,0.951,61,0.9636,1.55,0.9595,0.9814,1.55,0.5,0.678,0.036,0.732,1.336,0.845,-0.001,-0.05,
4,BA,0.3,0.76,,0.65,85.0,91.9,5.3,78.0,0.862,94.11,1.007,0.186,53,0.9522,1.44,0.9506,0.9847,1.44,0.6000000000000001,0.568,-0.069,0.784,0.854,0.855,-0.002,0.019,
5,AB,3.12,0.97,,0.639,104.34,85.37,5.0,107.0,0.835,85.36,1.211,0.234,52,0.9595,1.9,0.9544,0.9725,1.9,0.5,0.519,0.178,0.846,0.935,0.809,-0.005,0.009,
6,BA,0.65,1.16,,0.67,82.3,90.85,7.0,76.0,0.891,88.23,1.011,0.142,53,0.9636,2.15,0.9632,0.9691,2.15,0.7000000000000001,0.411,-0.062,0.742,0.782,0.882,-0.013,-0.001,
7,AB,1.3,0.57,,0.674,100.57,89.13,4.4,100.0,0.886,110.52,0.952,0.253,69,0.9735,2.26,0.9715,0.9621,2.26,0.7000000000000001,0.353,0.071,0.753,0.767,0.879,-0.022,0.005,
8,BA,5.94,11.75,,0.285,86.69,-1.9,6.3,-86.0,0.397,96.51,11.247,2.563,26,0.8254,1.3,0.8055,0.8741,1.24,0.2,0.037,1.511,0.049,0.031,0.209,0.091,-0.298,
9,BA,3.33,0.55,,0.663,111.09,89.81,8.8,79.0,0.831,72.62,0.814,0.192,47,0.9437,1.87,0.9431,0.9728,1.88,0.5,0.427,0.166,0.79,0.837,0.827,-0.022,0.015,
10,AB,1.05,1.16,,0.482,88.62,91.32,6.5,99.0,0.912,97.03,0.219,0.084,16,1.0372,1.96,1.0383,0.9837,1.96,0.30000000000000004,0.581,-0.027,0.957,1.02,0.907,-0.04,0.005,
11,BA,3.44,1.93,,0.417,83.1,89.62,8.3,85.0,0.911,89.2,1.036,0.109,22,1.0054,2.08,1.0061,0.9847,2.06,0.1,0.428,-0.049,0.949,1.046,0.908,-0.066,0.022,
12,AB,2.79,1.92,,0.406,88.69,89.5,7.6,102.0,0.87,92.8,0.965,0.048,21,0.9696,2.96,0.9719,0.9594,2.95,0.30000000000000004,0.673,-0.01,0.892,0.937,0.861,0.042,0.01,
13,BA,2.26,1.63,,0.364,87.31,88.88,11.3,76.0,0.848,92.59,1.044,0.174,24,1.0466,2.7,1.0436,0.9735,2.72,0.30000000000000004,0.801,-0.022,0.898,0.965,0.841,0.142,0.021,
14,AB,0.99,0.93,,0.511,89.03,89.58,6.5,104.0,0.896,101.33,0.774,0.083,22,1.0491,3.0,1.0503,0.9658,2.99,0.30000000000000004,0.61,-0.006,0.882,0.929,0.887,0.007,0.022,
15,BA,1.45,0.72,,0.512,82.56,90.52,10.3,76.0,0.837,79.59,0.949,0.153,31,0.9868,2.27,0.9853,0.9732,2.27,0.30000000000000004,0.665,-0.093,0.895,0.971,0.826,0.028,0.016,
16,AB,1.84,1.34,,0.578,79.0,88.77,10.2,102.0,0.818,76.0,0.932,0.237,40,0.9758,2.09,0.9731,0.9738,2.08,0.6000000000000001,0.462,-0.08,0.777,0.766,0.81,-0.018,-0.015,
17,BA,3.14,1.59,,0.505,88.97,91.72,7.3,67.0,0.877,87.4,0.195,0.155,23,0.9266,2.25,0.9294,0.9718,2.27,0.6000000000000001,0.45,-0.022,0.733,0.791,0.849,-0.004,0.02,
18,AB,2.23,1.21,,0.469,86.77,91.71,10.0,102.0,0.873,67.6,1.001,0.164,32,1.028,4.37,1.0246,0.9246,4.36,0.5,0.555,-0.048,0.833,0.818,0.868,-0.001,0.038,
19,BA,0.58,0.84,,0.415,79.04,90.24,12.9,72.0,0.809,91.35,1.314,0.127,21,1.0121,1.34,1.0127,0.993,1.34,0.1,0.751,-0.149,0.929,0.967,0.792,0.064,-0.028,
20,AB,2.6,1.71,,0.446,110.63,90.24,9.8,102.0,0.887,84.54,1.048,0.124,24,1.092,2.34,1.0878,0.98,2.32,0.1,0.555,0.206,0.853,0.902,0.878,0.001,0.026,
21,BA,0.79,1.35,,0.456,90.05,89.42,11.7,71.0,0.801,148.04,0.938,0.234,26,0.9458,2.5,0.9465,0.9653,2.5,0.4,0.606,0.007,0.768,0.762,0.785,0.01,-0.008,
