run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
1,AB,c10,plain,293.59,101.99,23.24,7.92,11.03,23.44,23.14,15.0,1.0,,,
1,AB,c10,gen_k1,293.59,101.99,20.24,6.89,9.66,20.45,20.13,15.0,1.0,,,
1,AB,c10,gen,293.59,101.99,24.4,8.31,12.45,24.54,24.31,15.0,1.047,,,
1,AB,c10,cor_k1,293.59,101.99,1.52,0.52,6.01,9.85,1.53,15.0,1.0,,,
1,AB,c10,cor,293.59,101.99,2.63,0.9,5.29,8.33,2.57,15.0,1.046,,,
1,AB,c30,plain,228.88,81.99,8.38,3.66,4.08,8.4,8.38,15.0,1.0,,,
1,AB,c30,gen_k1,228.88,81.99,5.5,2.4,3.55,5.5,5.54,15.0,1.0,,,
1,AB,c30,gen,228.88,81.99,14.01,6.12,8.74,14.01,14.03,15.0,1.035,,,
1,AB,c30,cor_k1,228.88,81.99,6.28,2.74,6.28,9.93,6.39,15.0,1.0,,,
1,AB,c30,cor,228.88,81.99,6.76,2.95,5.11,9.02,6.84,15.0,1.014,,,
1,AB,c60,plain,139.77,51.99,12.1,8.66,6.46,12.3,12.0,15.0,1.0,,,
1,AB,c60,gen_k1,139.77,51.99,9.19,6.57,4.95,9.38,9.08,15.0,1.0,,,
1,AB,c60,gen,139.77,51.99,9.09,6.51,4.94,9.29,8.99,15.0,0.996,,,
1,AB,c60,cor_k1,139.77,51.99,5.23,3.74,4.1,5.55,5.3,15.0,1.0,,,
1,AB,c60,cor,139.77,51.99,5.32,3.81,4.5,6.12,5.39,15.0,1.023,,,
1,AB,turn,plain,224.46,80.46,8.15,3.63,3.9,8.17,8.14,15.0,1.0,,,
1,AB,turn,gen_k1,224.46,80.46,5.55,2.47,3.6,5.55,5.58,15.0,1.0,,,
1,AB,turn,gen,224.46,80.46,13.33,5.94,8.39,13.33,13.35,15.0,1.032,,,
1,AB,turn,cor_k1,224.46,80.46,5.96,2.66,6.16,9.71,6.07,15.0,1.0,,,
1,AB,turn,cor,224.46,80.46,6.47,2.88,5.1,8.88,6.54,15.0,1.01,,,
1,AB,c30r,gen_k1,,,,,,,,,,2.9655805503346695,3.795019296723386,0.3469245923968935
1,AB,c30r,gen,,,,,,,,,,6.593649689246494,7.892928652378408,0.3591749629796015
1,AB,c30r,cor_k1,,,,,,,,,,5.034985835625193,3.8760240000645974,0.6129220365240419
1,AB,c30r,cor,,,,,,,,,,3.1147569840715077,1.6832446986561052,0.8208223947825359
2,BA,c10,plain,281.02,85.21,6.17,2.19,3.75,7.87,6.23,15.0,1.0,,,
2,BA,c10,gen_k1,281.02,85.21,6.39,2.27,4.0,8.19,6.36,15.0,1.0,,,
2,BA,c10,gen,281.02,85.21,15.83,5.63,8.02,15.83,15.99,15.0,1.051,,,
2,BA,c10,cor_k1,281.02,85.21,4.99,1.78,7.13,14.53,4.76,15.0,1.0,,,
2,BA,c10,cor,281.02,85.21,11.08,3.94,5.79,11.08,11.29,15.0,1.052,,,
2,BA,c30,plain,209.8,65.21,5.91,2.82,1.49,5.91,6.14,15.0,1.0,,,
2,BA,c30,gen_k1,209.8,65.21,4.23,2.01,1.44,4.23,4.45,15.0,1.0,,,
2,BA,c30,gen,209.8,65.21,10.14,4.83,5.48,10.14,10.37,15.0,1.027,,,
2,BA,c30,cor_k1,209.8,65.21,4.19,2.0,6.8,12.2,3.98,15.0,1.0,,,
2,BA,c30,cor,209.8,65.21,5.53,2.64,4.46,8.13,5.68,15.0,1.03,,,
2,BA,c60,plain,103.4,35.21,5.12,4.95,1.67,5.12,5.35,15.0,1.0,,,
2,BA,c60,gen_k1,103.4,35.21,4.01,3.88,2.14,4.01,4.23,15.0,1.0,,,
2,BA,c60,gen,103.4,35.21,5.69,5.5,3.42,5.69,5.9,15.0,1.007,,,
2,BA,c60,cor_k1,103.4,35.21,2.44,2.36,7.81,11.97,2.21,15.0,1.0,,,
2,BA,c60,cor,103.4,35.21,1.36,1.32,6.06,10.2,1.4,15.0,1.009,,,
2,BA,turn,plain,100.16,34.26,4.97,4.96,1.6,4.97,5.19,15.0,1.0,,,
2,BA,turn,gen_k1,100.16,34.26,4.01,4.01,2.16,4.01,4.23,15.0,1.0,,,
2,BA,turn,gen,100.16,34.26,5.69,5.68,3.45,5.69,5.9,15.0,1.007,,,
2,BA,turn,cor_k1,100.16,34.26,2.44,2.43,7.91,11.97,2.21,15.0,1.0,,,
2,BA,turn,cor,100.16,34.26,1.36,1.36,6.09,10.2,1.4,15.0,1.009,,,
2,BA,c30r,gen_k1,,,,,,,,,,1.1418414024490524,1.2095024530358984,0.35516862428443924
2,BA,c30r,gen,,,,,,,,,,4.588523153365596,5.229673989202732,0.3648830670905652
2,BA,c30r,cor_k1,,,,,,,,,,2.294137700575056,9.326888378199593,2.303111675031772
2,BA,c30r,cor,,,,,,,,,,7.198604451389122,5.000706330976337,5.121583104833929
