run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
1,AB,c10,plain,293.59,101.99,23.46,7.99,12.94,23.62,23.37,15.0,1.0,,,
1,AB,c10,gen_k1,293.59,101.99,22.81,7.77,13.9,22.98,22.72,15.0,1.0,,,
1,AB,c10,gen,293.59,101.99,19.96,6.8,11.14,20.17,19.85,15.0,0.963,,,
1,AB,c10,cor_k1,293.59,101.99,2.63,0.9,7.07,11.77,2.57,15.0,1.0,,,
1,AB,c10,cor,293.59,101.99,1.14,0.39,4.61,9.44,1.13,15.0,0.963,,,
1,AB,c10,cor_lm,293.59,101.99,1.68,0.57,4.76,9.51,1.7,15.0,0.963,,,
1,AB,c30,plain,228.88,81.99,13.52,5.91,7.91,13.65,13.45,15.0,1.0,,,
1,AB,c30,gen_k1,228.88,81.99,12.67,5.53,9.44,12.76,12.6,15.0,1.0,,,
1,AB,c30,gen,228.88,81.99,8.34,3.64,5.02,8.56,8.23,15.0,0.96,,,
1,AB,c30,cor_k1,228.88,81.99,6.76,2.95,5.93,8.32,6.84,15.0,1.0,,,
1,AB,c30,cor,228.88,81.99,11.67,5.1,9.1,13.3,11.76,15.0,0.937,,,
1,AB,c30,cor_lm,228.88,81.99,12.75,5.57,9.92,14.48,12.83,15.0,0.933,,,
1,AB,c60,plain,139.77,51.99,13.58,9.71,7.69,13.78,13.47,15.0,1.0,,,
1,AB,c60,gen_k1,139.77,51.99,11.15,7.98,7.97,11.3,11.06,15.0,1.0,,,
1,AB,c60,gen,139.77,51.99,10.57,7.56,6.87,10.85,10.47,15.0,0.941,,,
1,AB,c60,cor_k1,139.77,51.99,5.32,3.81,5.53,6.93,5.39,15.0,1.0,,,
1,AB,c60,cor,139.77,51.99,4.77,3.41,4.12,5.71,4.88,15.0,0.962,,,
1,AB,c60,cor_lm,139.77,51.99,4.86,3.48,4.24,5.89,4.97,15.0,0.961,,,
1,AB,turn,plain,224.46,80.46,13.46,6.0,7.69,13.59,13.39,15.0,1.0,,,
1,AB,turn,gen_k1,224.46,80.46,12.6,5.61,9.46,12.7,12.54,15.0,1.0,,,
1,AB,turn,gen,224.46,80.46,8.31,3.7,4.97,8.53,8.2,15.0,0.958,,,
1,AB,turn,cor_k1,224.46,80.46,6.47,2.88,5.67,8.18,6.54,15.0,1.0,,,
1,AB,turn,cor,224.46,80.46,12.02,5.36,9.46,13.74,12.11,15.0,0.935,,,
1,AB,turn,cor_lm,224.46,80.46,13.06,5.82,10.25,14.86,13.14,15.0,0.931,,,
1,AB,c30r,gen_k1,,,,,,,,,,9.707512975216313,10.635396902911639,0.3567212734806588
1,AB,c30r,gen,,,,,,,,,,4.639529695809892,5.146493137512095,0.3422966026268891
1,AB,c30r,cor_k1,,,,,,,,,,4.509035950566311,5.2209824112658785,0.5569102006829441
1,AB,c30r,cor,,,,,,,,,,5.255069004845753,4.687013782756455,0.5850377775748391
1,AB,c30r,cor_lm,,,,,,,,,,6.006299789305493,5.5012409880701325,0.6220872735046202
2,BA,c10,plain,281.02,85.21,5.83,2.08,2.15,5.83,6.05,15.0,1.0,,,
2,BA,c10,gen_k1,281.02,85.21,4.31,1.53,2.14,4.31,4.49,15.0,1.0,,,
2,BA,c10,gen,281.02,85.21,12.17,4.33,7.08,12.17,12.37,15.0,1.031,,,
2,BA,c10,cor_k1,281.02,85.21,3.2,1.14,5.19,11.01,2.97,15.0,1.0,,,
2,BA,c10,cor,281.02,85.21,7.35,2.61,5.35,10.31,7.54,15.0,1.033,,,
2,BA,c10,cor_lm,281.02,85.21,7.3,2.6,5.33,10.26,7.49,15.0,1.033,,,
2,BA,c30,plain,209.8,65.21,5.95,2.84,2.46,5.95,6.18,15.0,1.0,,,
2,BA,c30,gen_k1,209.8,65.21,5.16,2.46,3.37,5.16,5.37,15.0,1.0,,,
2,BA,c30,gen,209.8,65.21,7.34,3.5,4.83,7.34,7.55,15.0,1.009,,,
2,BA,c30,cor_k1,209.8,65.21,3.31,1.58,5.21,9.28,3.12,15.0,1.0,,,
2,BA,c30,cor,209.8,65.21,3.06,1.46,4.49,7.89,3.1,15.0,1.012,,,
2,BA,c30,cor_lm,209.8,65.21,3.07,1.46,4.49,7.88,3.11,15.0,1.012,,,
2,BA,c60,plain,103.4,35.21,4.58,4.43,1.96,4.58,4.81,15.0,1.0,,,
2,BA,c60,gen_k1,103.4,35.21,4.65,4.49,3.59,4.65,4.85,15.0,1.0,,,
2,BA,c60,gen,103.4,35.21,3.34,3.23,2.66,3.34,3.54,15.0,0.991,,,
