run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
2,AB,c10,plain,822.37,243.51,27.03,3.29,17.1,27.03,27.29,15.0,1.0,,,
2,AB,c10,gen_k1,822.37,243.51,28.2,3.43,19.47,28.85,28.51,15.0,1.0,,,
2,AB,c10,gen,822.37,243.51,39.96,4.86,25.09,40.95,40.13,15.0,1.027,,,
2,AB,c10,cor_k1,822.37,243.51,2.46,0.3,5.39,9.47,2.87,15.0,1.0,,,
2,AB,c10,cor,822.37,243.51,34.74,4.22,19.99,36.06,34.59,15.0,1.043,,,
2,AB,c10,cor_lm,822.37,243.51,34.38,4.18,19.75,35.7,34.24,15.0,1.043,,,
2,AB,c30,plain,752.49,223.51,17.23,2.29,7.4,17.38,17.0,15.0,1.0,,,
2,AB,c30,gen_k1,752.49,223.51,16.22,2.15,8.61,17.71,16.03,15.0,1.0,,,
2,AB,c30,gen,752.49,223.51,24.27,3.22,13.37,25.71,24.1,15.0,1.013,,,
2,AB,c30,cor_k1,752.49,223.51,2.78,0.37,5.31,9.55,3.2,15.0,1.0,,,
2,AB,c30,cor,752.49,223.51,32.98,4.38,20.22,34.33,32.85,15.0,1.039,,,
2,AB,c30,cor_lm,752.49,223.51,32.49,4.32,19.89,33.84,32.36,15.0,1.039,,,
2,AB,c60,plain,639.03,193.51,17.68,2.77,8.39,17.82,17.47,15.0,1.0,,,
2,AB,c60,gen_k1,639.03,193.51,15.85,2.48,8.96,17.35,15.67,15.0,1.0,,,
2,AB,c60,gen,639.03,193.51,20.4,3.19,11.8,21.86,20.23,15.0,1.008,,,
2,AB,c60,cor_k1,639.03,193.51,2.88,0.45,5.29,9.45,3.2,15.0,1.0,,,
2,AB,c60,cor,639.03,193.51,14.33,2.24,10.14,15.79,14.26,15.0,1.015,,,
2,AB,c60,cor_lm,639.03,193.51,14.07,2.2,9.98,15.53,14.0,15.0,1.015,,,
2,AB,turn,plain,398.93,130.2,12.56,3.15,7.46,12.59,12.56,15.0,1.0,,,
2,AB,turn,gen_k1,398.93,130.2,12.44,3.12,9.07,13.88,12.44,15.0,1.0,,,
2,AB,turn,gen,398.93,130.2,10.39,2.6,7.8,11.9,10.34,15.0,0.994,,,
2,AB,turn,cor_k1,398.93,130.2,3.4,0.85,6.34,9.63,3.62,15.0,1.0,,,
2,AB,turn,cor,398.93,130.2,2.5,0.63,6.12,9.24,2.94,15.0,0.992,,,
2,AB,turn,cor_lm,398.93,130.2,2.76,0.69,6.17,9.2,3.2,15.0,0.991,,,
2,AB,c30r,gen_k1,,,,,,,,,,2.5563462793348917,2.4130242546521687,0.3793467320544622
2,AB,c30r,gen,,,,,,,,,,3.534242408012687,3.4791638484124037,0.3841605577875796
2,AB,c30r,cor_k1,,,,,,,,,,2.2168824753913134,2.2645935012937186,0.3793472611513039
2,AB,c30r,cor,,,,,,,,,,5.288328979062533,5.647030811489142,0.3941302057707479
2,AB,c30r,cor_lm,,,,,,,,,,5.288328979062533,5.647030811489142,0.3941302057707479
3,BA,c10,plain,814.72,224.0,35.23,4.32,19.77,36.56,35.25,15.01,1.0,,,
3,BA,c10,gen_k1,814.72,224.0,36.6,4.49,20.82,37.91,36.62,15.01,1.0,,,
3,BA,c10,gen,814.72,224.0,24.73,3.04,12.56,25.75,24.75,15.01,1.03,,,
3,BA,c10,cor_k1,814.72,224.0,28.92,3.55,22.48,29.67,28.93,15.01,1.0,,,
3,BA,c10,cor,814.72,224.0,4.66,0.57,6.69,13.93,4.65,15.01,1.032,,,
3,BA,c10,cor_lm,814.72,224.0,4.48,0.55,6.49,14.09,4.47,15.01,1.032,,,
3,BA,c30,plain,723.72,204.0,43.93,6.07,24.56,44.82,43.95,15.01,1.0,,,
3,BA,c30,gen_k1,723.72,204.0,45.52,6.29,25.89,46.65,45.53,15.01,1.0,,,
3,BA,c30,gen,723.72,204.0,37.0,5.11,20.83,37.51,37.01,15.01,1.049,,,
3,BA,c30,cor_k1,723.72,204.0,26.26,3.63,20.96,26.9,26.26,15.01,1.0,,,
3,BA,c30,cor,723.72,204.0,15.02,2.08,12.65,21.52,15.01,15.01,1.06,,,
3,BA,c30,cor_lm,723.72,204.0,15.02,2.08,12.81,21.79,15.01,15.01,1.06,,,
3,BA,c60,plain,575.46,174.0,30.37,5.28,17.97,31.5,30.39,15.01,1.0,,,
3,BA,c60,gen_k1,575.46,174.0,31.57,5.49,18.93,32.8,31.59,15.01,1.0,,,
3,BA,c60,gen,575.46,174.0,25.78,4.48,14.66,26.78,25.8,15.01,1.018,,,
3,BA,c60,cor_k1,575.46,174.0,21.87,3.8,18.28,22.36,21.87,15.01,1.0,,,
3,BA,c60,cor,575.46,174.0,9.05,1.57,7.46,11.17,9.03,15.01,1.034,,,
3,BA,c60,cor_lm,575.46,174.0,9.22,1.6,7.52,11.32,9.21,15.01,1.034,,,
3,BA,turn,plain,471.5,151.28,35.05,7.43,22.14,36.08,35.07,15.01,1.0,,,
3,BA,turn,gen_k1,471.5,151.28,35.34,7.5,22.45,36.54,35.36,15.01,1.0,,,
3,BA,turn,gen,471.5,151.28,31.96,6.78,19.77,33.05,31.97,15.01,1.01,,,
3,BA,turn,cor_k1,471.5,151.28,17.98,3.81,15.52,18.55,17.97,15.01,1.0,,,
3,BA,turn,cor,471.5,151.28,4.98,1.06,5.33,9.63,4.96,15.01,1.024,,,
3,BA,turn,cor_lm,471.5,151.28,5.0,1.06,5.26,9.3,4.98,15.01,1.024,,,
3,BA,c30r,gen_k1,,,,,,,,,,3.0633584985841753,4.122969929603474,0.5069591960977318
3,BA,c30r,gen,,,,,,,,,,7.863252549345999,7.802065052571088,0.5321236258020003
3,BA,c30r,cor_k1,,,,,,,,,,9.375413229980717,10.38844109515141,0.7977249455597588
3,BA,c30r,cor,,,,,,,,,,4.589671231916877,3.4599063015225013,0.7902355403166688
3,BA,c30r,cor_lm,,,,,,,,,,4.589671231916877,3.4599063015225013,0.7902355403166688
4,AB,c10,plain,853.61,238.23,18.3,2.14,15.48,22.72,18.41,15.01,1.0,,,
4,AB,c10,gen_k1,853.61,238.23,20.57,2.41,16.77,22.13,20.73,15.01,1.0,,,
4,AB,c10,gen,853.61,238.23,23.37,2.74,18.37,24.81,23.49,15.01,0.995,,,
4,AB,c10,cor_k1,853.61,238.23,44.37,5.2,26.95,45.93,44.34,15.01,1.0,,,
4,AB,c10,cor,853.61,238.23,45.39,5.32,27.57,46.91,45.37,15.01,0.999,,,
4,AB,c10,cor_lm,853.61,238.23,45.25,5.3,27.48,46.77,45.22,15.01,0.999,,,
4,AB,c30,plain,789.25,218.23,16.64,2.11,13.73,20.56,16.46,15.01,1.0,,,
4,AB,c30,gen_k1,789.25,218.23,17.3,2.19,13.11,18.9,17.18,15.01,1.0,,,
4,AB,c30,gen,789.25,218.23,3.64,0.46,3.66,5.7,3.32,15.01,1.027,,,
4,AB,c30,cor_k1,789.25,218.23,42.69,5.41,26.8,44.32,42.67,15.01,1.0,,,
4,AB,c30,cor,789.25,218.23,8.43,1.07,7.9,13.61,8.49,15.01,1.043,,,
4,AB,c30,cor_lm,789.25,218.23,8.57,1.09,7.98,13.74,8.63,15.01,1.043,,,
4,AB,c60,plain,676.72,188.23,14.51,2.14,11.95,17.99,14.29,15.01,1.0,,,
4,AB,c60,gen_k1,676.72,188.23,16.95,2.5,13.06,18.5,16.8,15.01,1.0,,,
4,AB,c60,gen,676.72,188.23,4.7,0.69,2.5,4.7,4.46,15.01,1.033,,,
4,AB,c60,cor_k1,676.72,188.23,40.69,6.01,27.18,42.42,40.67,15.01,1.0,,,
4,AB,c60,cor,676.72,188.23,11.52,1.7,10.06,15.71,11.57,15.01,1.038,,,
4,AB,c60,cor_lm,676.72,188.23,11.63,1.72,10.14,15.79,11.68,15.01,1.038,,,
4,AB,turn,plain,418.33,116.08,9.88,2.36,9.74,14.39,9.72,15.01,1.0,,,
4,AB,turn,gen_k1,418.33,116.08,19.28,4.61,15.8,20.98,19.27,15.01,1.0,,,
4,AB,turn,gen,418.33,116.08,15.86,3.79,10.18,16.01,16.17,15.01,1.069,,,
4,AB,turn,cor_k1,418.33,116.08,34.72,8.3,28.63,36.63,34.72,15.01,1.0,,,
4,AB,turn,cor,418.33,116.08,5.34,1.28,8.21,11.85,5.64,15.01,1.067,,,
4,AB,turn,cor_lm,418.33,116.08,5.1,1.22,8.31,11.99,5.4,15.01,1.066,,,
4,AB,c30r,gen_k1,,,,,,,,,,4.151368022732185,4.309056358679457,0.3849101768701014
4,AB,c30r,gen,,,,,,,,,,2.7590950630238056,2.8114187550393024,0.3953828361703364
4,AB,c30r,cor_k1,,,,,,,,,,4.476633768509202,4.611612419908289,0.3976382323945008
4,AB,c30r,cor,,,,,,,,,,2.5709060303560647,2.8631917631507817,0.4014209546584566
4,AB,c30r,cor_lm,,,,,,,,,,2.5709060303560647,2.8631917631507817,0.4014209546584566
5,BA,c10,plain,844.09,245.54,6.61,0.78,5.0,7.3,6.56,15.01,1.0,,,
5,BA,c10,gen_k1,844.09,245.54,9.75,1.16,7.44,10.34,9.56,15.01,1.0,,,
5,BA,c10,gen,844.09,245.54,3.37,0.4,3.37,5.53,3.58,15.01,1.019,,,
5,BA,c10,cor_k1,844.09,245.54,23.98,2.84,19.16,27.0,23.78,15.01,1.0,,,
