cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,10,3.56,5.38,10,29.7,45.8,18.4,30.0,29.8,45.9,1.0,6
c10,gen_k1,10,3.84,5.37,10,32.0,45.6,20.0,32.5,32.2,45.8,1.0,6
c10,gen,10,2.89,8.48,10,24.0,72.1,16.3,25.3,24.1,72.2,1.004,6
c10,cor_k1,10,2.55,7.3,10,21.5,62.0,20.7,28.3,21.5,62.0,1.0,6
c10,cor,10,1.88,10.76,9,15.8,91.5,17.5,25.3,15.8,91.4,1.007,6
c10,cor_lm,10,1.83,10.58,9,15.4,90.0,17.3,25.0,15.4,89.9,1.007,6
c30,plain,10,2.45,6.07,10,18.9,43.9,13.7,20.6,18.8,44.0,1.0,3
c30,gen_k1,10,2.27,6.29,10,17.9,45.5,13.4,18.8,17.9,45.5,1.0,3
c30,gen,10,3.8,6.12,10,29.6,47.1,15.7,29.8,29.6,47.2,1.028,6
c30,cor_k1,10,2.5,7.95,10,19.1,61.2,18.4,25.2,19.0,61.2,1.0,6
c30,cor,10,2.0,7.69,10,14.8,59.2,12.2,20.6,14.8,59.1,1.04,6
c30,cor_lm,10,2.0,7.56,10,14.8,58.2,12.4,20.7,14.8,58.2,1.04,6
c60,plain,10,2.54,5.28,10,16.5,30.4,11.9,17.8,16.4,30.4,1.0,3
c60,gen_k1,10,2.67,5.49,10,17.7,31.6,14.3,18.7,17.6,31.6,1.0,3
c60,gen,10,3.84,7.41,10,23.1,44.2,14.0,24.3,23.0,44.6,1.02,6
c60,cor_k1,10,2.84,7.74,10,18.1,46.2,16.7,22.3,18.0,46.1,1.0,6
c60,cor,10,2.04,3.52,10,13.2,21.1,9.9,16.3,13.3,21.0,1.036,11
c60,cor_lm,10,2.04,3.52,10,13.2,21.1,9.9,16.3,13.3,21.0,1.036,11
turn,plain,10,2.09,7.43,10,8.9,35.0,6.4,13.4,8.8,35.1,1.0,3
turn,gen_k1,10,3.23,7.5,10,14.0,35.3,11.5,15.0,14.1,35.4,1.0,3
turn,gen,10,4.27,6.78,10,19.1,32.0,10.0,19.3,19.3,32.0,1.016,3
turn,cor_k1,10,3.49,8.3,10,15.7,34.7,15.2,18.1,15.6,34.7,1.0,4
turn,cor,10,1.76,5.43,10,7.9,25.7,8.2,11.4,8.2,25.7,1.024,12
turn,cor_lm,10,1.76,5.37,10,7.8,25.4,8.3,11.5,7.9,25.4,1.023,12
