run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
2,AB,c10,plain,822.37,243.51,28.03,3.41,17.75,28.03,28.33,15.0,1.0,,,
2,AB,c10,gen_k1,822.37,243.51,29.55,3.59,20.18,30.68,29.89,15.0,1.0,,,
2,AB,c10,gen,822.37,243.51,48.99,5.96,29.68,50.46,49.13,15.0,1.045,,,
2,AB,c10,cor_k1,822.37,243.51,4.44,0.54,6.96,12.18,4.76,15.0,1.0,,,
2,AB,c10,cor,822.37,243.51,43.81,5.33,26.85,49.19,43.66,15.0,1.061,,,
2,AB,c10,cor_lm,822.37,243.51,43.81,5.33,26.56,48.72,43.66,15.0,1.061,,,
2,AB,c30,plain,752.49,223.51,15.56,2.07,6.92,15.7,15.36,15.0,1.0,,,
2,AB,c30,gen_k1,752.49,223.51,13.99,1.86,7.93,16.13,13.88,15.0,1.0,,,
2,AB,c30,gen,752.49,223.51,31.59,4.2,17.92,33.58,31.47,15.0,1.028,,,
2,AB,c30,cor_k1,752.49,223.51,3.38,0.45,6.23,11.25,3.82,15.0,1.0,,,
2,AB,c30,cor,752.49,223.51,42.71,5.68,25.83,44.6,42.57,15.0,1.053,,,
2,AB,c30,cor_lm,752.49,223.51,42.11,5.6,25.43,44.01,41.97,15.0,1.053,,,
2,AB,c60,plain,639.03,193.51,15.91,2.49,7.75,16.03,15.75,15.0,1.0,,,
2,AB,c60,gen_k1,639.03,193.51,13.85,2.17,8.27,15.99,13.74,15.0,1.0,,,
2,AB,c60,gen,639.03,193.51,20.2,3.16,11.89,22.29,20.09,15.0,1.01,,,
2,AB,c60,cor_k1,639.03,193.51,2.56,0.4,5.86,10.01,3.01,15.0,1.0,,,
2,AB,c60,cor,639.03,193.51,14.45,2.26,10.11,16.51,14.37,15.0,1.017,,,
2,AB,c60,cor_lm,639.03,193.51,14.19,2.22,9.96,16.25,14.12,15.0,1.017,,,
2,AB,turn,plain,398.93,130.2,13.19,3.31,8.32,13.23,13.21,15.0,1.0,,,
2,AB,turn,gen_k1,398.93,130.2,12.1,3.03,9.31,14.01,12.18,15.0,1.0,,,
2,AB,turn,gen,398.93,130.2,15.36,3.85,11.32,17.26,15.42,15.0,1.007,,,
2,AB,turn,cor_k1,398.93,130.2,2.84,0.71,6.64,9.38,3.14,15.0,1.0,,,
2,AB,turn,cor,398.93,130.2,6.06,1.52,7.4,10.56,6.11,15.0,1.006,,,
2,AB,turn,cor_lm,398.93,130.2,5.4,1.35,7.17,10.34,5.47,15.0,1.004,,,
2,AB,c30r,gen_k1,,,,,,,,,,2.624144796600866,2.5550660182106824,0.3730236211918481
