cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,10,3.6,5.05,10,30.5,43.2,17.3,31.0,30.5,43.2,1.0,12
c10,gen_k1,10,3.68,4.78,10,30.9,40.2,19.6,31.3,31.1,40.1,1.0,9
c10,gen,10,3.65,7.18,10,30.6,61.1,15.9,31.0,30.6,61.1,1.018,6
c10,cor_k1,10,2.36,6.1,10,19.6,51.6,16.2,22.5,19.7,51.6,1.0,8
c10,cor,10,2.44,8.4,10,20.7,71.4,13.7,22.0,20.6,71.3,1.022,6
c10,cor_lm,10,2.41,8.26,10,20.5,70.2,13.4,21.6,20.4,70.1,1.022,6
c30,plain,10,2.88,5.9,10,22.2,42.7,12.4,22.7,22.3,42.7,1.0,3
c30,gen_k1,10,2.8,5.89,10,21.3,42.6,13.9,21.3,21.4,42.7,1.0,3
c30,gen,10,3.99,6.99,10,30.9,51.3,19.2,31.9,30.8,51.3,1.03,11
c30,cor_k1,10,2.33,6.26,10,17.2,47.2,14.8,20.6,17.3,47.2,1.0,8
c30,cor,10,2.04,5.68,10,15.1,42.7,12.2,19.0,15.1,42.6,1.039,2
c30,cor_lm,10,2.02,5.6,10,15.0,42.1,12.1,19.0,15.0,42.0,1.039,2
c60,plain,10,2.54,5.19,10,16.6,29.9,10.8,16.6,16.5,29.9,1.0,3
c60,gen_k1,10,2.97,5.09,10,19.1,29.3,14.4,19.7,19.2,29.3,1.0,3
c60,gen,10,3.94,6.51,10,23.7,38.9,15.7,25.1,23.6,38.9,1.019,11
c60,cor_k1,10,2.46,6.15,10,14.8,38.2,13.8,20.0,14.9,38.2,1.0,8
c60,cor,10,1.98,3.52,10,12.1,21.1,9.2,16.7,12.1,21.0,1.028,11
c60,cor_lm,10,1.98,3.52,10,12.1,21.1,9.2,16.5,12.1,21.0,1.028,11
turn,plain,10,2.49,7.48,10,10.8,35.3,7.9,11.9,10.8,35.3,1.0,3
turn,gen_k1,10,3.29,7.13,10,14.1,33.6,10.0,15.1,14.1,33.6,1.0,3
turn,gen,10,4.04,7.37,10,17.7,32.3,12.2,19.3,17.7,32.3,1.008,11
turn,cor_k1,10,2.69,5.97,10,11.9,26.9,11.5,13.5,11.9,26.9,1.0,4
turn,cor,10,1.57,4.81,10,6.4,22.3,7.7,10.9,6.6,22.3,1.018,11
turn,cor_lm,10,1.54,4.66,10,6.6,22.1,7.7,10.9,6.7,22.1,1.018,11
