cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,20,2.26,7.99,20,6.2,23.5,4.2,7.4,6.1,23.4,1.0,1
c10,gen_k1,20,2.32,7.77,20,6.4,22.8,4.3,7.1,6.0,22.7,1.0,1
c10,gen,20,2.8,6.88,20,7.7,20.0,5.6,8.1,7.4,19.8,1.014,17
c10,cor_k1,20,2.37,5.77,20,6.4,15.1,7.6,12.6,6.5,15.4,1.0,19
c10,cor,20,1.41,3.19,20,3.8,8.6,6.2,11.0,3.7,8.7,1.013,15
c10,cor_lm,20,1.44,3.14,20,3.9,8.4,6.4,11.0,3.9,8.6,1.012,15
c30,plain,20,3.16,7.64,20,5.8,13.5,3.3,6.8,6.2,13.4,1.0,13
c30,gen_k1,20,2.58,6.82,20,5.2,13.5,3.9,5.9,5.2,13.7,1.0,17
c30,gen,20,3.55,11.67,19,7.6,16.7,5.0,8.0,7.6,16.8,1.014,13
c30,cor_k1,20,4.31,7.13,20,8.1,14.1,8.0,11.2,8.0,14.2,1.0,19
c30,cor,20,4.57,10.78,19,7.8,15.4,6.8,9.4,7.5,15.4,1.015,13
c30,cor_lm,20,4.63,10.78,19,7.9,15.4,6.8,9.5,7.7,15.4,1.014,13
c60,plain,14,5.5,11.07,12,4.6,13.6,1.9,4.6,4.8,13.5,1.0,18
c60,gen_k1,14,4.28,14.61,11,3.5,11.2,3.0,3.8,3.6,11.1,1.0,17
c60,gen,14,5.61,16.47,11,4.2,11.3,3.3,4.2,4.2,11.6,1.006,17
c60,cor_k1,14,4.86,11.69,13,4.2,10.6,5.3,6.5,4.0,10.4,1.0,6
c60,cor,14,4.47,15.02,12,4.3,9.6,3.6,5.6,4.2,10.2,1.025,21
c60,cor_lm,14,4.46,15.03,12,4.3,9.6,3.6,5.7,4.2,10.2,1.025,21
turn,plain,20,4.64,10.89,19,5.6,13.5,3.1,6.6,5.8,13.4,1.0,13
turn,gen_k1,20,4.38,10.91,19,5.0,12.6,4.1,5.8,4.9,12.5,1.0,17
turn,gen,20,4.47,13.01,18,6.5,13.2,4.7,7.5,6.6,13.3,1.01,13
turn,cor_k1,20,4.34,6.73,20,5.8,14.8,8.0,12.2,5.8,14.9,1.0,3
turn,cor,20,4.79,9.81,20,6.5,16.8,6.5,10.9,6.8,16.1,1.004,13
turn,cor_lm,20,5.08,9.79,20,7.1,17.4,6.7,11.1,7.2,16.6,1.002,13
