run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
1,AB,c10,plain,293.59,101.99,23.15,7.88,12.97,23.32,23.06,15.0,1.0,,,
1,AB,c10,gen_k1,293.59,101.99,20.57,7.0,12.27,20.74,20.47,15.0,1.0,,,
1,AB,c10,gen,293.59,101.99,25.13,8.56,15.94,25.26,25.05,15.0,1.03,,,
1,AB,c10,cor_k1,293.59,101.99,2.63,0.9,5.68,9.45,2.57,15.0,1.0,,,
1,AB,c10,cor,293.59,101.99,2.63,0.9,9.67,15.28,2.57,15.0,1.03,,,
1,AB,c10,cor_lm,293.59,101.99,2.63,0.9,9.24,14.54,2.57,15.0,1.029,,,
1,AB,c30,plain,228.88,81.99,13.89,6.07,8.47,14.02,13.82,15.0,1.0,,,
1,AB,c30,gen_k1,228.88,81.99,11.83,5.17,9.32,11.93,11.76,15.0,1.0,,,
1,AB,c30,gen,228.88,81.99,8.63,3.77,6.52,8.8,8.53,15.0,0.977,,,
1,AB,c30,cor_k1,228.88,81.99,6.76,2.95,5.8,8.39,6.84,15.0,1.0,,,
1,AB,c30,cor,228.88,81.99,8.12,3.55,6.25,9.23,8.22,15.0,0.956,,,
1,AB,c30,cor_lm,228.88,81.99,9.03,3.95,6.97,10.44,9.14,15.0,0.952,,,
1,AB,c60,plain,139.77,51.99,13.19,9.44,7.61,13.41,13.09,15.0,1.0,,,
1,AB,c60,gen_k1,139.77,51.99,10.45,7.48,7.57,10.61,10.36,15.0,1.0,,,
1,AB,c60,gen,139.77,51.99,10.95,7.84,7.19,11.29,10.86,15.0,0.94,,,
1,AB,c60,cor_k1,139.77,51.99,5.32,3.81,5.25,6.67,5.39,15.0,1.0,,,
1,AB,c60,cor,139.77,51.99,4.99,3.57,4.24,5.76,5.11,15.0,0.962,,,
1,AB,c60,cor_lm,139.77,51.99,5.13,3.67,4.39,5.93,5.25,15.0,0.961,,,
1,AB,turn,plain,224.46,80.46,13.82,6.16,8.29,13.96,13.75,15.0,1.0,,,
1,AB,turn,gen_k1,224.46,80.46,11.8,5.26,9.36,11.9,11.73,15.0,1.0,,,
1,AB,turn,gen,224.46,80.46,8.41,3.75,6.4,8.59,8.31,15.0,0.975,,,
1,AB,turn,cor_k1,224.46,80.46,6.47,2.88,5.55,7.94,6.54,15.0,1.0,,,
1,AB,turn,cor,224.46,80.46,8.26,3.68,6.39,9.54,8.36,15.0,0.953,,,
1,AB,turn,cor_lm,224.46,80.46,9.18,4.09,7.11,10.63,9.28,15.0,0.95,,,
1,AB,c30r,gen_k1,,,,,,,,,,9.842726449103598,10.85125228206659,0.35682345463067694
1,AB,c30r,gen,,,,,,,,,,7.116591256834141,7.856038708720595,0.3485706923178911
1,AB,c30r,cor_k1,,,,,,,,,,4.427779527789546,5.218745094943086,0.5570094686679752
1,AB,c30r,cor,,,,,,,,,,2.6789510022489695,1.6634515134368382,0.7222334085204201
1,AB,c30r,cor_lm,,,,,,,,,,3.3873727219451157,2.4885335352863924,0.6107697832261458
2,BA,c10,plain,281.02,85.21,2.49,0.89,1.33,2.49,2.68,15.0,1.0,,,
2,BA,c10,gen_k1,281.02,85.21,1.93,0.69,1.23,2.42,1.94,15.0,1.0,,,
2,BA,c10,gen,281.02,85.21,9.91,3.53,6.62,9.91,10.11,15.0,1.036,,,
2,BA,c10,cor_k1,281.02,85.21,6.99,2.49,6.26,12.03,6.76,15.0,1.0,,,
2,BA,c10,cor,281.02,85.21,4.73,1.68,5.16,10.41,4.91,15.0,1.038,,,
2,BA,c10,cor_lm,281.02,85.21,4.68,1.67,5.15,10.41,4.86,15.0,1.038,,,
2,BA,c30,plain,209.8,65.21,2.74,1.31,1.56,2.74,2.96,15.0,1.0,,,
2,BA,c30,gen_k1,209.8,65.21,1.98,0.94,2.43,3.62,2.17,15.0,1.0,,,
2,BA,c30,gen,209.8,65.21,5.05,2.41,4.39,5.83,5.26,15.0,1.013,,,
2,BA,c30,cor_k1,209.8,65.21,6.25,2.98,6.21,9.93,6.03,15.0,1.0,,,
2,BA,c30,cor,209.8,65.21,2.96,1.41,4.81,8.03,2.81,15.0,1.016,,,
2,BA,c30,cor_lm,209.8,65.21,2.96,1.41,4.81,8.02,2.8,15.0,1.016,,,
2,BA,c60,plain,103.4,35.21,1.7,1.65,1.13,1.7,1.93,15.0,1.0,,,
2,BA,c60,gen_k1,103.4,35.21,1.82,1.76,2.1,2.98,1.94,15.0,1.0,,,
2,BA,c60,gen,103.4,35.21,1.19,1.15,1.66,2.56,1.26,15.0,0.996,,,
2,BA,c60,cor_k1,103.4,35.21,5.61,5.43,7.68,10.79,5.39,15.0,1.0,,,
2,BA,c60,cor,103.4,35.21,5.77,5.58,7.75,10.79,5.54,15.0,0.998,,,
