cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,20,2.24,7.88,20,6.1,23.2,5.5,8.4,6.2,23.1,1.0,1
c10,gen_k1,20,2.28,7.72,20,6.1,21.3,5.2,7.9,5.8,21.6,1.0,17
c10,gen,20,2.53,8.56,20,6.9,25.1,5.2,7.3,6.8,25.0,1.016,1
c10,cor_k1,20,2.41,9.09,20,6.7,23.8,7.7,12.8,6.8,24.1,1.0,19
c10,cor,20,1.42,4.61,20,3.9,12.1,6.8,11.4,3.6,12.4,1.015,19
c10,cor_lm,20,1.48,4.47,20,4.0,11.7,6.9,11.4,3.6,12.0,1.015,19
c30,plain,20,2.96,7.31,20,5.8,14.4,3.3,6.4,5.7,14.7,1.0,17
c30,gen_k1,20,2.9,7.89,20,4.9,15.6,3.8,5.3,5.1,15.8,1.0,17
c30,gen,20,3.5,13.22,18,7.2,18.9,5.0,7.3,7.2,19.0,1.018,13
c30,cor_k1,20,3.66,9.59,20,7.7,14.1,7.9,10.9,7.7,14.1,1.0,19
c30,cor,20,4.36,10.78,18,7.8,15.7,6.3,9.9,7.6,15.4,1.016,13
c30,cor_lm,20,4.36,10.78,18,8.1,15.7,6.7,10.5,7.8,15.4,1.016,13
c60,plain,14,6.65,12.81,12,4.4,13.2,2.1,4.5,4.4,13.1,1.0,20
c60,gen_k1,14,3.5,17.02,11,3.6,11.7,3.1,3.6,3.6,11.9,1.0,17
c60,gen,14,5.0,18.78,10,4.1,12.9,3.0,4.1,4.3,13.2,1.002,17
c60,cor_k1,14,4.06,10.95,13,4.1,9.9,4.8,6.3,4.3,9.8,1.0,6
c60,cor,14,5.28,15.77,12,4.9,10.0,4.1,5.8,4.9,10.7,1.02,21
c60,cor_lm,14,5.24,15.78,12,4.9,10.0,4.1,5.9,4.9,10.7,1.02,21
turn,plain,20,3.79,10.24,19,5.9,13.8,3.3,6.4,5.9,13.9,1.0,13
turn,gen_k1,20,3.59,12.78,19,5.2,12.7,4.1,5.7,5.4,12.9,1.0,17
turn,gen,20,3.79,14.69,17,6.6,16.1,4.8,6.9,6.6,16.2,1.01,13
turn,cor_k1,20,4.27,10.43,19,7.8,14.1,8.3,12.1,7.6,13.8,1.0,19
turn,cor,20,4.8,12.04,19,7.9,15.7,7.6,11.1,7.6,15.0,1.0,13
turn,cor_lm,20,5.06,12.01,19,8.1,16.2,7.6,11.3,7.8,15.5,1.0,13
