run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
1,AB,c10,plain,293.59,101.99,22.89,7.8,10.84,23.08,22.78,15.0,1.0,,,
1,AB,c10,gen_k1,293.59,101.99,19.64,6.69,9.33,19.85,19.53,15.0,1.0,,,
1,AB,c10,cor_k1,293.59,101.99,1.2,0.41,5.0,9.14,1.11,15.0,1.0,,,
1,AB,c10,cor,293.59,101.99,2.63,0.9,7.32,12.78,2.57,15.0,1.054,,,
1,AB,c30,plain,228.88,81.99,9.22,4.03,4.82,9.22,9.22,15.0,1.0,,,
1,AB,c30,gen_k1,228.88,81.99,7.07,3.09,4.75,7.07,7.11,15.0,1.0,,,
1,AB,c30,cor_k1,228.88,81.99,6.43,2.81,5.49,9.21,6.52,15.0,1.0,,,
1,AB,c30,cor,228.88,81.99,6.61,2.89,5.31,9.08,6.7,15.0,1.002,,,
1,AB,c60,plain,139.77,51.99,12.57,8.99,6.76,12.76,12.46,15.0,1.0,,,
1,AB,c60,gen_k1,139.77,51.99,8.97,6.42,4.9,9.15,8.87,15.0,1.0,,,
1,AB,c60,cor_k1,139.77,51.99,5.32,3.81,3.85,5.32,5.39,15.0,1.0,,,
1,AB,c60,cor,139.77,51.99,5.32,3.81,4.35,5.86,5.39,15.0,1.011,,,
1,AB,turn,plain,224.46,80.46,8.95,3.99,4.6,8.95,8.95,15.0,1.0,,,
1,AB,turn,gen_k1,224.46,80.46,7.09,3.16,4.81,7.09,7.13,15.0,1.0,,,
1,AB,turn,cor_k1,224.46,80.46,6.11,2.72,5.34,9.1,6.2,15.0,1.0,,,
1,AB,turn,cor,224.46,80.46,6.08,2.71,5.3,9.15,6.17,15.0,0.998,,,
1,AB,c30r,gen_k1,,,,,,,,,,4.399615144464271,5.132039770735928,0.33822175559303486
1,AB,c30r,cor_k1,,,,,,,,,,3.4698231541193807,2.466293107992653,0.6087880563034977
1,AB,c30r,cor,,,,,,,,,,3.110262573955026,2.0289822469616463,0.7937501828525777
2,BA,c10,plain,281.02,85.21,10.42,3.71,4.8,10.42,10.56,15.0,1.0,,,
2,BA,c10,gen_k1,281.02,85.21,9.51,3.38,4.59,9.52,9.61,15.0,1.0,,,
2,BA,c10,cor_k1,281.02,85.21,2.37,0.84,4.44,9.21,2.49,15.0,1.0,,,
2,BA,c10,cor,281.02,85.21,14.46,5.14,7.86,14.46,14.66,15.0,1.041,,,
2,BA,c30,plain,209.8,65.21,8.65,4.12,3.55,8.65,8.88,15.0,1.0,,,
2,BA,c30,gen_k1,209.8,65.21,8.62,4.11,4.84,8.62,8.84,15.0,1.0,,,
2,BA,c30,cor_k1,209.8,65.21,3.61,1.72,4.6,7.88,3.7,15.0,1.0,,,
2,BA,c30,cor,209.8,65.21,4.06,1.93,4.55,7.81,4.17,15.0,1.002,,,
2,BA,c60,plain,103.4,35.21,6.51,6.29,2.57,6.51,6.73,15.0,1.0,,,
2,BA,c60,gen_k1,103.4,35.21,7.51,7.27,5.07,7.51,7.72,15.0,1.0,,,
