cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,20,2.98,8.32,20,8.1,22.9,4.8,9.0,8.3,23.3,1.0,14
c10,gen_k1,20,2.44,7.35,20,6.8,20.2,5.6,8.7,6.9,20.6,1.0,14
c10,cor_k1,20,1.46,4.28,20,4.0,11.7,7.6,13.8,4.0,11.3,1.0,10
c10,cor,20,1.1,5.14,20,3.0,14.5,5.6,10.9,3.2,14.7,1.03,2
c30,plain,20,4.08,7.57,20,8.5,15.0,3.7,8.6,8.3,15.0,1.0,16
c30,gen_k1,20,3.38,7.02,20,6.8,13.9,3.9,7.2,6.9,13.9,1.0,16
c30,cor_k1,20,3.38,7.1,20,6.8,12.6,7.1,10.7,6.9,12.3,1.0,11
c30,cor,20,2.96,9.56,20,6.6,14.7,6.1,9.1,6.7,15.3,1.02,13
c60,plain,14,7.83,18.96,9,6.9,12.6,2.7,6.9,6.7,12.5,1.0,18
c60,gen_k1,14,6.24,16.24,10,5.5,13.7,3.5,5.5,5.3,13.8,1.0,16
c60,cor_k1,14,4.09,10.59,13,3.4,9.6,4.2,5.6,3.3,9.4,1.0,6
c60,cor,14,5.14,18.98,10,5.1,12.1,4.5,6.1,5.1,12.7,1.014,21
turn,plain,20,4.78,9.34,20,7.6,16.4,3.2,7.8,7.6,16.4,1.0,13
turn,gen_k1,20,4.2,9.66,20,6.4,13.8,4.2,6.5,6.4,13.9,1.0,17
turn,cor_k1,20,3.34,5.74,20,4.7,12.5,7.9,11.2,4.5,12.2,1.0,10
turn,cor,20,3.6,8.7,20,6.4,11.4,6.4,10.5,6.5,11.0,1.007,21
