run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
2,AB,c10,plain,822.37,243.51,26.77,3.26,17.5,26.77,27.11,15.0,1.0,,,
2,AB,c10,gen_k1,822.37,243.51,28.71,3.49,20.08,29.19,29.08,15.0,1.0,,,
2,AB,c10,gen,822.37,243.51,48.15,5.86,27.99,48.2,48.31,15.0,1.047,,,
2,AB,c10,cor_k1,822.37,243.51,9.04,1.1,10.57,16.1,9.27,15.0,1.0,,,
2,AB,c10,cor,822.37,243.51,43.81,5.33,23.61,44.41,43.66,15.0,1.063,,,
2,AB,c10,cor_lm,822.37,243.51,43.81,5.33,23.37,44.02,43.66,15.0,1.063,,,
2,AB,c30,plain,752.49,223.51,12.85,1.71,5.54,12.96,12.65,15.0,1.0,,,
2,AB,c30,gen_k1,752.49,223.51,11.05,1.47,6.68,11.49,10.97,15.0,1.0,,,
2,AB,c30,gen,752.49,223.51,31.57,4.2,16.31,31.84,31.46,15.0,1.033,,,
2,AB,c30,cor_k1,752.49,223.51,7.25,0.96,9.4,14.79,7.55,15.0,1.0,,,
2,AB,c30,cor,752.49,223.51,41.27,5.48,23.27,41.44,41.14,15.0,1.057,,,
2,AB,c30,cor_lm,752.49,223.51,40.76,5.42,22.92,40.92,40.63,15.0,1.057,,,
2,AB,c60,plain,639.03,193.51,14.36,2.25,6.19,14.46,14.18,15.0,1.0,,,
2,AB,c60,gen_k1,639.03,193.51,11.33,1.77,6.61,11.77,11.24,15.0,1.0,,,
2,AB,c60,gen,639.03,193.51,23.54,3.68,12.48,23.87,23.44,15.0,1.021,,,
2,AB,c60,cor_k1,639.03,193.51,5.32,0.83,8.33,13.05,5.65,15.0,1.0,,,
2,AB,c60,cor,639.03,193.51,17.94,2.81,10.62,18.3,17.85,15.0,1.027,,,
2,AB,c60,cor_lm,639.03,193.51,17.7,2.77,10.47,18.06,17.61,15.0,1.027,,,
2,AB,turn,plain,398.93,130.2,12.87,3.23,6.97,12.9,12.83,15.0,1.0,,,
2,AB,turn,gen_k1,398.93,130.2,10.94,2.74,7.55,11.32,11.01,15.0,1.0,,,
2,AB,turn,gen,398.93,130.2,15.27,3.83,10.09,15.64,15.27,15.0,1.006,,,
2,AB,turn,cor_k1,398.93,130.2,2.56,0.64,7.14,10.1,3.0,15.0,1.0,,,
2,AB,turn,cor,398.93,130.2,5.75,1.44,6.73,9.88,5.82,15.0,1.005,,,
2,AB,turn,cor_lm,398.93,130.2,5.06,1.27,6.57,9.66,5.16,15.0,1.003,,,
2,AB,c30r,gen_k1,,,,,,,,,,3.6486686301342415,3.7768515628197696,0.36744405683203324
2,AB,c30r,gen,,,,,,,,,,4.305428162363356,4.26965970443085,0.3785705883500637
2,AB,c30r,cor_k1,,,,,,,,,,4.576656541734858,4.856020680019996,0.3729338156049851
2,AB,c30r,cor,,,,,,,,,,6.183147788227628,6.5054100706348965,0.3875667011105897
2,AB,c30r,cor_lm,,,,,,,,,,6.183147788227628,6.5054100706348965,0.3875667011105897
3,BA,c10,plain,814.72,224.0,40.04,4.91,23.56,41.65,40.06,15.01,1.0,,,
