cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,10,2.7,5.87,10,22.4,50.3,13.5,22.4,22.6,50.2,1.0,12
c10,gen_k1,10,2.84,5.3,10,23.6,45.4,15.6,23.8,23.8,45.3,1.0,12
c10,gen,10,3.07,5.86,10,25.3,48.2,13.9,25.9,25.4,48.3,1.014,2
c10,cor_k1,10,1.54,5.52,10,13.1,47.0,14.1,22.5,13.1,46.9,1.0,6
c10,cor,10,0.76,5.33,10,6.4,43.8,9.7,18.2,6.3,43.7,1.014,2
c10,cor_lm,10,0.74,5.33,10,6.3,43.8,9.5,17.8,6.2,43.7,1.014,2
c30,plain,10,2.12,6.47,10,15.7,46.8,6.9,16.6,15.6,46.8,1.0,3
c30,gen_k1,10,1.73,6.86,10,13.0,49.7,6.9,14.0,12.9,49.7,1.0,3
c30,gen,10,3.56,5.8,10,26.9,42.6,14.1,27.1,26.9,42.5,1.028,11
c30,cor_k1,10,1.52,5.73,10,11.8,44.1,13.2,20.5,11.8,44.0,1.0,6
c30,cor,10,1.86,5.48,10,14.1,41.3,10.5,17.5,14.2,41.1,1.039,2
c30,cor_lm,10,1.87,5.42,10,14.3,40.8,10.7,17.8,14.3,40.6,1.039,2
c60,plain,10,2.99,5.8,10,18.8,33.4,8.8,19.9,18.9,33.4,1.0,3
c60,gen_k1,10,2.92,6.16,10,18.0,35.4,8.6,18.0,18.0,35.5,1.0,3
c60,gen,10,2.64,4.91,10,17.1,29.5,9.8,17.7,17.0,29.5,1.018,3
c60,cor_k1,10,1.69,6.43,10,11.3,38.4,12.3,20.0,11.3,38.3,1.0,6
c60,cor,10,1.79,3.12,10,10.6,18.7,8.0,14.8,10.7,18.6,1.022,11
c60,cor_lm,10,1.82,3.09,10,10.8,18.5,8.0,15.0,10.9,18.4,1.022,11
turn,plain,10,3.18,7.67,10,13.9,36.2,7.1,15.0,13.8,36.2,1.0,3
turn,gen_k1,10,2.73,8.09,10,12.3,38.2,7.9,14.4,12.1,38.2,1.0,3
turn,gen,10,3.5,7.08,10,15.3,33.4,8.5,15.8,15.2,33.4,1.011,3
turn,cor_k1,10,2.12,7.37,10,9.7,31.0,11.8,15.9,9.6,31.0,1.0,6
turn,cor,10,1.58,3.67,10,7.0,17.4,8.9,12.3,6.9,17.4,1.015,12
turn,cor_lm,10,1.56,3.61,10,7.2,17.1,8.8,12.2,7.1,17.1,1.015,12
