cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,20,2.33,8.01,20,6.5,23.2,6.2,9.0,6.4,23.1,1.0,17
c10,gen_k1,20,3.02,7.92,20,8.2,21.9,6.4,10.6,7.8,22.1,1.0,17
c10,gen,20,3.52,8.32,20,9.8,24.4,7.3,10.7,9.7,24.3,1.033,14
c10,cor_k1,20,2.62,7.41,20,7.5,19.4,9.5,15.3,7.3,19.7,1.0,19
c10,cor,20,1.09,6.4,20,3.1,16.8,5.8,10.8,2.9,17.0,1.034,19
c30,plain,20,3.05,6.61,20,6.2,13.1,3.3,7.2,6.0,13.2,1.0,16
c30,gen_k1,20,2.52,6.8,20,4.6,13.1,3.8,6.0,4.6,13.3,1.0,19
c30,gen,20,4.86,11.61,19,10.0,18.3,6.0,10.0,10.2,18.3,1.03,13
c30,cor_k1,20,4.47,10.55,19,7.7,14.6,8.7,13.7,7.8,14.2,1.0,11
c30,cor,20,4.36,10.78,19,7.5,15.4,6.5,9.3,7.4,15.4,1.03,13
c60,plain,14,7.74,15.91,9,5.7,12.1,2.1,5.7,6.0,12.0,1.0,20
c60,gen_k1,14,5.9,14.09,11,3.6,11.9,2.3,4.0,4.0,12.0,1.0,17
c60,gen,14,6.28,17.59,10,5.6,12.2,3.4,5.6,5.8,12.3,1.011,17
c60,cor_k1,14,4.2,10.73,12,3.9,9.7,5.7,7.3,3.8,9.6,1.0,6
c60,cor,14,5.14,15.14,10,4.8,9.8,4.4,6.7,4.7,10.3,1.028,21
turn,plain,20,4.36,8.25,20,6.1,13.8,2.8,6.4,6.0,13.9,1.0,13
turn,gen_k1,20,2.67,10.55,19,4.6,11.5,3.4,5.7,4.6,11.7,1.0,17
turn,gen,20,5.23,12.76,17,6.9,17.8,4.4,7.8,7.3,17.9,1.021,17
turn,cor_k1,20,4.2,11.21,19,7.3,15.7,9.7,13.0,7.0,14.8,1.0,11
turn,cor,20,3.5,9.8,20,5.9,15.8,6.4,10.7,6.3,15.1,1.014,13
