run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
1,AB,c10,plain,293.59,101.99,21.08,7.18,10.16,21.29,20.97,15.0,1.0,,,
1,AB,c10,gen_k1,293.59,101.99,17.73,6.04,8.53,17.95,17.62,15.0,1.0,,,
1,AB,c10,cor_k1,293.59,101.99,5.05,1.72,7.72,12.39,5.06,15.0,1.0,,,
1,AB,c30,plain,228.88,81.99,6.24,2.73,4.22,6.24,6.28,15.0,1.0,,,
1,AB,c30,gen_k1,228.88,81.99,3.89,1.7,4.01,6.24,3.99,15.0,1.0,,,
1,AB,c30,cor_k1,228.88,81.99,7.5,3.28,7.66,11.26,7.6,15.0,1.0,,,
1,AB,c60,plain,139.77,51.99,10.07,7.21,5.49,10.27,9.97,15.0,1.0,,,
1,AB,c60,gen_k1,139.77,51.99,6.5,4.65,3.85,6.72,6.4,15.0,1.0,,,
1,AB,c60,cor_k1,139.77,51.99,4.68,3.35,4.08,5.52,4.78,15.0,1.0,,,
1,AB,turn,plain,224.46,80.46,6.03,2.68,4.14,6.03,6.07,15.0,1.0,,,
1,AB,turn,gen_k1,224.46,80.46,3.94,1.76,4.05,6.23,4.04,15.0,1.0,,,
1,AB,turn,cor_k1,224.46,80.46,7.21,3.21,7.57,11.06,7.31,15.0,1.0,,,
1,AB,c30r,gen_k1,,,,,,,,,,3.724776552681059,4.333832939114644,0.38214010419124766
1,AB,c30r,cor_k1,,,,,,,,,,6.913993542722009,5.024443249807607,0.5952158390109079
2,BA,c10,plain,281.02,85.21,6.86,2.44,4.6,9.15,6.82,15.0,1.0,,,
2,BA,c10,gen_k1,281.02,85.21,7.58,2.7,4.11,8.68,7.5,15.0,1.0,,,
2,BA,c10,cor_k1,281.02,85.21,6.22,2.21,6.82,13.79,5.99,15.0,1.0,,,
2,BA,c30,plain,209.8,65.21,3.24,1.54,0.94,3.24,3.47,15.0,1.0,,,
2,BA,c30,gen_k1,209.8,65.21,2.04,0.97,1.12,2.15,2.26,15.0,1.0,,,
2,BA,c30,cor_k1,209.8,65.21,5.59,2.66,6.76,11.84,5.36,15.0,1.0,,,
2,BA,c60,plain,103.4,35.21,3.7,3.58,1.9,3.7,3.92,15.0,1.0,,,
2,BA,c60,gen_k1,103.4,35.21,2.78,2.69,2.17,2.91,2.91,15.0,1.0,,,
2,BA,c60,cor_k1,103.4,35.21,3.92,3.79,7.71,11.6,3.69,15.0,1.0,,,
2,BA,turn,plain,100.16,34.26,3.64,3.64,1.88,3.64,3.86,15.0,1.0,,,
2,BA,turn,gen_k1,100.16,34.26,2.78,2.77,2.2,2.91,2.91,15.0,1.0,,,
2,BA,turn,cor_k1,100.16,34.26,3.92,3.92,7.81,11.6,3.69,15.0,1.0,,,
2,BA,c30r,gen_k1,,,,,,,,,,1.0669861469943802,0.6855846422574833,0.3471743445219672
2,BA,c30r,cor_k1,,,,,,,,,,1.9637775651775493,9.709813240233181,2.293319951556594
3,AB,c10,plain,285.48,91.73,6.23,2.18,2.08,6.28,6.07,15.0,1.0,,,
3,AB,c10,gen_k1,285.48,91.73,2.49,0.87,1.68,2.6,2.33,15.0,1.0,,,
3,AB,c10,cor_k1,285.48,91.73,5.19,1.82,8.37,13.46,5.34,15.0,1.0,,,
3,AB,c30,plain,218.77,71.73,6.63,3.03,2.47,6.68,6.47,15.0,1.0,,,
3,AB,c30,gen_k1,218.77,71.73,4.28,1.96,1.88,4.32,4.12,15.0,1.0,,,
3,AB,c30,cor_k1,218.77,71.73,8.68,3.97,9.79,11.97,8.78,15.0,1.0,,,
3,AB,c60,plain,105.57,41.73,5.72,5.41,2.54,5.76,5.56,15.0,1.0,,,
3,AB,c60,gen_k1,105.57,41.73,4.37,4.14,2.61,4.42,4.2,15.0,1.0,,,
3,AB,c60,cor_k1,105.57,41.73,4.58,4.34,3.54,4.59,4.5,15.0,1.0,,,
3,AB,turn,plain,220.07,72.1,6.72,3.05,2.51,6.76,6.56,15.0,1.0,,,
3,AB,turn,gen_k1,220.07,72.1,4.21,1.91,1.81,4.25,4.04,15.0,1.0,,,
3,AB,turn,cor_k1,220.07,72.1,9.81,4.46,10.29,12.71,9.89,15.0,1.0,,,
3,AB,c30r,gen_k1,,,,,,,,,,1.4529702532200288,2.0563004499986826,0.3714326085790756
3,AB,c30r,cor_k1,,,,,,,,,,8.255223696584572,7.568200539101916,0.9746088144520294
4,BA,c10,plain,275.02,76.58,6.6,2.4,4.42,7.57,6.54,15.0,1.0,,,
4,BA,c10,gen_k1,275.02,76.58,7.15,2.6,4.64,8.31,7.12,15.0,1.0,,,
4,BA,c10,cor_k1,275.02,76.58,5.5,2.0,7.58,15.0,5.54,15.0,1.0,,,
4,BA,c30,plain,193.22,56.58,3.76,1.95,1.67,3.76,3.69,15.0,1.0,,,
4,BA,c30,gen_k1,193.22,56.58,3.35,1.73,1.87,3.4,3.28,15.0,1.0,,,
4,BA,c30,cor_k1,193.22,56.58,4.58,2.37,6.69,10.88,4.65,15.0,1.0,,,
4,BA,c60,plain,80.49,26.58,4.11,5.11,1.44,4.11,4.06,15.0,1.0,,,
4,BA,c60,gen_k1,80.49,26.58,3.37,4.19,2.24,3.48,3.3,15.0,1.0,,,
4,BA,c60,cor_k1,80.49,26.58,4.75,5.9,6.23,6.94,4.82,15.0,1.0,,,
4,BA,turn,plain,97.59,31.55,4.55,4.66,1.59,4.55,4.49,15.0,1.0,,,
4,BA,turn,gen_k1,97.59,31.55,3.42,3.5,2.25,3.52,3.34,15.0,1.0,,,
4,BA,turn,cor_k1,97.59,31.55,3.5,3.59,7.19,9.76,3.58,15.0,1.0,,,
4,BA,c30r,gen_k1,,,,,,,,,,1.8487760556280797,1.4356924191984286,0.39305292687624066
4,BA,c30r,cor_k1,,,,,,,,,,10.70503693206723,9.370770083147198,1.5554512020726834
5,AB,c10,plain,282.05,84.07,11.35,4.02,3.17,11.35,11.08,15.0,1.0,,,
5,AB,c10,gen_k1,282.05,84.07,8.36,2.97,2.43,8.36,8.1,15.0,1.0,,,
5,AB,c10,cor_k1,282.05,84.07,1.06,0.38,6.3,9.76,1.07,15.0,1.0,,,
5,AB,c30,plain,212.32,64.07,10.43,4.91,3.42,10.43,10.14,15.0,1.0,,,
5,AB,c30,gen_k1,212.32,64.07,9.08,4.28,3.75,9.08,8.79,15.0,1.0,,,
5,AB,c30,cor_k1,212.32,64.07,3.18,1.5,6.16,8.3,3.09,15.0,1.0,,,
5,AB,c60,plain,104.22,34.07,9.85,9.45,3.49,9.85,9.59,15.0,1.0,,,
5,AB,c60,gen_k1,104.22,34.07,9.29,8.91,4.31,9.29,9.03,15.0,1.0,,,
5,AB,c60,cor_k1,104.22,34.07,4.08,3.91,3.13,4.34,3.83,15.0,1.0,,,
5,AB,turn,plain,222.98,67.19,11.19,5.02,3.85,11.19,10.9,15.0,1.0,,,
5,AB,turn,gen_k1,222.98,67.19,8.94,4.01,3.58,8.95,8.66,15.0,1.0,,,
5,AB,turn,cor_k1,222.98,67.19,7.62,3.42,8.01,10.92,7.55,15.0,1.0,,,
5,AB,c30r,gen_k1,,,,,,,,,,1.8114433371542367,2.5200162195554774,0.42056354440268423
5,AB,c30r,cor_k1,,,,,,,,,,5.727205671643779,5.544555553019207,0.4207233691450695
6,BA,c10,plain,284.08,77.59,4.13,1.45,3.34,6.19,4.27,15.0,1.0,,,
6,BA,c10,gen_k1,284.08,77.59,4.85,1.71,3.67,6.4,4.96,15.0,1.0,,,
6,BA,c10,cor_k1,284.08,77.59,3.96,1.39,6.04,11.19,3.83,15.0,1.0,,,
6,BA,c30,plain,203.65,57.59,7.43,3.65,5.81,10.3,7.51,15.0,1.0,,,
6,BA,c30,gen_k1,203.65,57.59,7.87,3.86,5.27,9.48,7.94,15.0,1.0,,,
6,BA,c30,cor_k1,203.65,57.59,4.12,2.02,6.08,8.95,3.97,15.0,1.0,,,
6,BA,c60,plain,90.64,27.59,3.49,3.85,1.44,3.49,3.57,15.0,1.0,,,
6,BA,c60,gen_k1,90.64,27.59,3.23,3.56,3.44,4.43,3.36,15.0,1.0,,,
6,BA,c60,cor_k1,90.64,27.59,9.51,10.49,10.03,11.59,9.36,15.0,1.0,,,
6,BA,turn,plain,102.5,31.02,2.71,2.64,2.01,3.18,2.84,15.0,1.0,,,
6,BA,turn,gen_k1,102.5,31.02,3.34,3.26,3.5,4.56,3.47,15.0,1.0,,,
6,BA,turn,cor_k1,102.5,31.02,2.57,2.51,7.12,10.36,2.43,15.0,1.0,,,
6,BA,c30r,gen_k1,,,,,,,,,,5.464075387263664,4.983070958928599,0.3885478753977663
6,BA,c30r,cor_k1,,,,,,,,,,8.34570266173812,7.6829515132972706,1.6662730320051191
