cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,20,3.31,9.11,20,9.2,25.2,6.2,10.9,9.1,25.4,1.0,17
c10,gen_k1,20,2.98,9.01,20,8.4,24.9,7.2,10.9,8.2,25.2,1.0,17
c10,cor_k1,20,2.06,6.47,20,5.7,17.6,7.6,14.3,5.8,17.3,1.0,10
c30,plain,20,4.26,10.6,19,7.7,20.9,4.2,9.6,7.6,21.0,1.0,16
c30,gen_k1,20,3.54,9.06,20,7.0,17.9,5.2,8.7,6.9,17.9,1.0,16
c30,cor_k1,20,4.2,8.59,20,7.6,15.4,6.9,11.3,7.4,15.0,1.0,10
c60,plain,14,7.92,20.47,10,6.2,13.3,2.5,6.2,6.5,13.4,1.0,18
c60,gen_k1,14,6.54,20.72,9,5.9,17.5,3.6,6.0,5.9,17.6,1.0,16
c60,cor_k1,14,4.4,14.87,12,4.0,9.5,4.3,5.7,3.8,10.1,1.0,21
turn,plain,20,4.74,14.0,19,6.7,20.8,3.4,7.3,6.8,20.8,1.0,13
turn,gen_k1,20,3.68,10.9,18,5.4,17.4,4.2,7.1,5.7,17.4,1.0,17
turn,cor_k1,20,3.67,7.75,20,6.9,16.9,7.9,11.6,6.6,16.6,1.0,10
