run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
2,AB,c10,plain,822.37,243.51,33.9,4.12,21.74,33.9,34.26,15.0,1.0,,,
2,AB,c10,gen_k1,822.37,243.51,35.63,4.33,23.97,35.95,36.02,15.0,1.0,,,
2,AB,c10,gen,822.37,243.51,39.7,4.83,24.23,40.36,40.02,15.0,1.015,,,
2,AB,c10,cor_k1,822.37,243.51,6.18,0.75,12.08,19.62,6.45,15.0,1.0,,,
2,AB,c10,cor,822.37,243.51,19.68,2.39,9.06,21.31,19.56,15.0,1.03,,,
2,AB,c10,cor_lm,822.37,243.51,19.3,2.35,8.9,20.93,19.18,15.0,1.03,,,
2,AB,c30,plain,752.49,223.51,14.95,1.99,8.35,14.98,14.95,15.0,1.0,,,
2,AB,c30,gen_k1,752.49,223.51,14.39,1.91,10.12,15.9,14.51,15.0,1.0,,,
2,AB,c30,gen,752.49,223.51,37.81,5.03,18.48,39.33,37.79,15.0,1.041,,,
2,AB,c30,cor_k1,752.49,223.51,3.82,0.51,10.03,17.01,4.24,15.0,1.0,,,
2,AB,c30,cor,752.49,223.51,43.88,5.83,25.53,50.74,43.74,15.0,1.064,,,
2,AB,c30,cor_lm,752.49,223.51,43.88,5.83,24.86,49.69,43.74,15.0,1.064,,,
2,AB,c60,plain,639.03,193.51,17.52,2.74,8.46,17.57,17.5,15.0,1.0,,,
2,AB,c60,gen_k1,639.03,193.51,15.43,2.41,9.46,17.03,15.49,15.0,1.0,,,
2,AB,c60,gen,639.03,193.51,33.04,5.17,17.1,34.57,33.03,15.0,1.033,,,
2,AB,c60,cor_k1,639.03,193.51,2.91,0.46,7.68,13.47,3.23,15.0,1.0,,,
2,AB,c60,cor,639.03,193.51,31.23,4.89,16.69,32.81,31.1,15.0,1.04,,,
2,AB,c60,cor_lm,639.03,193.51,30.69,4.8,16.33,32.27,30.56,15.0,1.04,,,
2,AB,turn,plain,398.93,130.2,19.05,4.78,10.66,19.07,19.1,15.0,1.0,,,
2,AB,turn,gen_k1,398.93,130.2,17.42,4.37,11.4,18.92,17.52,15.0,1.0,,,
2,AB,turn,gen,398.93,130.2,27.43,6.88,17.49,28.83,27.53,15.0,1.024,,,
2,AB,turn,cor_k1,398.93,130.2,8.36,2.1,7.51,10.07,8.36,15.0,1.0,,,
2,AB,turn,cor,398.93,130.2,20.31,5.09,13.11,21.98,20.21,15.0,1.023,,,
2,AB,turn,cor_lm,398.93,130.2,19.59,4.91,12.7,21.27,19.49,15.0,1.022,,,
2,AB,c30r,gen_k1,,,,,,,,,,4.644367400045114,5.067763505910303,0.38176818518577177
2,AB,c30r,gen,,,,,,,,,,3.4706141912427566,3.2278820754386484,0.3686495427989081
2,AB,c30r,cor_k1,,,,,,,,,,5.290913393975338,5.82746861187253,0.39041988000871874
2,AB,c30r,cor,,,,,,,,,,5.09215777850958,5.117237965373311,0.37683090572003575
2,AB,c30r,cor_lm,,,,,,,,,,5.09215777850958,5.117237965373311,0.37683090572003575
3,BA,c10,plain,814.72,224.0,50.99,6.26,31.69,52.9,51.01,15.01,1.0,,,
3,BA,c10,gen_k1,814.72,224.0,53.41,6.56,33.56,55.56,53.42,15.01,1.0,,,
3,BA,c10,gen,814.72,224.0,62.25,7.64,39.98,64.51,62.26,15.01,0.984,,,
3,BA,c10,cor_k1,814.72,224.0,54.22,6.66,41.03,57.37,54.21,15.01,1.0,,,
3,BA,c10,cor,814.72,224.0,65.87,8.08,48.69,68.9,65.85,15.01,0.986,,,
3,BA,c10,cor_lm,814.72,224.0,64.9,7.97,47.97,67.93,64.88,15.01,0.986,,,
3,BA,c30,plain,723.72,204.0,53.62,7.41,32.01,54.9,53.64,15.01,1.0,,,
3,BA,c30,gen_k1,723.72,204.0,57.82,7.99,35.34,59.3,57.83,15.01,1.0,,,
3,BA,c30,gen,723.72,204.0,39.99,5.53,21.17,41.04,40.02,15.01,1.082,,,
3,BA,c30,cor_k1,723.72,204.0,49.08,6.78,38.19,52.17,49.07,15.01,1.0,,,
3,BA,c30,cor,723.72,204.0,15.02,2.08,10.48,17.74,15.01,15.01,1.093,,,
3,BA,c30,cor_lm,723.72,204.0,15.02,2.08,10.69,18.17,15.01,15.01,1.093,,,
3,BA,c60,plain,575.46,174.0,36.93,6.42,23.14,38.79,36.94,15.01,1.0,,,
3,BA,c60,gen_k1,575.46,174.0,41.92,7.28,27.21,43.89,41.93,15.01,1.0,,,
3,BA,c60,gen,575.46,174.0,27.56,4.79,15.24,28.5,27.59,15.01,1.057,,,
3,BA,c60,cor_k1,575.46,174.0,40.36,7.01,32.81,43.35,40.34,15.01,1.0,,,
3,BA,c60,cor,575.46,174.0,12.87,2.24,8.42,13.09,12.87,15.01,1.075,,,
