run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
2,AB,c10,plain,822.37,243.51,33.9,4.12,21.74,33.9,34.26,15.0,1.0,,,
2,AB,c10,gen_k1,822.37,243.51,35.62,4.33,23.93,35.95,36.01,15.0,1.0,,,
2,AB,c10,gen,822.37,243.51,42.86,5.21,25.07,43.67,43.14,15.0,1.024,,,
2,AB,c10,cor_k1,822.37,243.51,6.11,0.74,12.01,19.55,6.38,15.0,1.0,,,
2,AB,c10,cor,822.37,243.51,27.52,3.35,12.53,29.1,27.39,15.0,1.04,,,
2,AB,c10,cor_lm,822.37,243.51,26.95,3.28,12.21,28.53,26.82,15.0,1.04,,,
2,AB,c30,plain,752.49,223.51,14.95,1.99,8.35,14.98,14.95,15.0,1.0,,,
2,AB,c30,gen_k1,752.49,223.51,14.46,1.92,10.09,15.97,14.58,15.0,1.0,,,
2,AB,c30,gen,752.49,223.51,40.0,5.32,19.71,41.51,39.97,15.0,1.044,,,
2,AB,c30,cor_k1,752.49,223.51,3.79,0.5,9.98,16.96,4.2,15.0,1.0,,,
2,AB,c30,cor,752.49,223.51,43.88,5.83,27.85,54.26,43.74,15.0,1.069,,,
2,AB,c30,cor_lm,752.49,223.51,43.88,5.83,27.11,53.29,43.74,15.0,1.069,,,
2,AB,c60,plain,639.03,193.51,17.52,2.74,8.46,17.57,17.5,15.0,1.0,,,
2,AB,c60,gen_k1,639.03,193.51,15.44,2.42,9.48,17.04,15.5,15.0,1.0,,,
2,AB,c60,gen,639.03,193.51,33.14,5.19,17.17,34.68,33.13,15.0,1.033,,,
2,AB,c60,cor_k1,639.03,193.51,2.9,0.45,7.7,13.5,3.21,15.0,1.0,,,
2,AB,c60,cor,639.03,193.51,31.94,5.0,17.12,33.52,31.82,15.0,1.041,,,
2,AB,c60,cor_lm,639.03,193.51,31.39,4.91,16.75,32.97,31.26,15.0,1.041,,,
2,AB,turn,plain,398.93,130.2,19.05,4.78,10.66,19.07,19.1,15.0,1.0,,,
2,AB,turn,gen_k1,398.93,130.2,17.38,4.36,11.39,18.88,17.48,15.0,1.0,,,
2,AB,turn,gen,398.93,130.2,26.91,6.74,17.16,28.31,27.01,15.0,1.023,,,
2,AB,turn,cor_k1,398.93,130.2,8.26,2.07,7.49,9.98,8.26,15.0,1.0,,,
2,AB,turn,cor,398.93,130.2,19.62,4.92,12.72,21.3,19.52,15.0,1.022,,,
2,AB,turn,cor_lm,398.93,130.2,18.91,4.74,12.32,20.59,18.81,15.0,1.021,,,
2,AB,c30r,gen_k1,,,,,,,,,,4.57614419640633,4.995446926570227,0.38143236465236185
2,AB,c30r,gen,,,,,,,,,,4.022910675289629,3.799666104850065,0.3698927371940471
2,AB,c30r,cor_k1,,,,,,,,,,5.236710694586995,5.774985745744759,0.39028676052248773
2,AB,c30r,cor,,,,,,,,,,6.051741088982268,6.1151161519086825,0.37871025051133084
2,AB,c30r,cor_lm,,,,,,,,,,6.051741088982268,6.1151161519086825,0.37871025051133084
3,BA,c10,plain,814.72,224.0,50.99,6.26,31.69,52.9,51.01,15.01,1.0,,,
3,BA,c10,gen_k1,814.72,224.0,53.36,6.55,33.53,55.52,53.37,15.01,1.0,,,
3,BA,c10,gen,814.72,224.0,58.3,7.16,37.12,60.5,58.31,15.01,0.991,,,
3,BA,c10,cor_k1,814.72,224.0,54.19,6.65,40.99,57.34,54.17,15.01,1.0,,,
3,BA,c10,cor,814.72,224.0,59.87,7.35,44.75,62.92,59.86,15.01,0.993,,,
3,BA,c10,cor_lm,814.72,224.0,58.91,7.23,44.02,61.95,58.89,15.01,0.993,,,
3,BA,c30,plain,723.72,204.0,53.62,7.41,32.01,54.9,53.64,15.01,1.0,,,
3,BA,c30,gen_k1,723.72,204.0,57.83,7.99,35.35,59.31,57.84,15.01,1.0,,,
3,BA,c30,gen,723.72,204.0,40.0,5.53,21.24,41.06,40.03,15.01,1.083,,,
3,BA,c30,cor_k1,723.72,204.0,49.1,6.78,38.2,52.18,49.08,15.01,1.0,,,
