cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,10,3.92,8.32,10,32.6,71.2,24.6,38.8,32.8,71.2,1.0,12
c10,gen_k1,10,4.14,7.54,10,34.5,64.5,25.4,38.3,31.2,64.5,1.0,12
c10,gen,10,4.4,8.76,10,37.7,74.5,23.0,37.7,37.8,74.5,1.012,6
c10,cor_k1,10,3.26,6.65,10,27.7,54.2,22.6,34.5,27.6,54.2,1.0,3
c10,cor,10,2.14,10.37,9,18.3,88.2,12.0,23.1,21.4,88.1,1.014,6
c10,cor_lm,10,2.14,10.19,9,18.3,86.7,11.8,22.9,21.4,86.6,1.014,6
c30,plain,10,2.08,7.58,10,15.4,60.1,14.6,24.1,15.5,60.1,1.0,12
c30,gen_k1,10,2.79,7.99,10,20.8,59.7,16.2,26.3,16.7,59.7,1.0,3
c30,gen,10,5.38,6.92,10,40.4,53.3,20.5,41.2,40.5,61.9,1.054,6
c30,cor_k1,10,3.16,6.78,10,24.7,49.1,20.4,30.9,24.6,49.1,1.0,3
c30,cor,10,2.42,7.6,10,18.0,58.5,21.0,36.4,18.0,58.4,1.067,6
c30,cor_lm,10,2.42,7.48,10,18.0,57.6,20.8,36.1,18.0,57.5,1.067,6
c60,plain,10,2.6,6.7,10,16.6,46.9,12.4,19.8,16.6,47.0,1.0,12
c60,gen_k1,10,2.96,7.85,10,18.2,55.0,14.8,24.1,16.7,55.0,1.0,12
c60,gen,10,3.87,6.97,10,23.2,42.3,15.2,24.2,23.1,51.8,1.047,6
c60,cor_k1,10,3.22,7.02,10,21.5,40.4,17.9,26.3,20.8,40.4,1.0,3
c60,cor,10,2.34,5.0,10,14.8,31.9,12.5,20.8,14.8,31.8,1.052,2
c60,cor_lm,10,2.34,4.91,10,14.9,31.4,12.5,20.9,14.9,31.3,1.052,2
turn,plain,10,2.34,8.07,10,10.4,38.0,9.5,15.2,10.7,38.0,1.0,3
turn,gen_k1,10,3.62,9.02,10,15.0,42.5,12.0,19.0,15.1,42.5,1.0,3
turn,gen,10,5.4,9.1,10,23.9,38.3,14.0,25.6,23.9,38.7,1.023,6
turn,cor_k1,10,3.86,7.04,10,17.5,33.2,16.6,21.4,15.2,33.2,1.0,3
turn,cor,10,3.0,5.21,10,13.2,24.6,10.5,15.3,13.3,24.6,1.024,12
turn,cor_lm,10,2.81,5.15,10,12.4,24.4,10.4,14.5,12.4,24.4,1.023,12
