cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,10,3.92,8.32,10,32.6,71.2,24.6,38.8,32.8,71.2,1.0,12
c10,gen_k1,10,4.15,7.53,10,34.5,64.5,25.4,38.4,31.2,64.5,1.0,12
c10,gen,10,3.84,8.98,10,32.8,76.4,22.0,32.8,32.9,76.4,1.004,6
c10,cor_k1,10,3.27,6.66,10,27.8,54.2,22.7,34.6,27.7,54.2,1.0,3
c10,cor,10,2.2,10.72,9,18.6,91.2,14.3,20.9,18.5,91.0,1.002,6
c10,cor_lm,10,2.12,10.54,9,17.9,89.6,13.3,20.0,17.9,89.5,1.002,6
c30,plain,10,2.08,7.58,10,15.4,60.1,14.6,24.1,15.5,60.1,1.0,12
c30,gen_k1,10,2.8,7.99,10,20.8,59.6,16.3,26.4,16.7,59.7,1.0,3
c30,gen,10,5.05,7.02,10,38.0,54.0,19.5,38.9,38.0,60.6,1.053,6
c30,cor_k1,10,3.16,6.78,10,24.7,49.1,20.4,30.9,24.6,49.1,1.0,3
c30,cor,10,2.42,7.89,10,18.0,60.8,20.2,35.1,18.0,60.7,1.064,6
c30,cor_lm,10,2.42,7.77,10,18.0,59.8,20.0,34.8,18.0,59.7,1.064,6
c60,plain,10,2.6,6.7,10,16.6,46.9,12.4,19.8,16.6,47.0,1.0,12
c60,gen_k1,10,2.96,7.84,10,18.2,54.9,14.8,24.0,16.7,54.9,1.0,12
c60,gen,10,3.81,7.18,10,23.1,44.3,14.9,24.6,23.1,52.4,1.047,9
c60,cor_k1,10,3.23,7.01,10,21.5,40.4,17.9,26.3,20.8,40.3,1.0,3
c60,cor,10,2.49,4.89,10,16.5,31.2,12.6,21.6,16.3,31.1,1.054,2
c60,cor_lm,10,2.5,4.8,10,16.3,30.7,12.6,21.6,16.2,30.6,1.054,2
turn,plain,10,2.34,8.07,10,10.4,38.0,9.5,15.2,10.7,38.0,1.0,3
turn,gen_k1,10,3.58,9.0,10,15.0,42.5,12.0,19.0,15.1,42.5,1.0,3
turn,gen,10,5.36,9.3,10,23.7,39.1,14.0,25.4,23.7,41.1,1.023,6
turn,cor_k1,10,3.84,7.02,10,17.5,33.1,16.6,21.4,15.2,33.1,1.0,3
turn,cor,10,3.04,5.17,10,13.4,24.5,10.2,15.4,13.4,24.5,1.024,12
turn,cor_lm,10,2.84,5.11,10,12.5,24.2,10.2,14.6,12.6,24.2,1.023,12
