run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
2,AB,c10,plain,822.37,243.51,31.73,3.86,19.11,31.73,32.0,15.0,1.0,,,
2,AB,c10,gen_k1,822.37,243.51,32.8,3.99,21.86,34.08,33.12,15.0,1.0,,,
2,AB,c10,gen,822.37,243.51,84.66,10.3,47.29,84.75,84.7,15.0,1.1,,,
2,AB,c10,cor_k1,822.37,243.51,2.08,0.25,9.55,15.84,2.52,15.0,1.0,,,
2,AB,c10,cor,822.37,243.51,23.87,2.9,44.85,83.85,23.73,15.0,1.111,,,
2,AB,c30,plain,752.49,223.51,109.36,14.53,48.78,109.58,108.93,15.0,1.0,,,
2,AB,c30,gen_k1,752.49,223.51,103.97,13.82,46.21,104.21,103.52,15.0,1.0,,,
2,AB,c30,gen,752.49,223.51,129.53,17.21,61.96,129.77,129.11,15.0,1.06,,,
2,AB,c30,cor_k1,752.49,223.51,3.16,0.42,8.23,14.2,3.47,15.0,1.0,,,
2,AB,c30,cor,752.49,223.51,23.99,3.19,34.04,62.12,23.88,15.0,1.078,,,
2,AB,c60,plain,639.03,193.51,33.07,5.17,14.84,33.23,32.75,15.0,1.0,,,
2,AB,c60,gen_k1,639.03,193.51,28.57,4.47,13.6,28.78,28.24,15.0,1.0,,,
2,AB,c60,gen,639.03,193.51,40.95,6.41,20.68,41.14,40.67,15.0,1.021,,,
2,AB,c60,cor_k1,639.03,193.51,4.47,0.7,7.41,12.36,4.6,15.0,1.0,,,
2,AB,c60,cor,639.03,193.51,23.96,3.75,14.53,26.04,23.84,15.0,1.026,,,
2,AB,turn,plain,398.93,130.2,20.99,5.26,12.64,20.99,21.05,15.0,1.0,,,
2,AB,turn,gen_k1,398.93,130.2,17.46,4.38,11.76,17.56,17.58,15.0,1.0,,,
2,AB,turn,gen,398.93,130.2,22.63,5.67,14.77,22.69,22.7,15.0,1.01,,,
2,AB,turn,cor_k1,398.93,130.2,7.95,1.99,7.99,10.4,7.95,15.0,1.0,,,
2,AB,turn,cor,398.93,130.2,15.08,3.78,10.97,15.24,14.99,15.0,1.008,,,
2,AB,c30r,gen_k1,,,,,,,,,,4.111766286211446,5.040605675658668,0.363311409295414
2,AB,c30r,gen,,,,,,,,,,7.478110789925528,7.6558302667700024,0.3848943817667797
2,AB,c30r,cor_k1,,,,,,,,,,5.014471004401634,5.649246830596898,0.3633118441535001
2,AB,c30r,cor,,,,,,,,,,9.470243619839177,9.606427761302927,0.39142935389987843
3,BA,c10,plain,814.72,224.0,41.82,5.13,24.7,43.29,41.84,15.01,1.0,,,
3,BA,c10,gen_k1,814.72,224.0,45.54,5.59,27.92,47.13,45.56,15.01,1.0,,,
3,BA,c10,gen,814.72,224.0,27.0,3.31,13.16,27.68,27.01,15.01,1.056,,,
3,BA,c10,cor_k1,814.72,224.0,41.13,5.05,32.93,43.66,41.13,15.01,1.0,,,
3,BA,c10,cor,814.72,224.0,7.91,0.97,6.1,13.61,7.9,15.01,1.058,,,
3,BA,c30,plain,723.72,204.0,74.3,10.27,41.6,75.18,74.32,15.01,1.0,,,
3,BA,c30,gen_k1,723.72,204.0,77.28,10.68,44.05,78.22,77.3,15.01,1.0,,,
3,BA,c30,gen,723.72,204.0,64.91,8.97,34.71,65.62,64.92,15.01,1.069,,,
3,BA,c30,cor_k1,723.72,204.0,37.27,5.15,30.82,39.72,37.27,15.01,1.0,,,
3,BA,c30,cor,723.72,204.0,15.02,2.08,12.38,22.77,15.01,15.01,1.079,,,
3,BA,c60,plain,575.46,174.0,25.69,4.46,16.64,27.19,25.71,15.01,1.0,,,
3,BA,c60,gen_k1,575.46,174.0,30.1,5.23,20.36,31.61,30.12,15.01,1.0,,,
3,BA,c60,gen,575.46,174.0,22.74,3.95,12.98,23.26,22.75,15.01,1.047,,,
3,BA,c60,cor_k1,575.46,174.0,31.15,5.41,27.26,33.5,31.15,15.01,1.0,,,
3,BA,c60,cor,575.46,174.0,15.64,2.72,9.91,15.68,15.63,15.01,1.064,,,
3,BA,turn,plain,471.5,151.28,30.9,6.55,20.04,32.26,30.92,15.01,1.0,,,
3,BA,turn,gen_k1,471.5,151.28,35.29,7.49,23.74,36.66,35.31,15.01,1.0,,,
3,BA,turn,gen,471.5,151.28,29.8,6.32,18.25,30.5,29.82,15.01,1.042,,,
3,BA,turn,cor_k1,471.5,151.28,25.3,5.37,23.11,27.71,25.3,15.01,1.0,,,
3,BA,turn,cor,471.5,151.28,12.96,2.75,7.95,12.99,12.95,15.01,1.057,,,
3,BA,c30r,gen_k1,,,,,,,,,,7.465250458389616,8.868287554609084,0.506171905456292
3,BA,c30r,gen,,,,,,,,,,8.110785457742601,8.286185610119773,0.5339078946513892
3,BA,c30r,cor_k1,,,,,,,,,,14.157551569644733,15.542229271487464,0.8080644256298128
3,BA,c30r,cor,,,,,,,,,,4.135753554490024,2.884460067493296,0.7970137943072614
