run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
2,AB,c10,plain,822.37,243.51,34.29,4.17,21.66,35.01,34.64,15.0,1.0,,,
2,AB,c10,gen_k1,822.37,243.51,36.88,4.48,24.65,38.53,37.26,15.0,1.0,,,
2,AB,c10,gen,822.37,243.51,75.38,9.17,43.35,76.64,75.49,15.0,1.087,,,
2,AB,c10,cor_k1,822.37,243.51,5.56,0.68,10.89,17.11,5.84,15.0,1.0,,,
2,AB,c10,cor,822.37,243.51,43.81,5.33,43.53,80.35,43.66,15.0,1.105,,,
2,AB,c10,cor_lm,822.37,243.51,43.81,5.33,43.53,80.35,43.66,15.0,1.105,,,
2,AB,c30,plain,752.49,223.51,16.03,2.13,8.71,16.76,16.02,15.0,1.0,,,
2,AB,c30,gen_k1,752.49,223.51,15.53,2.06,10.97,19.74,15.67,15.0,1.0,,,
2,AB,c30,gen,752.49,223.51,50.08,6.66,28.14,51.78,50.04,15.0,1.058,,,
2,AB,c30,cor_k1,752.49,223.51,3.63,0.48,9.15,15.1,4.05,15.0,1.0,,,
2,AB,c30,cor,752.49,223.51,43.88,5.83,39.42,69.89,43.74,15.0,1.088,,,
2,AB,c30,cor_lm,752.49,223.51,43.88,5.83,38.98,69.2,43.74,15.0,1.088,,,
2,AB,c60,plain,639.03,193.51,18.23,2.85,9.99,18.6,18.21,15.0,1.0,,,
2,AB,c60,gen_k1,639.03,193.51,15.86,2.48,11.02,19.66,15.96,15.0,1.0,,,
2,AB,c60,gen,639.03,193.51,34.15,5.34,20.16,35.96,34.14,15.0,1.032,,,
2,AB,c60,cor_k1,639.03,193.51,2.6,0.41,7.7,12.66,2.99,15.0,1.0,,,
2,AB,c60,cor,639.03,193.51,34.05,5.33,20.87,35.9,33.92,15.0,1.041,,,
2,AB,c60,cor_lm,639.03,193.51,33.74,5.28,20.65,35.58,33.61,15.0,1.041,,,
2,AB,turn,plain,398.93,130.2,18.23,4.57,12.41,19.02,18.33,15.0,1.0,,,
