cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,10,4.04,6.74,10,33.6,56.7,22.2,35.5,33.9,56.7,1.0,9
c10,gen_k1,10,4.36,6.78,10,36.7,57.0,24.6,37.6,36.9,57.0,1.0,9
c10,gen,10,4.27,9.17,10,36.2,75.4,21.9,36.2,36.3,75.5,1.034,2
c10,cor_k1,10,1.78,5.03,10,15.1,41.0,14.6,24.3,15.1,41.0,1.0,3
c10,cor,10,1.69,5.33,10,14.3,43.8,10.6,18.9,14.4,43.7,1.037,2
c10,cor_lm,10,1.68,5.33,10,14.2,43.8,10.5,18.9,14.2,43.7,1.037,2
c30,plain,10,3.22,6.36,10,24.3,46.0,14.7,25.4,24.3,46.1,1.0,3
c30,gen_k1,10,3.78,6.78,10,28.8,49.1,18.4,30.6,28.9,49.1,1.0,3
c30,gen,10,4.61,7.93,10,34.9,62.6,24.6,35.4,34.9,62.7,1.05,4
c30,cor_k1,10,1.74,5.24,10,13.3,37.9,12.8,22.1,13.4,37.9,1.0,3
c30,cor,10,2.0,5.83,10,14.8,43.9,19.7,33.3,14.8,43.7,1.054,2
c30,cor_lm,10,2.0,5.83,10,14.8,43.9,19.6,33.4,14.8,43.7,1.054,2
c60,plain,10,3.62,6.43,10,22.9,39.6,15.0,22.9,23.2,39.6,1.0,9
c60,gen_k1,10,4.38,6.76,10,27.9,41.6,19.7,28.7,28.2,41.6,1.0,9
c60,gen,10,5.16,8.89,10,34.0,54.8,19.5,34.7,34.1,54.8,1.03,9
c60,cor_k1,10,1.88,5.75,10,12.5,33.1,12.1,19.8,12.5,33.1,1.0,3
c60,cor,10,3.18,5.33,10,20.2,34.0,12.6,24.4,20.2,33.9,1.043,2
c60,cor_lm,10,3.17,5.28,10,20.1,33.7,12.5,24.3,20.1,33.6,1.043,2
turn,plain,10,4.26,8.01,10,17.4,36.4,10.8,17.8,17.7,36.4,1.0,9
turn,gen_k1,10,4.5,8.25,10,18.4,38.9,14.4,20.0,18.5,38.9,1.0,3
turn,gen,10,7.15,9.63,10,32.1,40.2,19.2,32.8,32.1,40.2,1.002,11
turn,cor_k1,10,2.27,6.5,10,10.7,30.5,13.0,17.4,10.7,30.3,1.0,5
turn,cor,10,4.93,8.28,10,20.8,38.9,13.9,21.0,20.9,39.1,1.003,10
turn,cor_lm,10,4.86,8.21,10,20.5,38.6,13.6,20.6,20.6,38.8,1.004,10
