cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,2,4.5,5.13,2,36.8,41.8,21.9,37.5,36.9,41.8,1.0,3
c10,gen_k1,2,4.79,5.59,2,39.2,45.5,24.9,40.6,39.3,45.6,1.0,3
c10,gen,2,6.81,10.3,1,55.8,84.7,30.2,56.2,55.9,84.7,1.078,2
c10,cor_k1,2,2.65,5.05,2,21.6,41.1,21.2,29.8,21.8,41.1,1.0,3
c10,cor,2,1.94,2.9,2,15.9,23.9,25.5,48.7,15.8,23.7,1.084,2
c30,plain,2,12.4,14.53,0,91.8,109.4,45.2,92.4,91.6,108.9,1.0,2
c30,gen_k1,2,12.25,13.82,0,90.6,104.0,45.1,91.2,90.4,103.5,1.0,2
c30,gen,2,13.09,17.21,1,97.2,129.5,48.3,97.7,97.0,129.1,1.064,2
c30,cor_k1,2,2.78,5.15,2,20.2,37.3,19.5,27.0,20.4,37.3,1.0,3
c30,cor,2,2.64,3.19,2,19.5,24.0,23.2,42.4,19.4,23.9,1.078,2
c60,plain,2,4.81,5.17,2,29.4,33.1,15.7,30.2,29.2,32.8,1.0,2
c60,gen_k1,2,4.85,5.23,2,29.3,30.1,17.0,30.2,29.2,30.1,1.0,3
c60,gen,2,5.18,6.41,2,31.8,41.0,16.8,32.2,31.7,40.7,1.034,2
c60,cor_k1,2,3.06,5.41,2,17.8,31.2,17.3,22.9,17.9,31.2,1.0,3
c60,cor,2,3.24,3.75,2,19.8,24.0,12.2,20.9,19.7,23.8,1.045,2
turn,plain,2,5.9,6.55,2,25.9,30.9,16.3,26.6,26.0,30.9,1.0,3
turn,gen_k1,2,5.94,7.49,2,26.4,35.3,17.8,27.1,26.4,35.3,1.0,3
turn,gen,2,6.0,6.32,2,26.2,29.8,16.5,26.6,26.3,29.8,1.026,3
turn,cor_k1,2,3.68,5.37,2,16.6,25.3,15.6,19.1,16.6,25.3,1.0,3
turn,cor,2,3.26,3.78,2,14.0,15.1,9.5,14.1,14.0,15.0,1.032,2
