run,dir,cut,variant,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s,k_end,err_at_return_m,err_3s_after_m,max_step_m
2,AB,c10,plain,822.37,243.51,41.64,5.06,33.65,45.18,42.08,15.0,1.0,,,
2,AB,c10,gen_k1,822.37,243.51,47.2,5.74,38.48,50.54,47.65,15.0,1.0,,,
2,AB,c10,gen,822.37,243.51,80.59,9.8,42.03,81.14,80.77,15.0,1.121,,,
2,AB,c10,cor_k1,822.37,243.51,31.54,3.84,31.86,44.47,31.71,15.0,1.0,,,
2,AB,c10,cor,822.37,243.51,23.87,2.9,32.63,68.81,23.73,15.0,1.132,,,
2,AB,c30,plain,752.49,223.51,89.69,11.92,39.38,89.91,89.25,15.0,1.0,,,
2,AB,c30,gen_k1,752.49,223.51,79.48,10.56,37.13,79.72,79.04,15.0,1.0,,,
2,AB,c30,gen,752.49,223.51,154.49,20.53,76.04,154.74,154.14,15.0,1.169,,,
2,AB,c30,cor_k1,752.49,223.51,26.74,3.55,28.67,40.09,26.93,15.0,1.0,,,
2,AB,c30,cor,752.49,223.51,23.99,3.19,56.06,107.03,23.88,15.0,1.189,,,
2,AB,c60,plain,639.03,193.51,18.25,2.86,11.66,18.42,17.95,15.0,1.0,,,
2,AB,c60,gen_k1,639.03,193.51,5.14,0.8,18.21,28.01,4.94,15.0,1.0,,,
2,AB,c60,gen,639.03,193.51,66.47,10.4,35.14,67.35,66.36,15.0,1.107,,,
2,AB,c60,cor_k1,639.03,193.51,19.7,3.08,23.66,33.23,19.9,15.0,1.0,,,
2,AB,c60,cor,639.03,193.51,23.96,3.75,32.76,61.08,23.84,15.0,1.112,,,
2,AB,turn,plain,398.93,130.2,19.81,4.96,12.71,19.81,19.89,15.0,1.0,,,
2,AB,turn,gen_k1,398.93,130.2,16.48,4.13,15.71,19.68,16.86,15.0,1.0,,,
2,AB,turn,gen,398.93,130.2,44.34,11.11,29.17,45.09,44.5,15.0,1.072,,,
2,AB,turn,cor_k1,398.93,130.2,5.09,1.28,12.34,18.97,5.43,15.0,1.0,,,
2,AB,turn,cor,398.93,130.2,23.94,6.0,23.45,38.37,23.82,15.0,1.071,,,
2,AB,c30r,gen_k1,,,,,,,,,,17.556718301370417,18.856736823921544,0.36503584025170077
2,AB,c30r,gen,,,,,,,,,,10.541571816856514,11.090117525323409,0.4005516909263401
2,AB,c30r,cor_k1,,,,,,,,,,18.66939407566876,19.895828389201753,0.3699475023447769
2,AB,c30r,cor,,,,,,,,,,12.644011826841629,13.229713818933483,0.40732471681447074
3,BA,c10,plain,814.72,224.0,60.9,7.47,32.01,63.39,60.89,15.01,1.0,,,
3,BA,c10,gen_k1,814.72,224.0,65.94,8.09,35.18,68.29,65.92,15.01,1.0,,,
3,BA,c10,gen,814.72,224.0,81.34,9.98,44.79,83.63,81.33,15.01,0.971,,,
3,BA,c10,cor_k1,814.72,224.0,70.45,8.65,40.33,72.67,70.41,15.01,1.0,,,
3,BA,c10,cor,814.72,224.0,91.46,11.23,54.22,93.63,91.43,15.01,0.972,,,
3,BA,c30,plain,723.72,204.0,69.85,9.65,36.33,71.71,69.86,15.01,1.0,,,
3,BA,c30,gen_k1,723.72,204.0,75.91,10.49,40.02,77.74,75.91,15.01,1.0,,,
3,BA,c30,gen,723.72,204.0,45.59,6.3,24.23,47.17,45.6,15.01,1.065,,,
3,BA,c30,cor_k1,723.72,204.0,66.62,9.21,39.04,68.8,66.59,15.01,1.0,,,
3,BA,c30,cor,723.72,204.0,12.33,1.7,10.26,20.16,12.29,15.01,1.074,,,
3,BA,c60,plain,575.46,174.0,52.6,9.14,30.45,55.17,52.6,15.01,1.0,,,
3,BA,c60,gen_k1,575.46,174.0,54.8,9.52,31.51,57.19,54.78,15.01,1.0,,,
3,BA,c60,gen,575.46,174.0,54.39,9.45,31.11,56.78,54.37,15.01,0.998,,,
3,BA,c60,cor_k1,575.46,174.0,63.15,10.97,39.27,65.3,63.12,15.01,1.0,,,
3,BA,c60,cor,575.46,174.0,51.98,9.03,31.25,54.12,51.95,15.01,1.015,,,
3,BA,turn,plain,471.5,151.28,55.16,11.7,34.09,57.65,55.16,15.01,1.0,,,
3,BA,turn,gen_k1,471.5,151.28,57.28,12.15,35.2,59.63,57.26,15.01,1.0,,,
3,BA,turn,gen,471.5,151.28,57.36,12.17,35.14,59.71,57.35,15.01,0.997,,,
3,BA,turn,cor_k1,471.5,151.28,60.63,12.86,39.69,62.82,60.6,15.01,1.0,,,
3,BA,turn,cor,471.5,151.28,51.11,10.84,32.39,53.31,51.08,15.01,1.012,,,
3,BA,c30r,gen_k1,,,,,,,,,,1.204671099118198,2.3542811458335966,0.5162022972841995
3,BA,c30r,gen,,,,,,,,,,13.564019890398109,14.098513291718444,0.5494910198553736
3,BA,c30r,cor_k1,,,,,,,,,,7.109320742152666,7.748442331395769,0.8196255127652993
3,BA,c30r,cor,,,,,,,,,,9.773934909910063,9.332320404316217,0.8071741384818056
