cut,variant,n,drift_med,drift_worst,under10,end_med,end_worst,rmse_med,max_med,after_stop_med,after_stop_worst,k_end_med,worst_run
c10,plain,2,6.26,7.47,2,51.3,60.9,32.8,54.3,51.5,60.9,1.0,3
c10,gen_k1,2,6.92,8.09,2,56.6,65.9,36.8,59.4,56.8,65.9,1.0,3
c10,gen,2,9.89,9.98,2,81.0,81.3,43.4,82.4,81.0,81.3,1.046,3
c10,cor_k1,2,6.24,8.65,2,51.0,70.4,36.1,58.6,51.1,70.4,1.0,3
c10,cor,2,7.06,11.23,1,57.7,91.5,43.4,81.2,57.6,91.4,1.052,3
c30,plain,2,10.78,11.92,1,79.8,89.7,37.9,80.8,79.6,89.2,1.0,2
c30,gen_k1,2,10.52,10.56,0,77.7,79.5,38.6,78.7,77.5,79.0,1.0,2
c30,gen,2,13.42,20.53,1,100.0,154.5,50.1,101.0,99.9,154.1,1.117,2
c30,cor_k1,2,6.38,9.21,2,46.7,66.6,33.9,54.4,46.8,66.6,1.0,3
c30,cor,2,2.44,3.19,2,18.2,24.0,33.2,63.6,18.1,23.9,1.132,2
c60,plain,2,6.0,9.14,2,35.4,52.6,21.1,36.8,35.3,52.6,1.0,3
c60,gen_k1,2,5.16,9.52,2,30.0,54.8,24.9,42.6,29.9,54.8,1.0,3
c60,gen,2,9.93,10.4,1,60.4,66.5,33.1,62.1,60.4,66.4,1.052,2
c60,cor_k1,2,7.02,10.97,1,41.4,63.2,31.5,49.3,41.5,63.1,1.0,3
c60,cor,2,6.39,9.03,2,38.0,52.0,32.0,57.6,37.9,52.0,1.064,3
turn,plain,2,8.33,11.7,1,37.5,55.2,23.4,38.7,37.5,55.2,1.0,3
turn,gen_k1,2,8.14,12.15,1,36.9,57.3,25.5,39.7,37.1,57.3,1.0,3
turn,gen,2,11.64,12.17,0,50.8,57.4,32.2,52.4,50.9,57.4,1.034,3
turn,cor_k1,2,7.07,12.86,1,32.9,60.6,26.0,40.9,33.0,60.6,1.0,3
turn,cor,2,8.42,10.84,1,37.5,51.1,27.9,45.8,37.4,51.1,1.042,3
