run,dir,variant,cut,t_cut,bias_cut_dps,bias_oracle_dps,bias_stand_dps,n,mean_deg,rms_deg,max_abs_deg,drift_deg,start_err_deg,end_err_deg,outage_s,brg_mean_deg,brg_rms_deg,brg_drift_deg
2,AB,robust,c10,10.0,-0.022,-0.038,-0.022,237,6.71,7.01,11.76,-0.59,7.22,6.63,243.51,7.18,7.7,-0.66
2,AB,robust,c30,30.0,-0.022,-0.038,-0.022,217,6.58,6.86,11.67,-0.94,7.57,6.63,223.51,7.16,7.71,-1.68
2,AB,robust,c60,60.0,-0.022,-0.038,-0.022,187,6.42,6.72,11.67,-0.59,7.22,6.63,193.51,7.13,7.75,-1.37
2,AB,robust,turn,123.3,-0.022,-0.038,-0.022,124,6.03,6.36,11.67,3.27,3.36,6.63,130.2,7.13,7.76,5.3
2,AB,kfpsi,c10,10.0,-0.022,-0.038,-0.022,237,1.25,2.38,6.3,-0.59,1.76,1.17,243.51,1.72,3.27,-0.66
2,AB,kfpsi,c30,30.0,-0.022,-0.038,-0.022,217,-0.62,2.05,6.28,-0.94,0.37,-0.56,223.51,-0.03,2.87,-1.68
2,AB,kfpsi,c60,60.0,-0.022,-0.038,-0.022,187,-1.1,2.24,6.6,-0.59,-0.3,-0.89,193.51,-0.4,3.07,-1.37
2,AB,kfpsi,turn,123.3,-0.022,-0.038,-0.022,124,-2.02,2.86,7.13,3.27,-4.68,-1.41,130.2,-0.91,3.2,5.3
2,AB,kfpsic,c10,10.0,-0.022,-0.038,-0.022,237,1.17,2.34,6.22,-0.59,1.68,1.09,243.51,1.64,3.23,-0.66
2,AB,kfpsic,c30,30.0,-0.022,-0.038,-0.022,217,-1.4,2.4,7.06,-0.94,-0.41,-1.34,223.51,-0.81,2.98,-1.68
2,AB,kfpsic,c60,60.0,-0.022,-0.038,-0.022,187,-1.41,2.41,6.92,-0.59,-0.61,-1.21,193.51,-0.71,3.13,-1.37
2,AB,kfpsic,turn,123.3,-0.022,-0.038,-0.022,124,-0.77,2.18,5.89,3.27,-3.44,-0.17,130.2,0.33,3.08,5.3
2,AB,kfc,c10,10.0,-0.018,-0.038,-0.022,237,0.71,2.26,6.15,-1.45,1.65,0.19,243.51,1.18,3.03,-1.53
2,AB,kfc,c30,30.0,0.067,-0.038,-0.022,217,-11.37,13.12,24.22,-19.61,-1.07,-20.68,223.51,-10.79,12.42,-20.35
2,AB,kfc,c60,60.0,-0.001,-0.038,-0.022,187,-3.82,4.62,10.23,-4.44,-1.1,-5.54,193.51,-3.12,4.46,-5.22
2,AB,kfc,turn,123.3,-0.027,-0.038,-0.022,124,-0.82,2.16,6.25,3.93,-3.81,0.12,130.2,0.29,3.11,5.96
2,AB,kfpsic2d,c10,10.0,-0.022,-0.038,-0.022,237,0.69,2.33,6.18,-1.47,1.66,0.19,243.51,1.16,3.04,-1.54
2,AB,kfpsic2d,c30,30.0,-0.022,-0.038,-0.022,217,-1.9,2.86,7.96,-1.82,-0.4,-2.22,223.51,-1.31,3.18,-2.56
2,AB,kfpsic2d,c60,60.0,-0.022,-0.038,-0.022,187,-2.04,2.94,7.87,-1.51,-0.62,-2.13,193.51,-1.34,3.34,-2.29
2,AB,kfpsic2d,turn,123.3,-0.022,-0.038,-0.022,124,-1.67,2.62,6.78,2.99,-4.03,-1.04,130.2,-0.56,3.09,5.03
2,AB,kfpsic_notilt,c10,10.0,-0.022,-0.038,-0.022,237,0.07,3.49,9.64,0.28,2.17,2.45,243.51,0.54,3.94,0.21
2,AB,kfpsic_notilt,c30,30.0,-0.022,-0.038,-0.022,217,-3.63,4.98,13.03,-0.17,-0.76,-0.93,223.51,-3.04,5.01,-0.91
2,AB,kfpsic_notilt,c60,60.0,-0.022,-0.038,-0.022,187,-3.6,4.95,12.56,-0.12,-0.35,-0.47,193.51,-2.9,5.07,-0.89
2,AB,kfpsic_notilt,turn,123.3,-0.022,-0.038,-0.022,124,-4.71,5.54,12.09,5.72,-5.71,0.0,130.2,-3.6,5.46,7.75
3,BA,robust,c10,10.0,0.001,-0.027,0.001,202,-1.42,3.29,8.06,-8.29,2.39,-5.91,224.0,-0.59,3.69,-7.57
3,BA,robust,c30,30.0,0.001,-0.027,0.001,182,-1.8,3.35,8.06,-8.55,2.64,-5.91,204.0,-0.92,3.78,-8.05
3,BA,robust,c60,60.0,0.001,-0.027,0.001,151,-2.47,3.52,8.06,-7.24,1.34,-5.91,174.0,-1.78,3.78,-9.4
3,BA,robust,turn,82.7,0.001,-0.027,0.001,129,-3.12,3.69,8.06,-5.23,-0.68,-5.91,151.28,-2.31,3.87,-11.11
3,BA,kfpsi,c10,10.0,0.001,-0.027,0.001,202,-2.41,3.82,9.04,-8.3,1.41,-6.89,224.0,-1.58,3.97,-7.58
3,BA,kfpsi,c30,30.0,0.001,-0.027,0.001,182,-4.47,5.29,10.73,-8.6,0.03,-8.58,204.0,-3.59,5.13,-8.11
3,BA,kfpsi,c60,60.0,0.001,-0.027,0.001,151,-6.73,7.18,12.33,-7.24,-2.93,-10.17,174.0,-6.04,6.9,-9.4
3,BA,kfpsi,turn,82.7,0.001,-0.027,0.001,129,-4.07,4.52,9.01,-5.23,-1.63,-6.86,151.28,-3.26,4.5,-11.11
3,BA,kfpsic,c10,10.0,0.001,-0.027,0.001,202,-2.2,3.69,8.84,-8.32,1.64,-6.68,224.0,-1.37,3.89,-7.6
3,BA,kfpsic,c30,30.0,0.001,-0.027,0.001,182,-4.14,5.01,10.4,-8.65,0.4,-8.24,204.0,-3.25,4.91,-8.15
3,BA,kfpsic,c60,60.0,0.001,-0.027,0.001,151,-3.18,4.05,8.77,-7.24,0.62,-6.62,174.0,-2.49,4.16,-9.4
3,BA,kfpsic,turn,82.7,0.001,-0.027,0.001,129,-4.57,4.97,9.51,-5.23,-2.12,-7.35,151.28,-3.76,4.87,-11.11
3,BA,kfc,c10,10.0,0.002,-0.027,0.001,202,-2.22,3.71,8.88,-8.36,1.64,-6.72,224.0,-1.39,3.9,-7.64
3,BA,kfc,c30,30.0,0.03,-0.027,0.001,182,-6.62,7.82,15.48,-13.71,0.44,-13.27,204.0,-5.74,7.54,-13.21
3,BA,kfc,c60,60.0,-0.015,-0.027,0.001,151,-2.37,3.09,6.93,-4.79,0.21,-4.58,174.0,-1.68,3.37,-6.95
3,BA,kfc,turn,82.7,-0.006,-0.027,0.001,129,-3.97,4.35,8.43,-4.3,-1.99,-6.29,151.28,-3.16,4.32,-10.19
3,BA,kfpsic2d,c10,10.0,0.001,-0.027,0.001,202,-1.08,2.57,7.06,-6.51,1.61,-4.9,224.0,-0.25,3.1,-5.79
3,BA,kfpsic2d,c30,30.0,0.001,-0.027,0.001,182,-2.81,3.61,8.55,-6.77,0.38,-6.39,204.0,-1.93,3.72,-6.27
3,BA,kfpsic2d,c60,60.0,0.001,-0.027,0.001,151,-1.49,2.6,6.84,-5.29,0.61,-4.68,174.0,-0.8,3.17,-7.45
3,BA,kfpsic2d,turn,82.7,0.001,-0.027,0.001,129,-2.59,3.24,7.57,-4.37,-1.05,-5.41,151.28,-1.77,3.51,-10.25
3,BA,kfpsic_notilt,c10,10.0,0.001,-0.027,0.001,202,-1.65,3.04,7.42,-6.77,1.64,-5.13,224.0,-0.82,3.38,-6.05
3,BA,kfpsic_notilt,c30,30.0,0.001,-0.027,0.001,182,-3.53,4.28,8.98,-7.09,0.4,-6.69,204.0,-2.64,4.26,-6.59
3,BA,kfpsic_notilt,c60,60.0,0.001,-0.027,0.001,151,-2.34,3.19,7.26,-5.55,0.58,-4.97,174.0,-1.65,3.5,-7.71
3,BA,kfpsic_notilt,turn,82.7,0.001,-0.027,0.001,129,-3.49,3.92,7.91,-4.18,-1.43,-5.62,151.28,-2.68,3.99,-10.07
4,AB,robust,c10,10.0,0.015,0.002,0.015,231,4.77,5.19,9.93,-2.51,6.06,3.55,238.23,4.55,4.88,-1.95
4,AB,robust,c30,30.0,0.015,0.002,0.015,212,4.66,5.1,9.93,-1.23,4.78,3.55,218.23,4.48,4.82,-2.31
4,AB,robust,c60,60.0,0.015,0.002,0.015,181,4.61,5.08,9.93,-2.4,5.95,3.55,188.23,4.35,4.71,-2.77
4,AB,robust,turn,132.1,0.015,0.002,0.015,109,4.46,4.91,9.5,-1.92,5.47,3.55,116.08,4.17,4.57,-1.98
4,AB,kfpsi,c10,10.0,0.015,0.002,0.015,231,0.53,2.13,5.75,-2.51,1.82,-0.68,238.23,0.32,1.79,-1.95
4,AB,kfpsi,c30,30.0,0.015,0.002,0.015,212,-0.58,2.15,6.75,-1.19,-0.49,-1.69,218.23,-0.76,1.93,-2.27
4,AB,kfpsi,c60,60.0,0.015,0.002,0.015,181,-0.61,2.2,6.74,-2.4,0.73,-1.67,188.23,-0.87,2.01,-2.77
