cut,variant,n,mean_med,mean_worst,n_under3,rms_med,rms_worst,drift_med,drift_worst,drift_under3,max_med,max_worst,worst_run,brg_mean_med,brg_mean_worst,brg_under3
c10,robust,10,3.46,6.71,4,4.25,7.01,1.69,8.29,7,9.18,12.62,2,3.71,7.18,3
c10,kfpsi,10,1.81,4.61,9,2.76,4.99,1.95,8.3,7,8.34,12.62,11,1.65,6.02,8
c10,kfpsic,10,1.15,4.71,9,2.41,5.71,1.98,8.32,7,8.36,13.71,12,1.42,4.88,9
c10,kfc,10,2.26,5.4,7,3.75,6.29,4.0,8.92,4,9.16,14.17,9,2.52,5.19,7
c10,kfpsic2d,10,0.87,4.76,9,2.45,5.74,1.64,6.51,8,7.4,13.39,12,1.04,4.92,9
c10,kfpsic_notilt,10,1.11,4.7,9,2.63,5.7,1.46,6.77,7,8.04,13.71,12,0.71,4.87,9
c30,robust,10,3.35,6.58,4,4.2,6.86,1.73,8.55,7,9.18,12.62,2,3.64,7.16,2
c30,kfpsi,10,0.79,6.49,8,2.54,6.76,1.73,8.6,7,8.34,14.38,11,1.09,5.29,8
c30,kfpsic,10,0.75,4.14,9,2.29,5.01,1.73,8.65,7,8.02,10.46,3,0.82,3.25,9
c30,kfc,10,2.15,11.37,6,3.32,13.12,4.17,19.61,4,10.3,24.22,2,2.3,10.79,6
c30,kfpsic2d,10,1.17,2.81,10,2.52,3.61,1.85,6.77,9,8.16,11.06,3,1.33,2.16,10
c30,kfpsic_notilt,10,0.81,3.63,8,2.52,4.98,1.92,7.09,7,8.24,13.03,2,1.04,3.04,9
c60,robust,10,3.18,6.42,4,4.25,6.72,2.22,7.24,7,9.18,12.62,2,3.44,7.13,3
c60,kfpsi,10,0.97,6.73,7,2.64,7.18,2.22,7.24,7,8.57,14.42,3,0.64,6.58,7
c60,kfpsic,10,1.34,3.18,9,2.47,4.05,2.23,7.24,7,7.64,10.31,3,0.85,2.49,10
c60,kfc,10,2.22,4.58,7,3.41,5.46,3.91,8.98,3,8.8,12.21,10,2.01,4.09,7
c60,kfpsic2d,10,1.04,2.04,10,2.54,3.33,1.9,5.29,7,7.36,10.92,2,0.89,1.48,10
c60,kfpsic_notilt,10,1.54,3.6,9,2.83,4.95,2.07,5.55,7,7.56,12.56,2,1.5,2.9,10
turn,robust,10,3.31,6.03,3,4.23,6.36,2.27,5.23,7,9.18,12.12,2,3.43,7.13,4
turn,kfpsi,10,1.17,4.07,9,2.67,4.52,2.27,5.23,7,6.97,9.37,3,1.0,3.26,9
turn,kfpsic,10,0.86,4.57,9,2.53,4.97,2.27,5.23,7,6.5,9.99,3,1.02,3.76,8
turn,kfc,10,1.31,3.97,8,2.74,4.35,0.73,7.05,6,7.63,11.88,3,1.34,3.81,8
turn,kfpsic2d,10,0.59,2.59,10,2.46,3.47,2.45,4.37,8,7.18,10.61,3,0.51,2.5,10
turn,kfpsic_notilt,10,1.09,4.71,8,2.84,5.54,2.42,5.72,5,7.19,12.09,2,1.15,3.6,8
