seq,variant,t0,mask_s,dist_m,end_m,drift_pct,rmse_m,max_m,heading_err_mean,heading_err_max,k_end,v_mean
Vfa02,plain,300.0,120.0,3021,971.0,32.14,524.3,971.0,-12.67,25.2,1.0,25.2
Vfa02,plain,600.0,120.0,2819,605.9,21.5,313.8,605.9,10.84,24.8,1.0,23.5
Vfa02,plain,900.0,120.0,3179,784.6,24.68,459.2,784.6,4.28,7.2,1.0,26.5
Vfa02,plain,1200.0,120.0,3311,893.8,26.99,528.9,893.8,6.29,13.9,1.0,27.6
Vfa02,plain,1500.0,120.0,3033,877.1,28.92,450.6,877.1,9.68,17.6,1.0,25.3
Vfa02,plain,1800.0,120.0,3217,979.9,30.46,508.3,979.9,-8.99,19.2,1.0,26.8
Vfa02,plain,2100.0,120.0,3313,980.5,29.59,512.5,980.5,7.86,13.8,1.0,27.5
Vfa02,plain,2400.0,120.0,3211,624.7,19.45,348.8,624.7,-1.29,10.8,1.0,26.8
Vfa02,plain,2700.0,120.0,3141,698.2,22.23,383.6,698.2,-0.87,5.3,1.0,26.2
Vfa02,plain,3000.0,120.0,3201,986.6,30.82,565.4,986.6,-13.69,23.0,1.0,26.8
Vfa02,plain,3300.0,120.0,3275,749.5,22.89,455.2,749.5,-2.08,7.9,1.0,27.3
Vfa02,plain,3600.0,120.0,3002,528.6,17.61,286.8,528.6,-3.36,6.7,1.0,24.7
Vfa02,plain,3900.0,120.0,3392,801.7,23.64,468.9,801.7,9.42,23.5,1.0,28.2
Vfa02,plain,4200.0,120.0,3145,816.8,25.97,487.1,816.8,4.76,10.1,1.0,26.1
Vfa02,plain,4500.0,120.0,3566,960.7,26.94,570.6,960.7,10.97,27.5,1.0,29.6
Vfa02,plain,4800.0,120.0,3521,1029.0,29.22,611.1,1029.0,-4.15,14.0,1.0,29.3
Vfa02,plain,5100.0,120.0,3274,691.9,21.13,418.6,691.9,4.58,17.2,1.0,27.1
Vfa02,plain,5400.0,120.0,2844,581.3,20.44,325.2,581.3,-3.1,10.2,1.0,23.2
Vfa02,plain,5700.0,120.0,3195,1097.4,34.35,577.3,1097.4,-10.83,21.7,1.0,26.1
Vfa02,plain,6000.0,120.0,2858,708.6,24.79,381.9,708.6,9.14,12.5,1.0,23.7
Vfa02,plain,6300.0,120.0,1320,54.0,4.09,35.0,58.3,1.92,6.2,1.0,10.9
Vfa02,plain,6600.0,120.0,844,133.4,15.81,73.7,133.4,-3.75,19.2,1.0,7.0
Vfa02,ins,300.0,120.0,3021,679.3,22.48,306.1,679.3,-12.67,25.2,1.0,25.2
Vfa02,ins,600.0,120.0,2819,2431.6,86.26,1003.7,2431.6,10.84,24.8,1.0,23.5
Vfa02,ins,900.0,120.0,3179,343.9,10.82,154.5,343.9,4.28,7.2,1.0,26.5
Vfa02,ins,1200.0,120.0,3311,896.5,27.07,377.1,896.5,6.29,13.9,1.0,27.6
Vfa02,ins,1500.0,120.0,3033,572.3,18.87,276.6,572.3,9.68,17.6,1.0,25.3
Vfa02,ins,1800.0,120.0,3217,537.9,16.72,219.8,537.9,-8.99,19.2,1.0,26.8
Vfa02,ins,2100.0,120.0,3313,1435.7,43.33,552.3,1435.7,7.86,13.8,1.0,27.5
Vfa02,ins,2400.0,120.0,3211,725.6,22.59,363.7,725.6,-1.29,10.8,1.0,26.8
Vfa02,ins,2700.0,120.0,3141,459.1,14.62,231.6,459.1,-0.87,5.3,1.0,26.2
Vfa02,ins,3000.0,120.0,3201,927.6,28.97,446.1,927.6,-13.69,23.0,1.0,26.8
Vfa02,ins,3300.0,120.0,3275,215.2,6.57,131.3,215.2,-2.08,7.9,1.0,27.3
Vfa02,ins,3600.0,120.0,3002,1942.4,64.71,780.6,1942.4,-3.36,6.7,1.0,24.7
Vfa02,ins,3900.0,120.0,3392,1488.4,43.88,588.6,1488.4,9.42,23.5,1.0,28.2
Vfa02,ins,4200.0,120.0,3145,703.9,22.38,304.0,703.9,4.76,10.1,1.0,26.1
Vfa02,ins,4500.0,120.0,3566,1140.9,32.0,570.9,1140.9,10.97,27.5,1.0,29.6
Vfa02,ins,4800.0,120.0,3521,985.8,28.0,424.6,985.8,-4.15,14.0,1.0,29.3
