t_s,x_m,y_m,v,heading_deg,mode,k,sigma_pos,mm_seg,mm_conf,lat,lon
0.0000,-0.0088,-0.0028,0.0000,0.0000,GNSS_INS,1.0000,3.0000,477,1.6137,28.5227,77.5740
0.1000,-0.0088,-0.0028,0.0000,0.0645,GNSS_INS,1.0000,3.0000,477,1.6137,28.5227,77.5740
0.2000,-0.0088,-0.0028,0.0000,0.0390,GNSS_INS,1.0000,3.0000,477,1.6137,28.5227,77.5740
0.3000,-0.0088,-0.0028,0.0000,0.0567,GNSS_INS,1.0000,3.0000,477,1.6137,28.5227,77.5740
0.4000,-0.0088,-0.0028,0.0000,0.0794,GNSS_INS,1.0000,3.0000,477,1.6137,28.5227,77.5740
0.5000,-0.0088,-0.0028,0.0000,0.1072,GNSS_INS,1.0000,3.0000,477,3.2275,28.5227,77.5740
0.6000,-0.0088,-0.0028,0.0000,0.1377,GNSS_INS,1.0000,3.0000,477,3.2275,28.5227,77.5740
0.7000,-0.0088,-0.0028,0.0000,0.1724,GNSS_INS,1.0000,3.0000,477,3.2275,28.5227,77.5740
0.8000,-0.0088,-0.0028,0.0000,0.1426,GNSS_INS,1.0000,3.0000,477,3.2275,28.5227,77.5740
0.9000,-0.0088,-0.0028,0.0000,0.1913,GNSS_INS,1.0000,3.0000,477,3.2275,28.5227,77.5740
1.0000,-0.0088,-0.0028,0.0000,0.2475,GNSS_INS,1.0000,3.0000,477,3.4102,28.5227,77.5740
1.1000,-0.0088,-0.0028,0.0000,0.1839,GNSS_INS,1.0000,3.0000,477,3.4102,28.5227,77.5740
1.2000,-0.0088,-0.0028,0.0000,0.2525,GNSS_INS,1.0000,3.0000,477,3.4102,28.5227,77.5740
1.3000,-0.0088,-0.0028,0.0000,0.2248,GNSS_INS,1.0000,3.0001,477,3.4102,28.5227,77.5740
1.4000,-0.0088,-0.0028,0.0000,0.3512,GNSS_INS,1.0000,3.0001,477,3.4102,28.5227,77.5740
1.5000,-0.0088,-0.0028,0.0000,0.3641,GNSS_INS,1.0000,3.0001,477,3.4102,28.5227,77.5740
1.6000,-0.0088,-0.0028,0.0000,0.3481,GNSS_INS,1.0000,2.3523,477,3.4102,28.5227,77.5740
1.7000,-0.0088,-0.0028,0.0000,0.3686,GNSS_INS,1.0000,2.3523,477,3.4102,28.5227,77.5740
1.8000,-0.0088,-0.0028,0.0000,0.3689,GNSS_INS,1.0000,2.3523,477,3.4102,28.5227,77.5740
1.9000,-0.0088,-0.0028,0.0000,0.3284,GNSS_INS,1.0000,2.3523,477,3.4102,28.5227,77.5740
2.0000,-0.0088,-0.0028,0.0000,0.3028,GNSS_INS,1.0000,2.3523,477,3.4102,28.5227,77.5740
2.1000,-0.0088,-0.0028,0.0000,0.2999,GNSS_INS,1.0000,2.3523,477,3.4102,28.5227,77.5740
2.2000,-0.0088,-0.0028,0.0000,0.2788,GNSS_INS,1.0000,2.3523,477,3.4102,28.5227,77.5740
2.3000,-0.0088,-0.0028,0.0000,0.2448,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
2.4000,-0.0088,-0.0028,0.0000,0.2472,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
2.5000,-0.0088,-0.0028,0.0000,0.2199,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
2.6000,-0.0088,-0.0028,0.0000,0.2028,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
2.7000,-0.0088,-0.0028,0.0000,0.1935,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
2.8000,-0.0088,-0.0028,0.0000,0.1834,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
2.9000,-0.0088,-0.0028,0.0000,0.1896,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
3.0000,-0.0088,-0.0028,0.0000,0.1980,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
3.1000,-0.0088,-0.0028,0.0000,0.2488,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
3.2000,-0.0088,-0.0028,0.0000,0.2647,GNSS_INS,1.0000,1.9987,477,3.4102,28.5227,77.5740
3.3000,-0.0090,-0.0033,-0.0000,0.3197,GNSS_INS,1.0000,1.7680,477,3.4102,28.5227,77.5740
3.4000,-0.0090,-0.0033,0.0000,0.3469,GNSS_INS,1.0000,1.7680,477,3.4102,28.5227,77.5740
3.5000,-0.0090,-0.0033,0.0000,0.3723,GNSS_INS,1.0000,1.7680,477,3.4099,28.5227,77.5740
3.6000,-0.0090,-0.0033,0.0000,0.3746,GNSS_INS,1.0000,1.7680,477,3.4099,28.5227,77.5740
3.7000,-0.0090,-0.0033,0.0000,0.4104,GNSS_INS,1.0000,1.7680,477,3.4099,28.5227,77.5740
3.8000,-0.0090,-0.0033,0.0000,0.3999,GNSS_INS,1.0000,1.7680,477,3.4099,28.5227,77.5740
3.9000,-0.0090,-0.0033,0.0000,0.3854,GNSS_INS,1.0000,1.7680,477,3.4099,28.5227,77.5740
4.0000,-0.0090,-0.0033,0.0000,0.3839,GNSS_INS,1.0000,1.7680,477,3.4099,28.5227,77.5740
4.1000,-0.0090,-0.0033,0.0000,0.3417,GNSS_INS,1.0000,1.7680,477,3.4099,28.5227,77.5740
4.2000,-0.0090,-0.0033,0.0000,0.3377,GNSS_INS,1.0000,1.7680,477,3.4099,28.5227,77.5740
4.3000,-0.0085,-0.0038,0.0000,0.3269,GNSS_INS,1.0000,1.6023,477,3.4099,28.5227,77.5740
4.4000,-0.0085,-0.0038,0.0000,0.3172,GNSS_INS,1.0000,1.6023,477,3.4099,28.5227,77.5740
4.5000,-0.0085,-0.0038,0.0000,0.3052,GNSS_INS,1.0000,1.6023,477,3.4096,28.5227,77.5740
4.6000,-0.0085,-0.0038,0.0000,0.3016,GNSS_INS,1.0000,1.6023,477,3.4096,28.5227,77.5740
4.7000,-0.0085,-0.0038,0.0000,0.2932,GNSS_INS,1.0000,1.6023,477,3.4096,28.5227,77.5740
4.8000,-0.0085,-0.0038,0.0000,0.3042,GNSS_INS,1.0000,1.6023,477,3.4096,28.5227,77.5740
4.9000,-0.0085,-0.0038,0.0000,0.3145,GNSS_INS,1.0000,1.6023,477,3.4096,28.5227,77.5740
5.0000,-0.0085,-0.0038,0.0000,0.3188,GNSS_INS,1.0000,1.6023,477,3.4098,28.5227,77.5740
5.1000,-0.0085,-0.0038,0.0000,0.3259,GNSS_INS,1.0000,1.6023,477,3.4098,28.5227,77.5740
5.2000,-0.0085,-0.0038,0.0000,0.3316,GNSS_INS,1.0000,1.6023,477,3.4098,28.5227,77.5740
5.3000,-0.0081,-0.0043,0.0000,0.3485,GNSS_INS,1.0000,1.4759,477,3.4098,28.5227,77.5740
5.4000,-0.0081,-0.0043,0.0000,0.3516,GNSS_INS,1.0000,1.4759,477,3.4098,28.5227,77.5740
5.5000,-0.0081,-0.0043,0.0000,0.3538,GNSS_INS,1.0000,1.4759,477,3.4095,28.5227,77.5740
5.6000,-0.0081,-0.0043,0.0000,0.3527,GNSS_INS,1.0000,1.4759,477,3.4095,28.5227,77.5740
5.7000,-0.0081,-0.0043,0.0000,0.3499,GNSS_INS,1.0000,1.4759,477,3.4095,28.5227,77.5740
5.8000,-0.0081,-0.0043,0.0000,0.3458,GNSS_INS,1.0000,1.4759,477,3.4095,28.5227,77.5740
5.9000,-0.0081,-0.0043,0.0000,0.3471,GNSS_INS,1.0000,1.4759,477,3.4095,28.5227,77.5740
6.0000,-0.0081,-0.0043,0.0000,0.3394,GNSS_INS,1.0000,1.4759,477,3.4096,28.5227,77.5740
6.1000,-0.0081,-0.0043,0.0000,0.3434,GNSS_INS,1.0000,1.4759,477,3.4096,28.5227,77.5740
6.2000,-0.0081,-0.0043,0.0000,0.3493,GNSS_INS,1.0000,1.4759,477,3.4096,28.5227,77.5740
6.3000,-0.0073,-0.0044,0.0000,0.3472,GNSS_INS,1.0000,1.3753,477,3.4096,28.5227,77.5740
6.4000,-0.0073,-0.0044,0.0000,0.3361,GNSS_INS,1.0000,1.3754,477,3.4096,28.5227,77.5740
6.5000,-0.0073,-0.0044,0.0000,0.3452,GNSS_INS,1.0000,1.3754,477,3.4094,28.5227,77.5740
6.6000,-0.0073,-0.0044,0.0000,0.3339,GNSS_INS,1.0000,1.3754,477,3.4094,28.5227,77.5740
6.7000,-0.0073,-0.0044,0.0000,0.3414,GNSS_INS,1.0000,1.3754,477,3.4094,28.5227,77.5740
6.8000,-0.0073,-0.0044,0.0000,0.3359,GNSS_INS,1.0000,1.3754,477,3.4094,28.5227,77.5740
6.9000,-0.0073,-0.0044,0.0000,0.3300,GNSS_INS,1.0000,1.3754,477,3.4094,28.5227,77.5740
7.0000,-0.0073,-0.0044,0.0000,0.3269,GNSS_INS,1.0000,1.3754,477,3.4097,28.5227,77.5740
7.1000,-0.0073,-0.0044,0.0000,0.3301,GNSS_INS,1.0000,1.3754,477,3.4097,28.5227,77.5740
7.2000,-0.0073,-0.0044,0.0000,0.3397,GNSS_INS,1.0000,1.3754,477,3.4097,28.5227,77.5740
7.3000,-0.0064,-0.0042,0.0000,0.3488,GNSS_INS,1.0000,1.2929,477,3.4097,28.5227,77.5740
7.4000,-0.0064,-0.0042,0.0000,0.3578,GNSS_INS,1.0000,1.2929,477,3.4097,28.5227,77.5740
7.5000,-0.0064,-0.0042,0.0000,0.3757,GNSS_INS,1.0000,1.2930,477,3.4097,28.5227,77.5740
7.6000,-0.0064,-0.0042,0.0000,0.3770,GNSS_INS,1.0000,1.2930,477,3.4097,28.5227,77.5740
7.7000,-0.0064,-0.0042,0.0000,0.3884,GNSS_INS,1.0000,1.2930,477,3.4097,28.5227,77.5740
7.8000,-0.0064,-0.0042,0.0000,0.3955,GNSS_INS,1.0000,1.2930,477,3.4097,28.5227,77.5740
7.9000,-0.0064,-0.0042,0.0000,0.3964,GNSS_INS,1.0000,1.2930,477,3.4097,28.5227,77.5740
8.0000,-0.0064,-0.0042,0.0000,0.3904,GNSS_INS,1.0000,1.2930,477,3.4100,28.5227,77.5740
8.1000,-0.0064,-0.0042,0.0000,0.3903,GNSS_INS,1.0000,1.2930,477,3.4100,28.5227,77.5740
8.2000,-0.0064,-0.0042,0.0000,0.3782,GNSS_INS,1.0000,1.2930,477,3.4100,28.5227,77.5740
8.3000,-0.0056,-0.0037,0.0000,0.3909,GNSS_INS,1.0000,1.2238,477,3.4100,28.5227,77.5740
8.4000,-0.0056,-0.0037,0.0000,0.3953,GNSS_INS,1.0000,1.2238,477,3.4100,28.5227,77.5740
8.5000,-0.0056,-0.0037,0.0000,0.4062,GNSS_INS,1.0000,1.2238,477,3.4101,28.5227,77.5740
8.6000,-0.0056,-0.0037,0.0000,0.4026,GNSS_INS,1.0000,1.2238,477,3.4101,28.5227,77.5740
8.7000,-0.0056,-0.0037,0.0000,0.4060,GNSS_INS,1.0000,1.2238,477,3.4101,28.5227,77.5740
8.8000,-0.0056,-0.0037,0.0000,0.4047,GNSS_INS,1.0000,1.2238,477,3.4101,28.5227,77.5740
8.9000,-0.0056,-0.0037,0.0000,0.4076,GNSS_INS,1.0000,1.2238,477,3.4101,28.5227,77.5740
9.0000,-0.0056,-0.0037,0.0000,0.4037,GNSS_INS,1.0000,1.2238,477,3.4104,28.5227,77.5740
9.1000,-0.0056,-0.0037,0.0000,0.4028,GNSS_INS,1.0000,1.2239,477,3.4104,28.5227,77.5740
9.2000,-0.0056,-0.0037,0.0000,0.3991,GNSS_INS,1.0000,1.2239,477,3.4104,28.5227,77.5740
9.3000,-0.0047,-0.0034,0.0000,0.3920,GNSS_INS,1.0000,1.1647,477,3.4104,28.5227,77.5740
9.4000,-0.0047,-0.0034,0.0000,0.3806,GNSS_INS,1.0000,1.1647,477,3.4104,28.5227,77.5740
9.5000,-0.0047,-0.0034,0.0000,0.3783,GNSS_INS,1.0000,1.1647,477,3.4104,28.5227,77.5740
9.6000,-0.0047,-0.0034,0.0000,0.3849,GNSS_INS,1.0000,1.1647,477,3.4104,28.5227,77.5740
9.7000,-0.0047,-0.0034,0.0000,0.3879,GNSS_INS,1.0000,1.1647,477,3.4104,28.5227,77.5740
9.8000,-0.0047,-0.0034,0.0000,0.3535,GNSS_INS,1.0000,1.1647,477,3.4104,28.5227,77.5740
9.9000,-0.0047,-0.0034,0.0000,0.3453,GNSS_INS,1.0000,1.1647,477,3.4104,28.5227,77.5740
10.0000,-0.0047,-0.0034,0.0000,0.3429,GNSS_INS,1.0000,1.1647,477,3.4108,28.5227,77.5740
10.1000,-0.0047,-0.0034,0.0000,0.3377,GNSS_INS,1.0000,1.1647,477,3.4108,28.5227,77.5740
10.2000,-0.0047,-0.0034,0.0000,0.3389,GNSS_INS,1.0000,1.1648,477,3.4108,28.5227,77.5740
10.3000,-0.0037,-0.0032,0.0000,0.3503,GNSS_INS,1.0000,1.1134,477,3.4108,28.5227,77.5740
10.4000,-0.0037,-0.0032,0.0000,0.3447,GNSS_INS,1.0000,1.1134,477,3.4108,28.5227,77.5740
10.5000,-0.0037,-0.0032,0.0000,0.3403,GNSS_INS,1.0000,1.1134,477,3.4107,28.5227,77.5740
10.6000,-0.0037,-0.0032,0.0000,0.3385,GNSS_INS,1.0000,1.1134,477,3.4107,28.5227,77.5740
10.7000,-0.0037,-0.0032,0.0000,0.3491,GNSS_INS,1.0000,1.1134,477,3.4107,28.5227,77.5740
10.8000,-0.0037,-0.0032,0.0000,0.3503,GNSS_INS,1.0000,1.1134,477,3.4107,28.5227,77.5740
10.9000,-0.0037,-0.0032,0.0000,0.3517,GNSS_INS,1.0000,1.1134,477,3.4107,28.5227,77.5740
11.0000,-0.0037,-0.0032,0.0000,0.3586,GNSS_INS,1.0000,1.1135,477,3.4111,28.5227,77.5740
11.1000,-0.0037,-0.0032,0.0000,0.3759,GNSS_INS,1.0000,1.1135,477,3.4111,28.5227,77.5740
11.2000,-0.0037,-0.0032,0.0000,0.4052,GNSS_INS,1.0000,1.1135,477,3.4111,28.5227,77.5740
11.3000,-0.0031,-0.0019,0.0000,0.4157,GNSS_INS,1.0000,1.0683,477,3.4111,28.5227,77.5740
11.4000,-0.0031,-0.0019,0.0000,0.4171,GNSS_INS,1.0000,1.0683,477,3.4111,28.5227,77.5740
11.5000,-0.0031,-0.0019,0.0000,0.4273,GNSS_INS,1.0000,1.0684,477,3.4113,28.5227,77.5740
11.6000,-0.0031,-0.0019,0.0000,0.4322,GNSS_INS,1.0000,1.0684,477,3.4113,28.5227,77.5740
11.7000,-0.0031,-0.0019,0.0000,0.4376,GNSS_INS,1.0000,1.0684,477,3.4113,28.5227,77.5740
11.8000,-0.0031,-0.0019,0.0000,0.4338,GNSS_INS,1.0000,1.0684,477,3.4113,28.5227,77.5740
11.9000,-0.0031,-0.0019,0.0000,0.4428,GNSS_INS,1.0000,1.0684,477,3.4113,28.5227,77.5740
12.0000,-0.0031,-0.0019,0.0000,0.4391,GNSS_INS,1.0000,1.0684,477,3.4119,28.5227,77.5740
12.1000,-0.0031,-0.0019,0.0000,0.4351,GNSS_INS,1.0000,1.0684,477,3.4119,28.5227,77.5740
12.2000,-0.0031,-0.0019,0.0000,0.4229,GNSS_INS,1.0000,1.0684,477,3.4119,28.5227,77.5740
12.3000,-0.0025,-0.0011,0.0000,0.4282,GNSS_INS,1.0000,1.0284,477,3.4119,28.5227,77.5740
12.4000,-0.0025,-0.0011,0.0000,0.4324,GNSS_INS,1.0000,1.0284,477,3.4119,28.5227,77.5740
12.5000,-0.0025,-0.0011,0.0000,0.4344,GNSS_INS,1.0000,1.0284,477,3.4120,28.5227,77.5740
12.6000,-0.0025,-0.0011,0.0000,0.4360,GNSS_INS,1.0000,1.0284,477,3.4120,28.5227,77.5740
12.7000,-0.0025,-0.0011,0.0000,0.4338,GNSS_INS,1.0000,1.0284,477,3.4120,28.5227,77.5740
12.8000,-0.0025,-0.0011,0.0000,0.4260,GNSS_INS,1.0000,1.0284,477,3.4120,28.5227,77.5740
12.9000,-0.0025,-0.0011,0.0000,0.4300,GNSS_INS,1.0000,1.0284,477,3.4120,28.5227,77.5740
13.0000,-0.0025,-0.0011,0.0000,0.4322,GNSS_INS,1.0000,1.0285,477,3.4124,28.5227,77.5740
13.1000,-0.0025,-0.0011,0.0000,0.4340,GNSS_INS,1.0000,1.0285,477,3.4124,28.5227,77.5740
13.2000,-0.0025,-0.0011,0.0000,0.4396,GNSS_INS,1.0000,1.0285,477,3.4124,28.5227,77.5740
13.3000,-0.0018,-0.0006,0.0000,0.4460,GNSS_INS,1.0000,0.9926,477,3.4124,28.5227,77.5740
13.4000,-0.0018,-0.0006,0.0000,0.4350,GNSS_INS,1.0000,0.9926,477,3.4124,28.5227,77.5740
13.5000,-0.0018,-0.0006,0.0000,0.4409,GNSS_INS,1.0000,0.9926,477,3.4125,28.5227,77.5740
13.6000,-0.0018,-0.0006,0.0000,0.4395,GNSS_INS,1.0000,0.9926,477,3.4125,28.5227,77.5740
13.7000,-0.0018,-0.0006,0.0000,0.4439,GNSS_INS,1.0000,0.9926,477,3.4125,28.5227,77.5740
13.8000,-0.0018,-0.0006,0.0000,0.4486,GNSS_INS,1.0000,0.9927,477,3.4125,28.5227,77.5740
13.9000,-0.0018,-0.0006,0.0000,0.4578,GNSS_INS,1.0000,0.9927,477,3.4125,28.5227,77.5740
14.0000,-0.0018,-0.0006,0.0000,0.4527,GNSS_INS,1.0000,0.9927,477,3.4128,28.5227,77.5740
14.1000,-0.0018,-0.0006,0.0000,0.4633,GNSS_INS,1.0000,0.9927,477,3.4128,28.5227,77.5740
14.2000,-0.0018,-0.0006,0.0000,0.4661,GNSS_INS,1.0000,0.9927,477,3.4128,28.5227,77.5740
14.3000,-0.0009,-0.0003,0.0000,0.4669,GNSS_INS,1.0000,0.9603,477,3.4128,28.5227,77.5740
14.4000,-0.0009,-0.0003,0.0000,0.4815,GNSS_INS,1.0000,0.9603,477,3.4128,28.5227,77.5740
14.5000,-0.0009,-0.0003,0.0000,0.4868,GNSS_INS,1.0000,0.9604,477,3.4128,28.5227,77.5740
14.6000,-0.0009,-0.0003,0.0000,0.4905,GNSS_INS,1.0000,0.9604,477,3.4128,28.5227,77.5740
14.7000,-0.0009,-0.0003,0.0000,0.4921,GNSS_INS,1.0000,0.9604,477,3.4128,28.5227,77.5740
14.8000,-0.0009,-0.0003,0.0000,0.5052,GNSS_INS,1.0000,0.9604,477,3.4128,28.5227,77.5740
14.9000,-0.0009,-0.0003,0.0000,0.5101,GNSS_INS,1.0000,0.9604,477,3.4128,28.5227,77.5740
15.0000,-0.0009,-0.0003,0.0000,0.5094,GNSS_INS,1.0000,0.9604,477,3.4132,28.5227,77.5740
15.1000,-0.0009,-0.0003,0.0000,0.5081,GNSS_INS,1.0000,0.9604,477,3.4132,28.5227,77.5740
15.2000,-0.0009,-0.0003,0.0000,0.5073,GNSS_INS,1.0000,0.9604,477,3.4132,28.5227,77.5740
15.3000,0.0000,-0.0002,0.0000,0.5041,GNSS_INS,1.0000,0.9310,477,3.4132,28.5227,77.5740
15.4000,0.0000,-0.0002,0.0000,0.4837,GNSS_INS,1.0000,0.9310,477,3.4132,28.5227,77.5740
15.5000,0.0000,-0.0002,0.0000,0.5125,GNSS_INS,1.0000,0.9311,477,3.4131,28.5227,77.5740
15.6000,0.0000,-0.0002,0.0000,0.5221,GNSS_INS,1.0000,0.9311,477,3.4131,28.5227,77.5740
15.7000,0.0000,-0.0002,0.0000,0.5206,GNSS_INS,1.0000,0.9311,477,3.4131,28.5227,77.5740
15.8000,0.0000,-0.0002,0.0000,0.5379,GNSS_INS,1.0000,0.9311,477,3.4131,28.5227,77.5740
15.9000,0.0000,-0.0002,0.0000,0.5935,GNSS_INS,1.0000,0.9311,477,3.4131,28.5227,77.5740
16.0000,0.0000,-0.0002,0.0000,0.5820,GNSS_INS,1.0000,0.9311,477,3.4134,28.5227,77.5740
16.1000,0.0000,-0.0002,0.0000,0.5985,GNSS_INS,1.0000,0.9311,477,3.4134,28.5227,77.5740
16.2000,0.0000,-0.0002,0.0000,0.5439,GNSS_INS,1.0000,0.9311,477,3.4134,28.5227,77.5740
16.3000,0.0010,-0.0001,0.0000,0.6196,GNSS_INS,1.0000,0.9043,477,3.4134,28.5227,77.5740
16.4000,0.0010,-0.0001,0.0000,0.5117,GNSS_INS,1.0000,0.9043,477,3.4134,28.5227,77.5740
16.5000,0.0010,-0.0001,0.0000,0.4079,GNSS_INS,1.0000,0.9043,477,3.4133,28.5227,77.5740
16.6000,0.0010,-0.0001,0.0000,0.3227,GNSS_INS,1.0000,0.9043,477,3.4133,28.5227,77.5740
16.7000,0.0010,-0.0001,0.0000,-0.0736,GNSS_INS,1.0000,0.9043,477,3.4133,28.5227,77.5740
16.8000,0.0010,-0.0001,0.0000,-0.5147,GNSS_INS,1.0000,0.9043,477,3.4133,28.5227,77.5740
16.9000,0.0010,-0.0001,0.0000,-0.7147,GNSS_INS,1.0000,0.9044,477,3.4133,28.5227,77.5740
17.0000,0.0010,-0.0001,0.0000,-1.2955,GNSS_INS,1.0000,0.9044,477,3.4137,28.5227,77.5740
17.1000,0.0010,-0.0001,0.0000,-1.4905,GNSS_INS,1.0000,0.9044,477,3.4137,28.5227,77.5740
17.2000,0.0010,-0.0001,0.0000,-1.2305,GNSS_INS,1.0000,0.9044,477,3.4137,28.5227,77.5740
17.3000,-0.0010,-0.0437,0.0103,-0.6307,GNSS_INS,1.0000,0.8797,477,3.4137,28.5227,77.5740
17.4000,-0.0002,-0.0437,0.0018,0.4374,GNSS_INS,1.0000,0.8797,477,3.4137,28.5227,77.5740
17.5000,-0.0000,-0.0437,0.0003,1.1572,GNSS_INS,1.0000,0.8797,477,3.3897,28.5227,77.5740
17.6000,0.0011,-0.0437,0.0530,1.1231,GNSS_INS,1.0000,0.8798,477,3.3897,28.5227,77.5740
17.7000,0.0125,-0.0436,0.1509,0.5581,GNSS_INS,1.0000,0.8798,477,3.3897,28.5227,77.5740
17.8000,0.0379,-0.0433,0.2505,0.5631,GNSS_INS,1.0000,0.8800,477,3.3897,28.5227,77.5740
17.9000,0.0757,-0.0427,0.3424,1.1006,GNSS_INS,1.0000,0.8803,477,3.3897,28.5227,77.5740
18.0000,0.1225,-0.0413,0.4175,1.8247,GNSS_INS,1.0000,0.8807,477,3.3686,28.5227,77.5740
18.1000,0.1752,-0.0391,0.4744,2.4844,GNSS_INS,1.0000,0.8811,477,3.3686,28.5227,77.5740
18.2000,0.2338,-0.0367,0.5269,2.4522,GNSS_INS,1.0000,0.8816,477,3.3686,28.5227,77.5740
18.3000,0.2494,-0.2323,0.9384,-104.9114,GNSS_INS,1.0000,0.8584,477,3.3686,28.5227,77.5740
18.4000,0.2202,-0.3163,0.8777,-105.4909,GNSS_INS,1.0000,0.8583,477,3.3686,28.5227,77.5740
18.5000,0.1970,-0.4086,0.9352,-106.4598,GNSS_INS,1.0000,0.8582,477,3.2196,28.5227,77.5740
18.6000,0.1689,-0.5047,0.9754,-107.4020,GNSS_INS,1.0000,0.8582,477,3.2196,28.5227,77.5740
18.7000,0.1380,-0.6028,1.0031,-108.1134,GNSS_INS,1.0000,0.8582,477,3.2196,28.5227,77.5740
