run,dir,cut,mode,mm,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s
2,AB,c10,corridor,0,822.37,243.51,4.69,0.57,7.17,12.41,5.0,15.0
2,AB,c30,corridor,0,752.49,223.51,3.66,0.49,6.48,11.59,4.08,15.0
2,AB,c60,corridor,0,639.03,193.51,2.65,0.41,5.99,10.27,3.1,15.0
2,AB,turn,corridor,0,398.93,130.2,2.76,0.69,6.65,9.35,3.08,15.0
3,BA,c10,corridor,0,814.72,224.0,21.57,2.65,18.66,23.01,21.57,15.01
3,BA,c30,corridor,0,723.72,204.0,19.44,2.69,17.39,22.22,19.44,15.01
3,BA,c60,corridor,0,575.46,174.0,15.98,2.78,15.28,19.3,15.97,15.01
3,BA,turn,corridor,0,471.5,151.28,11.8,2.5,12.09,13.53,11.79,15.01
4,AB,c10,corridor,0,853.61,238.23,31.85,3.73,19.67,33.11,31.84,15.01
4,AB,c30,corridor,0,789.25,218.23,29.71,3.76,18.77,31.06,29.69,15.01
4,AB,c60,corridor,0,676.72,188.23,27.63,4.08,18.54,29.07,27.63,15.01
4,AB,turn,corridor,0,418.33,116.08,24.94,5.96,21.28,26.9,24.97,15.01
5,BA,c10,corridor,0,844.09,245.54,26.37,3.12,17.37,26.89,26.17,15.01
5,BA,c30,corridor,0,770.08,225.54,24.16,3.14,16.04,24.68,23.95,15.01
5,BA,c60,corridor,0,655.14,195.54,21.35,3.26,14.62,21.84,21.15,15.01
5,BA,turn,corridor,0,469.42,147.65,18.26,3.89,13.67,18.76,18.07,15.01
6,AB,c10,corridor,0,850.46,196.21,34.55,4.06,26.57,37.2,34.5,15.0
6,AB,c30,corridor,0,769.92,176.21,33.36,4.33,26.97,35.95,33.35,15.0
6,AB,c60,corridor,0,596.95,146.21,23.55,3.94,20.38,26.16,23.56,15.0
6,AB,turn,corridor,0,420.76,112.71,16.6,3.94,16.34,19.15,16.64,15.0
8,BA,c10,corridor,0,845.74,238.18,52.16,6.17,43.24,53.22,52.17,15.01
8,BA,c30,corridor,0,753.56,218.18,48.24,6.4,41.48,49.29,48.24,15.01
8,BA,c60,corridor,0,621.59,188.18,39.31,6.32,35.69,40.39,39.32,15.01
8,BA,turn,corridor,0,468.67,151.83,27.61,5.89,27.01,28.69,27.62,15.01
9,AB,c10,corridor,0,841.08,218.62,5.05,0.6,8.76,13.01,4.96,15.0
9,AB,c30,corridor,0,757.55,198.62,4.85,0.64,8.58,12.97,4.77,15.0
9,AB,c60,corridor,0,616.21,168.62,3.37,0.55,7.27,11.06,3.32,15.0
9,AB,turn,corridor,0,421.59,115.57,4.01,0.95,7.49,10.87,4.02,15.0
10,BA,c10,corridor,0,850.28,206.99,18.65,2.19,15.99,22.83,18.85,15.0
10,BA,c30,corridor,0,762.25,186.99,16.51,2.17,14.86,20.19,16.71,15.0
10,BA,c60,corridor,0,634.67,156.99,14.72,2.32,14.28,19.6,14.9,15.0
10,BA,turn,corridor,0,470.15,118.44,10.21,2.17,11.6,13.89,10.39,15.0
11,AB,c10,corridor,0,842.08,191.29,1.7,0.2,13.9,22.58,1.86,15.0
11,AB,c30,corridor,0,734.6,171.29,4.79,0.65,10.75,18.69,4.77,15.0
11,AB,c60,corridor,0,597.72,141.29,9.22,1.54,8.68,14.76,9.15,15.0
11,AB,turn,corridor,0,416.94,100.76,12.41,2.98,10.3,13.36,12.35,15.0
12,BA,c10,corridor,0,856.14,271.94,11.03,1.29,8.01,16.92,11.04,15.0
12,BA,c30,corridor,0,792.18,251.94,11.88,1.5,9.1,17.28,11.89,15.0
12,BA,c60,corridor,0,700.53,221.94,13.24,1.89,10.73,20.5,13.26,15.0
12,BA,turn,corridor,0,473.14,153.51,5.39,1.14,4.28,10.84,5.41,15.0
