run,dir,cut,mode,mm,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s
1,AB,c10,corridor,0,293.59,101.99,6.78,2.31,9.09,14.02,6.8,15.0
1,AB,c30,corridor,0,228.88,81.99,8.11,3.54,8.54,12.54,8.21,15.0
1,AB,c60,corridor,0,139.77,51.99,4.66,3.34,4.35,5.93,4.77,15.0
1,AB,turn,corridor,0,224.46,80.46,7.83,3.49,8.45,11.84,7.93,15.0
2,BA,c10,corridor,0,281.02,85.21,7.65,2.72,8.02,15.7,7.42,15.0
2,BA,c30,corridor,0,209.8,65.21,6.29,3.0,7.49,12.97,6.06,15.0
2,BA,c60,corridor,0,103.4,35.21,4.13,4.0,8.15,12.18,3.9,15.0
2,BA,turn,corridor,0,100.16,34.26,4.13,4.13,8.26,12.18,3.9,15.0
3,AB,c10,corridor,0,285.48,91.73,6.02,2.11,9.35,14.96,6.18,15.0
3,AB,c30,corridor,0,218.77,71.73,8.98,4.1,10.25,12.43,9.08,15.0
3,AB,c60,corridor,0,105.57,41.73,4.53,4.29,3.62,4.7,4.45,15.0
3,AB,turn,corridor,0,220.07,72.1,10.09,4.58,10.74,13.17,10.18,15.0
4,BA,c10,corridor,0,275.02,76.58,7.42,2.7,8.95,17.14,7.46,15.0
4,BA,c30,corridor,0,193.22,56.58,5.37,2.78,7.36,12.06,5.44,15.0
4,BA,c60,corridor,0,80.49,26.58,4.76,5.91,6.46,7.26,4.83,15.0
4,BA,turn,corridor,0,97.59,31.55,3.7,3.79,7.53,10.13,3.77,15.0
5,AB,c10,corridor,0,282.05,84.07,2.02,0.71,7.5,11.33,2.22,15.0
5,AB,c30,corridor,0,212.32,64.07,3.24,1.52,7.06,9.32,3.21,15.0
5,AB,c60,corridor,0,104.22,34.07,4.08,3.91,3.48,4.86,3.83,15.0
5,AB,turn,corridor,0,222.98,67.19,7.69,3.45,8.74,11.69,7.65,15.0
6,BA,c10,corridor,0,284.08,77.59,5.52,1.94,7.0,12.76,5.41,15.0
6,BA,c30,corridor,0,203.65,57.59,4.87,2.39,6.66,10.12,4.72,15.0
6,BA,c60,corridor,0,90.64,27.59,9.62,10.61,10.37,11.97,9.47,15.0
6,BA,turn,corridor,0,102.5,31.02,3.1,3.02,7.67,10.83,2.97,15.0
7,AB,c10,corridor,0,284.52,81.98,1.98,0.69,7.15,12.39,1.73,15.0
7,AB,c30,corridor,0,211.79,61.98,4.24,2.0,6.03,9.34,3.98,15.0
