run,dir,cut,mode,mm,outage_m,outage_s,end_m,drift_pct,rmse_m,max_m,after_stop_m,after_stop_s
1,AB,c10,general,2,293.59,101.99,17.54,5.98,8.3,17.76,17.44,15.0
1,AB,c30,general,2,228.88,81.99,4.07,1.78,4.71,7.28,4.18,15.0
1,AB,c60,general,2,139.77,51.99,5.45,3.9,3.66,6.34,5.08,15.0
1,AB,turn,general,2,224.46,80.46,4.08,1.82,4.71,7.24,4.19,15.0
2,BA,c10,general,2,281.02,85.21,8.25,2.94,5.16,9.73,8.15,15.0
2,BA,c30,general,2,209.8,65.21,5.38,2.57,0.98,5.38,5.78,15.0
2,BA,c60,general,2,103.4,35.21,2.6,2.52,2.02,2.97,5.26,15.0
2,BA,turn,general,2,100.16,34.26,2.6,2.6,2.05,2.97,5.26,15.0
3,AB,c10,general,2,285.48,91.73,2.43,0.85,4.19,5.88,2.42,15.0
3,AB,c30,general,2,218.77,71.73,5.35,2.45,2.17,5.5,5.24,15.0
3,AB,c60,general,2,105.57,41.73,4.36,4.13,2.4,4.46,4.22,15.0
3,AB,turn,general,2,220.07,72.1,5.33,2.42,2.15,5.48,5.22,15.0
4,BA,c10,general,2,275.02,76.58,5.08,1.85,4.48,6.76,5.07,15.0
4,BA,c30,general,2,193.22,56.58,2.03,1.05,1.77,3.23,2.1,15.0
4,BA,c60,general,2,80.49,26.58,4.44,5.52,2.03,4.44,5.05,15.0
4,BA,turn,general,2,97.59,31.55,4.2,4.3,2.09,4.2,4.27,15.0
5,AB,c10,general,2,282.05,84.07,8.79,3.12,3.24,8.79,8.56,15.0
5,AB,c30,general,2,212.32,64.07,9.83,4.63,4.69,9.89,9.61,15.0
5,AB,c60,general,2,104.22,34.07,8.41,8.07,3.42,8.41,8.15,15.0
5,AB,turn,general,2,222.98,67.19,9.62,4.31,4.56,9.67,9.4,15.0
6,BA,c10,general,2,284.08,77.59,5.53,1.95,4.4,7.53,5.6,15.0
6,BA,c30,general,2,203.65,57.59,8.51,4.18,5.88,10.32,8.57,15.0
6,BA,c60,general,2,90.64,27.59,1.46,1.61,3.79,4.95,1.28,15.0
6,BA,turn,general,2,102.5,31.02,1.51,1.47,3.85,5.09,1.3,15.0
7,AB,c10,general,2,284.52,81.98,11.33,3.98,9.11,12.41,11.07,15.0
7,AB,c30,general,2,211.79,61.98,6.0,2.83,3.98,6.0,6.22,15.0
7,AB,c60,general,2,103.22,31.98,6.32,6.12,4.49,6.32,6.43,15.0
7,AB,turn,general,2,224.04,65.26,5.63,2.51,3.88,5.63,5.84,15.0
9,BA,c10,general,2,285.95,82.78,7.74,2.71,1.72,7.74,6.19,15.0
9,BA,c30,general,2,219.91,62.78,8.71,3.96,2.56,8.71,6.61,15.0
9,BA,c60,general,2,107.12,32.78,5.04,4.7,2.83,5.04,5.77,15.0
9,BA,turn,general,2,101.63,31.28,4.97,4.89,2.88,4.97,5.76,15.0
10,AB,c10,general,2,272.58,59.46,13.51,4.96,11.17,17.47,13.22,15.0
10,AB,c30,general,2,178.84,39.46,8.8,4.92,7.96,12.4,8.56,15.0
10,AB,turn,general,2,218.36,48.11,10.02,4.59,8.47,13.74,9.76,15.0
11,BA,c10,general,2,268.5,51.6,9.48,3.53,8.26,12.71,8.48,15.0
11,BA,c30,general,2,137.97,31.6,2.66,1.93,3.76,5.45,2.75,15.0
11,BA,turn,general,2,96.85,24.4,2.53,2.61,3.59,5.11,2.79,15.0
12,AB,c10,general,2,279.62,59.61,7.06,2.52,11.28,15.7,6.28,14.99
12,AB,c30,general,2,191.09,39.61,6.86,3.59,9.69,11.96,6.62,14.99
12,AB,turn,general,2,226.52,47.89,6.77,2.99,9.72,12.87,6.38,14.99
13,BA,c10,general,2,264.64,59.65,8.98,3.39,16.19,20.48,8.92,15.0
13,BA,c30,general,2,142.86,39.65,6.35,4.45,8.33,10.88,5.43,15.0
13,BA,turn,general,2,101.42,29.95,6.46,6.37,6.08,8.72,5.75,15.0
14,AB,c10,general,2,271.32,59.52,10.41,3.84,7.1,11.18,10.41,15.65
14,AB,c30,general,2,171.36,39.52,8.92,5.21,5.51,9.16,6.31,15.65
14,AB,turn,general,2,223.93,49.91,9.91,4.43,6.14,10.14,7.04,15.65
15,BA,c10,general,2,268.17,66.35,11.36,4.24,9.03,11.96,11.69,15.03
15,BA,c30,general,2,168.34,46.35,10.27,6.1,7.29,10.53,10.57,15.03
15,BA,c60,general,2,41.22,16.35,5.67,13.76,5.13,5.97,5.96,15.03
15,BA,turn,general,2,98.36,30.54,8.9,9.05,7.06,9.15,9.2,15.03
16,AB,c10,general,2,277.69,79.42,12.24,4.41,10.53,12.34,12.02,15.0
16,AB,c30,general,2,197.62,59.42,25.59,12.95,13.19,27.42,25.51,15.0
16,AB,c60,general,2,84.59,29.42,19.6,23.17,12.63,19.6,19.74,15.0
