t_s,x_m,y_m,v,heading_deg,mode,k,sigma_pos,mm_seg,mm_conf,lat,lon
0.0000,-0.1756,0.0188,0.0000,0.0000,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
0.1000,-0.1756,0.0188,0.0000,-0.0053,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
0.2000,-0.1756,0.0188,0.0000,-0.0077,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
0.3000,-0.1756,0.0188,0.0000,-0.0061,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
0.4000,-0.1756,0.0188,0.0000,-0.0199,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
0.5000,-0.1756,0.0188,0.0000,-0.0293,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
0.6000,-0.1756,0.0188,0.0000,-0.0436,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
0.7000,-0.1756,0.0188,0.0000,-0.0533,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
0.8000,-0.1756,0.0188,0.0000,-0.0075,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
0.9000,-0.1756,0.0188,0.0000,-0.0618,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
1.0000,-0.1756,0.0188,0.0000,-0.0781,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
1.1000,-0.1756,0.0188,0.0000,-0.0612,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
1.2000,-0.1756,0.0188,0.0000,-0.1147,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
1.3000,-0.1756,0.0188,0.0000,-0.0893,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
1.4000,-0.1756,0.0188,0.0000,-0.0941,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
1.5000,-0.1756,0.0188,0.0000,-0.0853,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
1.6000,-0.1756,0.0188,0.0000,-0.1091,GNSS_INS,1.0000,3.0000,-1,,28.5260,77.5706
1.7000,-0.1756,0.0188,0.0000,-0.1742,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
1.8000,-0.1756,0.0188,0.0000,-0.1755,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
1.9000,-0.1756,0.0188,0.0000,-0.1898,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.0000,-0.1756,0.0188,0.0000,-0.1835,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.1000,-0.1756,0.0188,0.0000,-0.1673,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.2000,-0.1756,0.0188,0.0000,-0.1891,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.3000,-0.1756,0.0188,0.0000,-0.1805,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.4000,-0.1756,0.0188,0.0000,-0.1759,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.5000,-0.1756,0.0188,0.0000,-0.1816,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.6000,-0.1756,0.0188,0.0000,-0.1867,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.7000,-0.1756,0.0188,0.0000,-0.1773,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.8000,-0.1756,0.0188,0.0000,-0.1824,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
2.9000,-0.1756,0.0188,0.0000,-0.1935,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
3.0000,-0.1756,0.0188,0.0000,-0.1854,GNSS_INS,1.0000,2.3523,-1,,28.5260,77.5706
3.1000,-0.1773,-0.0003,0.0000,-0.1777,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
3.2000,-0.1773,-0.0003,0.0000,-0.1773,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
3.3000,-0.1773,-0.0003,0.0000,-0.1863,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
3.4000,-0.1773,-0.0003,0.0000,-0.1814,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
3.5000,-0.1773,-0.0003,0.0000,-0.1817,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
3.6000,-0.1773,-0.0003,0.0000,-0.1794,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
3.7000,-0.1773,-0.0003,0.0000,-0.1926,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
3.8000,-0.1773,-0.0003,0.0000,-0.1972,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
3.9000,-0.1773,-0.0003,0.0000,-0.2079,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
4.0000,-0.1773,-0.0003,0.0000,-0.1903,GNSS_INS,1.0000,1.9986,-1,,28.5260,77.5706
4.1000,-0.1723,-0.0191,0.0000,-0.1947,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
4.2000,-0.1723,-0.0191,0.0000,-0.1872,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
4.3000,-0.1723,-0.0191,0.0000,-0.1996,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
4.4000,-0.1723,-0.0191,0.0000,-0.1949,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
4.5000,-0.1723,-0.0191,0.0000,-0.1912,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
4.6000,-0.1723,-0.0191,0.0000,-0.2059,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
4.7000,-0.1723,-0.0191,0.0000,-0.2105,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
4.8000,-0.1723,-0.0191,0.0000,-0.2093,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
4.9000,-0.1723,-0.0191,0.0000,-0.2152,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
5.0000,-0.1723,-0.0191,0.0000,-0.2252,GNSS_INS,1.0000,1.7679,-1,,28.5260,77.5706
5.1000,-0.1606,-0.0207,0.0000,-0.2291,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
5.2000,-0.1606,-0.0207,0.0000,-0.2304,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
5.3000,-0.1606,-0.0207,0.0000,-0.2351,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
5.4000,-0.1606,-0.0207,0.0000,-0.2364,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
5.5000,-0.1606,-0.0207,0.0000,-0.2347,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
5.6000,-0.1606,-0.0207,0.0000,-0.2338,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
5.7000,-0.1606,-0.0207,0.0000,-0.2334,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
5.8000,-0.1606,-0.0207,0.0000,-0.2383,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
5.9000,-0.1606,-0.0207,0.0000,-0.2317,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
6.0000,-0.1606,-0.0207,0.0000,-0.2391,GNSS_INS,1.0000,1.6022,-1,,28.5260,77.5706
6.1000,-0.1323,0.0061,0.0000,-0.2443,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
6.2000,-0.1323,0.0061,0.0000,-0.2428,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
6.3000,-0.1323,0.0061,0.0000,-0.2404,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
6.4000,-0.1323,0.0061,0.0000,-0.2476,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
6.5000,-0.1323,0.0061,0.0000,-0.2535,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
6.6000,-0.1323,0.0061,0.0000,-0.2626,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
6.7000,-0.1323,0.0061,0.0000,-0.2507,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
6.8000,-0.1323,0.0061,0.0000,-0.2517,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
6.9000,-0.1323,0.0061,0.0000,-0.2480,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
7.0000,-0.1323,0.0061,0.0000,-0.2466,GNSS_INS,1.0000,1.4757,-1,,28.5260,77.5706
7.1000,-0.1068,0.0275,0.0000,-0.2472,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
7.2000,-0.1068,0.0275,0.0000,-0.2464,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
7.3000,-0.1068,0.0275,0.0000,-0.2478,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
7.4000,-0.1068,0.0275,0.0000,-0.2499,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
7.5000,-0.1068,0.0275,0.0000,-0.2519,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
7.6000,-0.1068,0.0275,0.0000,-0.2517,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
7.7000,-0.1068,0.0275,0.0000,-0.2517,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
7.8000,-0.1068,0.0275,0.0000,-0.2553,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
7.9000,-0.1068,0.0275,0.0000,-0.2613,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
8.0000,-0.1068,0.0275,0.0000,-0.2519,GNSS_INS,1.0000,1.3752,-1,,28.5260,77.5706
8.1000,-0.0808,0.0478,0.0000,-0.2584,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
8.2000,-0.0808,0.0478,0.0000,-0.2569,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
8.3000,-0.0808,0.0478,0.0000,-0.2581,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
8.4000,-0.0808,0.0478,0.0000,-0.2593,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
8.5000,-0.0808,0.0478,0.0000,-0.2563,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
8.6000,-0.0808,0.0478,0.0000,-0.2576,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
8.7000,-0.0808,0.0478,0.0000,-0.2567,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
8.8000,-0.0808,0.0478,0.0000,-0.2591,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
8.9000,-0.0808,0.0478,0.0000,-0.2582,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
9.0000,-0.0808,0.0478,0.0000,-0.2564,GNSS_INS,1.0000,1.2927,-1,,28.5260,77.5706
9.1000,-0.0621,0.0544,0.0000,-0.2567,GNSS_INS,1.0000,1.2235,-1,,28.5260,77.5706
9.2000,-0.0621,0.0544,0.0000,-0.2555,GNSS_INS,1.0000,1.2235,-1,,28.5260,77.5706
9.3000,-0.0621,0.0544,0.0000,-0.2593,GNSS_INS,1.0000,1.2235,-1,,28.5260,77.5706
9.4000,-0.0621,0.0544,0.0000,-0.2608,GNSS_INS,1.0000,1.2235,-1,,28.5260,77.5706
9.5000,-0.0621,0.0544,0.0000,-0.2588,GNSS_INS,1.0000,1.2235,-1,,28.5260,77.5706
9.6000,-0.0621,0.0544,0.0000,-0.2587,GNSS_INS,1.0000,1.2235,-1,,28.5260,77.5706
9.7000,-0.0621,0.0544,0.0000,-0.2567,GNSS_INS,1.0000,1.2235,-1,,28.5260,77.5706
9.8000,-0.0621,0.0544,0.0000,-0.2554,GNSS_INS,1.0000,1.2235,-1,,28.5260,77.5706
