session,run,dir,rider,route,status,purpose,variation,notes,duration_s,missing_streams,acc_hz,acc_p99_dt_ms,acc_max_dt_ms,acc_gaps50,acc_dups,acc_nonmono,acc_dropped_app,gyr_hz,gyr_p99_dt_ms,gyr_max_dt_ms,gyr_gaps50,gyr_dups,gyr_nonmono,gyr_dropped_app,imu_start_lag_s,imu_end_lag_s,n_fix,n_fix_ride,fix_dt_median_s,fix_max_dt_ride_s,acc_h_mean,acc_h_max_ride,sats_min_ride,mock,has_speed_frac,cn0_min_ride,cn0_mean_ride,used_min_ride,real_outage_epochs,stand_start_ok,pitch_start,roll_start,g_mag_start,stand_rot_start_deg,stand_rotz_start_deg,stand_quiet_start,stand_accrms_start,stand_gyromax_start_dps,gamerot_start_deg,bias_start_dps,biasz_start_dps,gnss_vmax_start,gnss_std_start_m,stand_end_ok,pitch_end,roll_end,g_mag_end,stand_rot_end_deg,stand_rotz_end_deg,stand_quiet_end,stand_accrms_end,stand_gyromax_end_dps,gamerot_end_deg,bias_end_dps,biasz_end_dps,gnss_vmax_end,gnss_std_end_m,mount_change_deg,bias_mismatch_dps,a_max,impact_samples,t_amax_ride_s,impact_events,clip,ride_s,motion_start_lag_s,motion_end_lead_s,moving_s,v_mean_moving,v_max,slow_frac,still_s_midride,mid_stops,path_m,baro_ok,anchor_start_lat,anchor_start_lon,anchor_end_lat,anchor_end_lon,anchor_dist_app_m,polyline_app_m,anchor_start_recompute_m,anchor_end_recompute_m,batt_start,batt_end,thermal_max,batt_temp_max,d_pitch_median,d_roll_median,start_off_m,end_off_m,verdict,flags_str
20260905_003612_SNU_AJB_AB_run1,1,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,145.393,geomagrot,420.3,2.38,2.7,0,0,0,0,420.3,2.38,7.7,0,0,0,0,-0.047,0.005,145,115,1.0,1.01,3.79,3.8,51,False,1.0,29.5,31.7,51,0,True,24.83,-7.22,9.874,0.88,-0.63,0.83,0.074,18.8,2.77,"(np.float64(0.007), np.float64(0.068), np.float64(-0.182))",-0.182,0.0,0.01,True,29.12,-8.4,9.858,6.06,4.24,0.5,0.095,11.5,4.91,"(np.float64(-0.036), np.float64(-0.159), np.float64(0.092))",0.092,0.0,0.03,4.41,0.274,93.9,42,66.1,3,False,115.3,3.3,10.0,102.0,3.04,3.79,0.06,0.0,0,317.0,True,28.522682805,77.57398084,28.52154110666667,77.57159238866667,265.8,316.6,0.0,0.0,52,51,0,33.9,-0.65,-5.82,0.9,1.5,WARN,"STAND_MOTION_END(rot 6.1deg); BIAS_MISMATCH(0.27dps); IMPACT(3 events, 42 samples, max 94 m/s2 at 66s)"
20260905_003936_SNU_AJB_BA_run2,2,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,128.426,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.039,0.006,127,99,1.0,1.01,3.79,3.8,51,False,1.0,29.7,33.0,51,0,True,24.3,2.52,9.876,5.68,5.03,0.75,0.104,10.4,4.86,"(np.float64(-0.001), np.float64(0.038), np.float64(-0.135))",-0.135,0.0,0.38,True,22.82,0.71,9.873,1.37,1.23,0.5,0.076,7.6,0.72,"(np.float64(0.0), np.float64(0.088), np.float64(-0.232))",-0.232,0.0,0.07,2.34,0.097,22.0,0,41.8,0,False,98.3,3.1,3.2,92.0,3.33,3.72,0.01,0.0,0,314.4,True,28.52155474307692,77.57159182076923,28.522687925999996,77.57398603333333,265.9,314.0,0.0,0.0,51,51,0,33.5,-1.18,3.92,0.6,0.7,WARN,STAND_MOTION_START(rot 5.7deg)
20260905_004343_SNU_AJB_AB_run3,3,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,134.521,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.052,0.005,132,103,1.0,1.57,3.79,3.8,0,False,1.0,29.8,33.3,0,3,True,23.01,-2.44,9.874,1.87,1.77,0.67,0.07,7.3,2.42,"(np.float64(0.013), np.float64(0.053), np.float64(-0.11))",-0.11,0.0,0.12,True,26.22,-1.89,9.87,1.3,1.11,0.92,0.06,5.3,1.89,"(np.float64(-0.014), np.float64(-0.031), np.float64(-0.008))",-0.008,0.0,0.05,3.26,0.102,103.3,39,59.6,1,False,104.4,2.7,8.7,93.0,3.28,4.19,0.03,0.0,0,312.6,True,28.52268689785714,77.5739901992857,28.521561432000002,77.57162250600001,263.2,312.2,0.0,0.0,50,49,0,32.9,-2.47,-1.04,0.5,2.6,WARN,"GNSS_GAP(1x>1.5s, max 1.6s); SATS_LOW(2 epochs <4); IMPACT(1 events, 39 samples, max 103 m/s2 at 60s)"
20260905_004615_SNU_AJB_BA_run4,4,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,119.373,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.054,0.006,118,89,1.0,1.01,3.79,3.8,50,False,1.0,29.8,33.0,50,0,True,26.12,0.39,9.874,3.57,3.07,0.67,0.069,12.7,3.53,"(np.float64(-0.021), np.float64(-0.001), np.float64(-0.09))",-0.09,0.0,0.07,True,25.99,0.99,9.874,1.73,-1.45,0.67,0.04,5.1,1.58,"(np.float64(-0.012), np.float64(0.073), np.float64(-0.208))",-0.208,0.0,0.04,0.62,0.119,26.0,0,36.5,0,False,89.2,2.7,4.6,82.0,3.7,4.18,0.02,0.0,0,310.0,True,28.521585084285714,77.57161494285715,28.522682684,77.57398690133333,262.1,309.6,0.0,0.0,49,48,0,33.0,0.64,1.79,3.9,0.3,PASS,i:STAND_SLOW_ROT_START(3.6deg)
20260905_004834_SNU_AJB_AB_run5,5,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,126.996,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.029,0.005,126,97,1.0,1.01,3.79,3.8,49,False,1.0,29.9,32.2,49,0,True,26.63,-2.45,9.872,3.03,2.78,0.75,0.071,11.8,3.32,"(np.float64(0.022), np.float64(0.017), np.float64(-0.034))",-0.034,0.0,0.32,True,25.88,-0.21,9.874,0.97,0.66,0.75,0.073,9.5,1.11,"(np.float64(-0.007), np.float64(-0.016), np.float64(-0.036))",-0.036,0.0,0.1,2.36,0.033,20.7,0,14.3,0,False,96.9,2.8,3.1,91.0,3.39,3.9,0.03,0.0,0,314.2,True,28.522675774285712,77.5739903992857,28.52153739933334,77.57159859000002,265.9,313.8,0.0,0.0,48,48,0,32.8,1.15,-1.05,0.8,1.8,PASS,i:STAND_SLOW_ROT_START(3.0deg)
20260905_005057_SNU_AJB_BA_run6,6,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,120.35,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.053,0.004,119,90,1.0,1.01,3.79,3.8,49,False,1.0,29.8,33.0,49,0,True,26.83,1.62,9.87,1.24,-0.47,0.75,0.065,8.6,0.77,"(np.float64(0.005), np.float64(-0.018), np.float64(-0.007))",-0.007,0.0,0.09,True,26.38,1.35,9.871,0.88,-0.75,1.0,0.06,5.7,0.45,"(np.float64(0.003), np.float64(-0.03), np.float64(0.018))",0.018,0.0,0.04,0.52,0.026,25.2,0,38.8,0,False,90.2,2.6,3.6,84.0,3.69,4.12,0.02,0.0,0,317.1,True,28.52153839642858,77.57158951142858,28.522683314000002,77.57398695533334,266.8,316.7,0.0,0.0,47,47,0,32.4,1.35,3.02,1.9,0.3,PASS,
20260905_005315_SNU_AJB_AB_run7,7,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,126.312,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.053,0.006,125,96,1.0,1.01,3.79,3.8,51,False,1.0,29.9,32.2,51,0,True,27.12,0.02,9.871,1.05,0.89,0.75,0.05,5.9,0.23,"(np.float64(0.001), np.float64(0.002), np.float64(-0.06))",-0.06,0.0,0.07,True,26.21,1.23,9.868,0.22,0.16,0.92,0.059,5.9,0.65,"(np.float64(0.006), np.float64(0.025), np.float64(-0.07))",-0.07,0.0,0.1,1.51,0.023,26.2,0,54.9,0,False,96.2,4.2,3.0,89.0,3.45,4.08,0.03,0.0,0,316.5,True,28.522682897857145,77.57399650571429,28.521548118000002,77.57160136,266.0,316.1,0.0,0.0,47,46,0,32.4,1.64,1.42,0.6,0.7,PASS,
20260905_005537_SNU_AJB_BA_run8,8,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,61.264,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.048,0.004,60,31,1.0,1.01,3.79,3.8,50,False,1.0,30.4,33.3,50,0,True,27.5,3.44,9.865,4.85,4.67,0.58,0.105,9.1,5.67,"(np.float64(-0.005), np.float64(-0.008), np.float64(-0.013))",-0.013,0.0,0.2,True,25.61,1.98,9.864,2.14,-1.88,0.67,0.05,6.3,1.18,"(np.float64(0.019), np.float64(-0.074), np.float64(0.116))",0.116,0.0,0.04,2.38,0.129,111.7,37,13.5,2,False,31.1,2.1,14.0,15.0,3.17,3.73,0.06,0.0,0,53.5,True,28.52155356571429,77.57159593857143,28.521926293333326,77.57192508000001,52.4,53.4,0.0,0.0,46,46,0,31.8,2.02,4.84,0.2,218.9,FAIL,"i:STAND_SLOW_ROT_START(4.8deg); i:STAND_SLOW_ROT_END(2.1deg); IMPACT(2 events, 37 samples, max 112 m/s2 at 14s); ANCHOR_OFF_END(219m); SHORT_RIDE(31s, 54m vs median 85s, 314m)"
20260905_005724_SNU_AJB_BA_run9,9,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,125.402,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.044,0.004,124,95,1.0,1.01,3.79,3.8,48,False,1.0,30.0,33.1,48,0,True,25.91,-3.55,9.869,0.4,-0.23,0.5,0.115,13.9,1.72,"(np.float64(0.01), np.float64(-0.07), np.float64(0.162))",0.162,0.0,0.05,True,24.72,-1.84,9.872,1.07,-1.01,0.83,0.07,12.7,0.84,"(np.float64(-0.001), np.float64(-0.03), np.float64(0.03))",0.03,0.0,0.27,2.09,0.132,29.3,0,43.5,0,False,95.3,2.5,2.8,90.0,3.43,4.54,0.03,0.0,0,314.2,True,28.521549440714285,77.5716062,28.522687385999998,77.57398910933333,265.2,313.8,0.0,0.0,46,45,0,31.8,0.43,-2.15,0.9,0.5,PASS,
20260905_010232_SNU_AJB_AB_run10,10,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,101.397,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.055,0.006,100,71,1.0,1.01,3.79,3.8,54,False,1.0,29.4,32.1,54,0,True,25.27,0.8,9.867,1.55,-0.51,0.5,0.254,22.6,2.31,"(np.float64(0.019), np.float64(0.062), np.float64(-0.117))",-0.117,0.0,0.18,True,23.96,-3.11,9.873,2.59,2.58,0.58,0.073,8.5,1.83,"(np.float64(-0.01), np.float64(-0.015), np.float64(-0.096))",-0.096,0.0,0.14,4.12,0.077,30.2,1,39.8,1,False,71.2,1.8,2.5,67.0,4.59,5.45,0.03,0.0,0,312.3,True,28.522671688571428,77.5739944092857,28.521547524000006,77.57160736466668,264.8,311.9,0.0,0.0,44,44,0,31.5,-0.21,2.2,1.3,1.1,PASS,"i:STAND_SLOW_ROT_END(2.6deg); i:IMPACT_MINOR(1 events, 1 samples, max 30 m/s2 at 40s)"
