session,run,dir,rider,route,status,purpose,variation,notes,duration_s,missing_streams,acc_hz,acc_p99_dt_ms,acc_max_dt_ms,acc_gaps50,acc_dups,acc_nonmono,acc_dropped_app,gyr_hz,gyr_p99_dt_ms,gyr_max_dt_ms,gyr_gaps50,gyr_dups,gyr_nonmono,gyr_dropped_app,imu_start_lag_s,imu_end_lag_s,n_fix,n_fix_ride,fix_dt_median_s,fix_max_dt_ride_s,acc_h_mean,acc_h_max_ride,sats_min_ride,mock,has_speed_frac,cn0_min_ride,real_outage_epochs,stand_start_ok,stand_end_ok,pitch_end,roll_end,g_mag_end,stand_rot_end_deg,stand_rotz_end_deg,stand_quiet_end,stand_accrms_end,stand_gyromax_end_dps,gamerot_end_deg,bias_end_dps,biasz_end_dps,gnss_vmax_end,gnss_std_end_m,a_max,impact_samples,t_amax_ride_s,impact_events,clip,ride_s,moving_s,v_mean_moving,v_max,mid_stops,path_m,baro_ok,anchor_start_lat,anchor_start_lon,anchor_end_lat,anchor_end_lon,anchor_dist_app_m,polyline_app_m,anchor_end_recompute_m,batt_start,batt_end,thermal_max,batt_temp_max,cn0_mean_ride,used_min_ride,pitch_start,roll_start,g_mag_start,stand_rot_start_deg,stand_rotz_start_deg,stand_quiet_start,stand_accrms_start,stand_gyromax_start_dps,gamerot_start_deg,bias_start_dps,biasz_start_dps,gnss_vmax_start,gnss_std_start_m,mount_change_deg,bias_mismatch_dps,motion_start_lag_s,motion_end_lead_s,slow_frac,still_s_midride,anchor_start_recompute_m,d_pitch_median,d_roll_median,start_off_m,end_off_m,verdict,flags_str
20260905_030317_SNU_AJB_AB_run1,1,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,21.222,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.063,0.005,20,0,1.0,,3.79,,-1,False,1.0,,0,False,True,67.71,-1.26,9.741,19.19,-7.47,0.0,0.761,130.0,81.19,"(np.float64(1.469), np.float64(2.153), np.float64(6.508))",6.508,2.87,9.0,,0,,0,False,,0.0,,,0,,True,28.523430647999998,77.569960976,28.523232824,77.57004829133334,23.5,0.0,0.0,48,48,0,33.6,,,,,,,,,,,,,,,,,,,,,,,,,287.9,825.4,FAIL,"NO_EVENT_CALIB_END; NO_EVENT_RIDE_START; NO_STAND_START; STAND_MOTION_END(rot 19.2deg, quiet 0%, acc rms 0.76); NO_RIDE_WINDOW; NO_MOTION; ANCHOR_OFF_START(288m); ANCHOR_OFF_END(825m)"
20260905_030946_SNU_AJB_AB_run2,2,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,321.531,geomagrot,420.3,2.38,2.7,0,0,0,0,420.3,2.38,7.7,0,0,0,0,-0.045,0.005,320,291,1.0,1.01,3.79,3.8,51,False,1.0,30.2,0,True,True,26.07,0.3,9.866,2.8,-1.96,0.58,0.04,5.3,2.16,"(np.float64(-0.047), np.float64(-0.065), np.float64(-0.011))",-0.011,0.0,0.15,26.4,0,239.0,0,False,291.4,248.0,3.4,5.29,0,851.4,True,28.52591367928571,77.57070961857143,28.527106270666664,77.57702379066669,632.0,850.5,0.0,46,45,0,32.8,32.9,51.0,43.74,-3.4,9.566,37.88,22.74,0.0,1.938,237.2,38.39,"(np.float64(0.204), np.float64(0.712), np.float64(1.85))",1.85,0.0,0.13,18.04,1.861,37.9,5.5,0.02,0.0,0.0,21.17,-1.54,6.6,20.5,WARN,"STAND_MOTION_START(rot 37.9deg, quiet 0%, acc rms 1.94); i:STAND_SLOW_ROT_END(2.8deg); MOUNT_CHANGE(18.0deg start->end); BIAS_MISMATCH(1.86dps); PITCH_OUTLIER(+21.2deg vs median 22.6); ANCHOR_DRIFT_END(20m)"
20260905_031715_SNU_AJB_BA_run3,3,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,281.07,geomagrot,420.3,2.38,2.4,0,0,0,0,420.3,2.38,2.4,0,0,0,0,-0.047,0.004,281,250,1.0,1.01,3.79,3.8,52,False,1.0,30.4,0,True,True,23.42,4.65,9.863,1.3,-1.23,0.77,0.083,8.7,0.96,"(np.float64(0.008), np.float64(-0.066), np.float64(0.155))",0.155,0.0,0.01,33.8,7,49.4,2,False,250.9,212.0,3.99,5.31,0,853.8,True,28.527098442666667,77.57698809,28.525945712666665,77.57065069999999,633.3,852.9,0.0,44,42,0,32.3,32.6,52.0,22.86,4.3,9.866,1.09,-0.96,0.75,0.042,3.9,0.09,"(np.float64(0.047), np.float64(-0.017), np.float64(0.064))",0.064,0.0,0.16,0.66,0.091,16.9,22.0,0.0,0.0,0.0,0.29,6.16,24.0,0.2,WARN,"IMPACT(2 events, 7 samples, max 34 m/s2 at 49s); ROLL_OUTLIER(+6.2deg vs median -1.9); ANCHOR_DRIFT_START(24m)"
20260905_033817_SNU_AJB_AB_run4,4,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,299.427,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.035,0.005,298,270,1.0,1.01,3.79,3.8,51,False,1.0,30.4,0,True,True,23.09,2.92,9.866,1.78,1.65,0.75,0.034,9.3,1.52,"(np.float64(-0.009), np.float64(-0.042), np.float64(0.149))",0.149,0.0,0.11,47.4,8,217.0,1,False,269.3,242.0,3.61,5.63,0,879.2,True,28.525953450769233,77.57062451538462,28.527129978000005,77.57723330333332,659.9,878.3,0.0,40,38,0,30.3,32.8,51.0,22.29,-2.35,9.868,1.71,-1.63,0.92,0.037,3.7,0.74,"(np.float64(0.008), np.float64(-0.004), np.float64(0.037))",0.037,0.0,0.12,5.33,0.112,21.1,6.2,0.02,0.0,0.0,-0.28,-0.49,2.8,0.8,WARN,"MOUNT_CHANGE(5.3deg start->end); IMPACT(1 events, 8 samples, max 47 m/s2 at 217s)"
20260905_034426_SNU_AJB_BA_run5,5,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,310.105,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.056,0.005,309,280,1.0,1.01,3.79,3.8,53,False,1.0,30.1,0,True,True,23.01,-2.12,9.865,2.52,2.28,0.54,0.056,7.7,4.01,"(np.float64(-0.024), np.float64(-0.202), np.float64(0.468))",0.468,0.0,0.05,27.4,0,132.3,0,False,280.0,250.0,3.46,5.13,0,874.7,True,28.52712009857143,77.57719836357145,28.525930967333338,77.57065732666666,653.7,873.8,0.0,38,36,0,30.5,32.5,53.0,22.56,-1.75,9.868,3.83,-3.37,0.75,0.047,5.9,2.53,"(np.float64(0.016), np.float64(0.085), np.float64(-0.123))",-0.123,0.0,0.1,0.58,0.591,24.4,5.5,0.01,0.0,0.0,-0.01,0.11,3.3,1.6,WARN,i:STAND_SLOW_ROT_START(3.8deg); i:STAND_SLOW_ROT_END(2.5deg); BIAS_MISMATCH(0.59dps)
20260905_035107_SNU_AJB_AB_run6,6,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,242.689,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.051,0.005,242,213,1.0,1.01,3.79,3.8,52,False,1.0,30.1,0,True,True,23.19,-2.08,9.865,3.62,3.47,0.75,0.028,4.8,4.44,"(np.float64(-0.014), np.float64(-0.022), np.float64(0.085))",0.085,0.0,0.16,33.1,2,72.0,1,False,212.5,202.0,4.31,6.43,0,878.9,True,28.52595454428572,77.57064826,28.527137738000004,77.577256908,660.0,877.9,0.0,36,35,0,30.5,32.5,52.0,22.97,-0.94,9.87,0.45,0.45,0.83,0.034,5.6,0.79,"(np.float64(-0.015), np.float64(-0.043), np.float64(0.129))",0.129,0.0,0.17,1.16,0.044,6.3,4.2,0.02,0.0,0.0,0.4,0.92,1.2,2.9,PASS,"i:STAND_SLOW_ROT_END(3.6deg); i:IMPACT_MINOR(1 events, 2 samples, max 33 m/s2 at 72s)"
20260905_035514_SNU_AJB_BA_run7,7,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,19.391,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.044,0.004,18,0,1.0,,3.79,,-1,False,1.0,,0,False,True,23.39,-3.21,9.857,6.03,5.12,0.25,0.042,9.6,0.54,"(np.float64(-0.022), np.float64(0.197), np.float64(-0.359))",-0.359,0.0,0.01,,0,,0,False,,0.0,,,0,,True,28.527136316666667,77.57725663999999,28.527136203333335,77.577256474,0.0,0.0,0.0,35,35,0,29.8,,,,,,,,,,,,,,,,,,,,,,,,,2.8,659.5,FAIL,"NO_EVENT_CALIB_END; NO_EVENT_RIDE_START; NO_STAND_START; STAND_MOTION_END(rot 6.0deg, quiet 25%); NO_RIDE_WINDOW; NO_MOTION; ANCHOR_OFF_END(659m)"
20260905_035626_SNU_AJB_BA_run8,8,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,296.514,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.047,0.006,296,267,1.0,1.01,3.79,3.8,53,False,1.0,29.5,0,True,True,23.11,-0.42,9.867,0.93,0.49,0.83,0.037,7.9,0.78,"(np.float64(0.014), np.float64(-0.003), np.float64(0.043))",0.043,0.0,0.01,37.0,5,78.8,2,False,266.4,230.0,3.77,4.83,0,877.3,True,28.527126011428575,77.57723098642857,28.525943489333336,77.57065285733331,657.1,876.4,0.0,35,34,0,30.1,32.2,53.0,22.31,-0.84,9.868,0.9,0.89,0.92,0.033,6.2,0.71,"(np.float64(-0.002), np.float64(0.012), np.float64(0.021))",0.021,0.0,0.04,0.9,0.022,18.2,18.2,0.01,0.0,0.0,-0.26,1.02,0.3,0.2,WARN,"IMPACT(2 events, 5 samples, max 37 m/s2 at 79s)"
20260905_040136_SNU_AJB_AB_run9,9,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,282.825,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.043,0.005,281,253,1.0,1.01,3.79,3.8,57,False,1.0,30.3,0,True,True,23.12,0.03,9.868,0.74,0.73,0.75,0.044,8.7,1.79,"(np.float64(-0.002), np.float64(-0.011), np.float64(0.041))",0.041,0.0,0.11,30.2,1,208.2,1,False,252.7,223.0,3.9,6.04,0,877.1,True,28.525925678461537,77.57066732461539,28.52714046066667,77.57725601733335,658.8,876.2,0.0,34,33,0,30.1,32.5,57.0,22.68,-2.52,9.867,2.65,2.41,0.75,0.031,5.8,3.74,"(np.float64(-0.002), np.float64(-0.027), np.float64(0.094))",0.094,0.0,0.08,2.58,0.053,24.1,5.6,0.01,0.0,0.0,0.11,-0.66,2.6,3.0,PASS,"i:STAND_SLOW_ROT_START(2.7deg); i:IMPACT_MINOR(1 events, 1 samples, max 30 m/s2 at 208s)"
20260905_041153_SNU_AJB_BA_run10,10,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,265.666,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.053,0.005,264,235,1.0,1.01,3.79,3.8,56,False,1.0,30.0,0,True,True,21.47,0.75,9.868,1.52,-1.22,0.75,0.056,11.5,2.22,"(np.float64(-0.009), np.float64(0.053), np.float64(-0.033))",-0.033,0.0,0.1,46.1,16,98.9,2,False,235.5,214.0,4.08,6.22,0,879.6,True,28.527112885,77.57723081357142,28.525948535333335,77.57063590133335,658.3,878.7,0.0,32,30,0,29.8,32.3,56.0,22.58,-1.55,9.87,0.62,-0.44,1.0,0.033,5.7,0.8,"(np.float64(0.018), np.float64(0.027), np.float64(-0.022))",-0.022,0.0,0.03,2.56,0.027,18.5,3.0,0.01,0.0,0.0,0.01,0.31,1.1,1.6,WARN,"IMPACT(2 events, 16 samples, max 46 m/s2 at 99s)"
20260905_041811_SNU_AJB_AB_run11,11,AB,rider_1,SNU_AJB,COMPLETE,pilot,normal,,237.219,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.039,0.005,236,207,1.0,1.01,3.79,3.8,57,False,1.0,29.6,0,True,True,23.34,-0.02,9.866,0.92,0.88,0.83,0.029,6.9,1.5,"(np.float64(0.001), np.float64(-0.011), np.float64(0.096))",0.096,0.0,0.05,51.0,10,160.3,1,False,207.1,198.0,4.39,6.88,0,874.2,True,28.52593070214286,77.57066172357143,28.527146668,77.57725384933333,659.2,873.3,0.0,30,29,0,29.8,32.7,57.0,22.55,-1.97,9.87,2.38,-2.23,0.92,0.034,5.8,2.46,"(np.float64(-0.01), np.float64(-0.043), np.float64(0.141))",0.141,0.0,0.01,2.1,0.045,5.8,3.3,0.05,0.0,0.0,-0.02,-0.11,1.8,3.4,WARN,"i:STAND_SLOW_ROT_START(2.4deg); IMPACT(1 events, 10 samples, max 51 m/s2 at 160s)"
20260905_042526_SNU_AJB_BA_run12,12,BA,rider_1,SNU_AJB,COMPLETE,pilot,normal,,319.223,geomagrot,420.4,2.38,2.4,0,0,0,0,420.4,2.38,2.4,0,0,0,0,-0.05,0.004,318,289,1.0,1.01,3.79,3.8,56,False,1.0,30.0,0,True,True,22.19,-0.07,9.866,2.15,-1.68,0.58,0.034,6.6,1.39,"(np.float64(0.008), np.float64(-0.002), np.float64(0.069))",0.069,0.0,0.02,31.9,5,137.1,1,False,289.1,277.0,3.15,4.22,0,879.5,True,28.527114809999997,77.57723321928572,28.525947354000003,77.57064032266666,658.2,878.6,0.0,29,28,0,29.7,32.8,56.0,22.25,-2.93,9.869,0.29,0.27,1.0,0.04,9.6,0.89,"(np.float64(0.011), np.float64(-0.011), np.float64(0.044))",0.044,0.0,0.03,2.86,0.025,7.1,5.0,0.03,0.0,0.0,-0.32,-1.07,0.9,1.2,WARN,"i:STAND_SLOW_ROT_END(2.1deg); IMPACT(1 events, 5 samples, max 32 m/s2 at 137s)"
