t_s,x_m,y_m,v,k
13.088,-0.013,0.019,0.000,1.000
13.288,-0.013,0.019,0.000,1.000
13.388,-0.013,0.019,0.000,1.000
13.688,-0.013,0.019,0.000,1.000
13.788,-0.013,0.019,0.000,1.000
14.288,-0.044,0.013,-0.000,1.000
14.488,-0.044,0.013,0.000,1.000
17.588,-0.084,-0.034,0.121,1.000
17.688,-0.070,-0.034,0.151,1.000
17.788,-0.057,-0.034,0.131,1.000
17.888,-0.041,-0.034,0.155,1.000
17.988,-0.026,-0.034,0.151,1.000
18.088,-0.008,-0.035,0.185,1.000
18.188,-0.040,-0.214,0.291,1.000
18.288,-0.013,-0.215,0.268,1.000
18.388,0.010,-0.215,0.229,1.000
18.488,0.036,-0.216,0.259,1.000
18.588,0.062,-0.215,0.262,1.000
18.688,0.099,-0.215,0.357,1.000
18.788,0.139,-0.214,0.405,1.000
18.888,0.188,-0.212,0.485,1.000
18.988,0.240,-0.210,0.514,1.000
19.088,0.298,-0.208,0.578,1.000
19.188,0.362,-0.205,0.628,1.000
19.288,0.218,-0.600,0.811,1.000
19.388,0.192,-0.674,0.770,1.000
19.488,0.166,-0.749,0.805,1.000
19.588,0.137,-0.826,0.812,1.000
19.688,0.107,-0.905,0.846,1.000
19.788,0.076,-0.986,0.877,1.000
19.888,0.043,-1.072,0.915,1.000
19.988,0.007,-1.166,0.993,1.000
20.088,-0.028,-1.265,1.046,1.000
20.188,-0.066,-1.373,1.123,1.000
20.288,-0.298,-1.924,1.311,1.000
20.388,-0.338,-2.046,1.286,1.000
20.488,-0.377,-2.162,1.231,1.000
20.588,-0.417,-2.278,1.226,1.000
20.688,-0.458,-2.395,1.240,1.000
20.788,-0.503,-2.519,1.302,1.000
20.888,-0.551,-2.650,1.377,1.000
20.988,-0.604,-2.792,1.489,1.000
21.088,-0.659,-2.942,1.578,1.000
21.188,-0.916,-3.556,1.741,1.000
21.288,-0.978,-3.713,1.690,1.000
21.388,-1.044,-3.870,1.706,1.000
21.488,-1.112,-4.021,1.661,1.000
21.588,-1.186,-4.180,1.740,1.000
21.688,-1.264,-4.346,1.818,1.000
21.788,-1.347,-4.523,1.929,1.000
21.888,-1.434,-4.709,2.033,1.000
21.988,-1.524,-4.900,2.094,1.000
22.088,-1.614,-5.095,2.139,1.000
22.188,-1.702,-5.290,2.140,1.000
22.288,-1.985,-5.927,2.178,1.000
22.388,-2.068,-6.118,2.094,1.000
22.488,-2.150,-6.314,2.119,1.000
22.588,-2.231,-6.512,2.136,1.000
22.688,-2.313,-6.715,2.188,1.000
22.788,-2.402,-6.929,2.293,1.000
22.888,-2.493,-7.144,2.326,1.000
22.988,-2.587,-7.363,2.381,1.000
23.088,-2.681,-7.580,2.368,1.000
23.188,-2.778,-7.802,2.415,1.000
23.288,-3.077,-8.447,2.537,1.000
23.388,-3.186,-8.673,2.504,1.000
23.488,-3.296,-8.896,2.487,1.000
23.588,-3.410,-9.125,2.557,1.000
23.688,-3.523,-9.355,2.563,1.000
23.788,-3.641,-9.585,2.575,1.000
23.888,-3.762,-9.817,2.617,1.000
23.988,-3.887,-10.053,2.661,1.000
24.088,-4.011,-10.289,2.673,1.000
24.188,-4.139,-10.528,2.703,1.000
24.288,-4.451,-11.168,2.778,1.000
