t_s,x_m,y_m,v,k
13.791,0.001,-0.003,0.000,1.000
13.991,0.001,-0.003,0.000,1.000
14.091,0.001,-0.003,0.000,1.000
17.591,-0.004,-0.181,1.586,1.000
17.691,0.146,-0.166,1.472,1.000
17.791,0.296,-0.154,1.507,1.000
17.891,0.178,-0.802,1.529,1.000
17.991,0.146,-0.966,1.705,1.000
18.091,0.105,-1.137,1.754,1.000
18.191,0.063,-1.317,1.829,1.000
18.291,0.022,-1.504,1.880,1.000
18.391,-0.019,-1.709,2.009,1.000
18.491,-0.061,-1.927,2.123,1.000
18.591,-0.105,-2.150,2.203,1.000
18.691,-0.153,-2.380,2.277,1.000
18.791,-0.203,-2.624,2.380,1.000
18.891,-0.457,-3.508,2.678,1.000
18.991,-0.520,-3.761,2.638,1.000
19.091,-0.586,-4.017,2.642,1.000
19.191,-0.654,-4.270,2.632,1.000
19.291,-0.730,-4.530,2.670,1.000
19.391,-0.810,-4.793,2.705,1.000
19.491,-0.893,-5.065,2.776,1.000
19.591,-0.973,-5.346,2.850,1.000
19.691,-1.047,-5.628,2.885,1.000
19.791,-1.122,-5.921,2.958,1.000
19.891,-1.402,-6.804,3.208,1.000
19.991,-1.484,-7.106,3.153,1.000
20.091,-1.569,-7.408,3.139,1.000
20.191,-1.659,-7.704,3.110,1.000
20.291,-1.759,-8.013,3.210,1.000
20.391,-1.864,-8.319,3.224,1.000
20.491,-1.974,-8.624,3.242,1.000
20.591,-2.085,-8.932,3.260,1.000
20.691,-2.202,-9.250,3.366,1.000
20.791,-2.327,-9.565,3.384,1.000
20.891,-2.656,-10.411,3.475,1.000
20.991,-2.789,-10.733,3.482,1.000
21.091,-2.920,-11.062,3.546,1.000
21.191,-3.047,-11.397,3.576,1.000
21.291,-3.170,-11.733,3.583,1.000
21.391,-3.295,-12.077,3.649,1.000
21.491,-3.424,-12.425,3.709,1.000
21.591,-3.560,-12.772,3.727,1.000
21.691,-3.703,-13.117,3.734,1.000
21.791,-3.856,-13.462,3.767,1.000
21.891,-4.224,-14.296,3.930,1.000
21.991,-4.402,-14.646,3.927,1.001
22.091,-4.584,-14.995,3.940,0.999
22.191,-4.769,-15.343,3.940,0.999
22.291,-4.956,-15.691,3.949,0.999
22.391,-5.144,-16.041,3.986,0.998
22.491,-5.338,-16.392,4.009,0.998
22.591,-5.538,-16.744,4.053,0.997
22.691,-5.745,-17.099,4.108,0.997
22.791,-5.958,-17.449,4.105,0.997
22.891,-6.438,-18.303,4.299,1.022
22.991,-6.684,-18.656,4.340,1.021
23.091,-6.939,-19.008,4.372,1.021
23.191,-7.198,-19.359,4.350,1.021
23.291,-7.457,-19.712,4.386,1.021
23.391,-7.716,-20.067,4.396,1.021
23.491,-7.981,-20.422,4.427,1.020
23.591,-8.248,-20.778,4.449,1.020
23.691,-8.522,-21.138,4.525,1.020
23.791,-8.799,-21.498,4.539,1.020
23.891,-9.368,-22.330,4.695,1.037
23.991,-9.664,-22.696,4.669,1.038
24.091,-9.964,-23.055,4.692,1.038
24.191,-10.269,-23.412,4.697,1.038
24.291,-10.580,-23.773,4.778,1.037
24.391,-10.897,-24.133,4.798,1.037
24.491,-11.224,-24.493,4.863,1.037
24.591,-11.560,-24.848,4.887,1.037
24.691,-11.910,-25.205,4.984,1.037
24.791,-12.262,-25.553,4.950,1.037
24.891,-12.847,-26.206,4.959,1.039
