t_s,x_m,y_m,v,k
13.599,-0.270,-0.450,0.000,1.000
13.899,-0.270,-0.450,0.000,1.000
14.299,-0.270,-0.450,0.000,1.000
14.399,-0.270,-0.450,0.000,1.000
17.599,0.111,0.585,1.459,1.000
17.699,0.111,0.585,1.465,1.000
17.799,0.111,0.585,1.449,1.000
17.899,0.111,0.585,1.466,1.000
17.999,0.111,0.585,1.528,1.000
18.099,0.111,0.585,1.627,1.000
18.199,0.111,0.585,1.702,1.000
18.299,0.111,0.585,1.720,1.000
18.399,0.111,0.585,1.798,1.000
18.499,0.008,1.046,1.820,1.000
18.599,0.008,1.046,1.883,1.000
18.699,0.008,1.046,1.942,1.000
18.799,0.008,1.046,2.043,1.000
18.899,0.008,1.046,2.106,1.000
18.999,0.008,1.046,2.166,1.000
19.099,0.008,1.046,2.137,1.000
19.199,0.008,1.046,2.151,1.000
19.299,0.008,1.046,2.151,1.000
19.399,0.008,1.046,2.164,1.000
19.499,-0.520,1.431,2.017,1.000
19.599,-0.398,1.592,2.030,1.000
19.699,-0.278,1.753,2.007,1.000
19.799,-0.154,1.918,2.046,1.000
19.899,-0.034,2.078,2.017,1.000
19.999,0.094,2.248,2.084,1.000
20.099,0.222,2.418,2.110,1.000
20.199,0.359,2.600,2.205,1.000
20.299,0.487,2.771,2.167,1.000
20.399,0.622,2.952,2.215,1.000
20.499,0.772,3.759,2.390,1.000
20.599,0.916,3.952,2.401,1.000
20.699,1.060,4.143,2.394,1.000
20.799,1.202,4.332,2.378,1.000
20.899,1.345,4.523,2.384,1.000
20.999,1.489,4.715,2.390,1.000
21.099,1.623,4.893,2.291,1.000
21.199,1.760,5.076,2.289,1.000
21.299,1.901,5.263,2.319,1.000
21.399,2.044,5.454,2.365,1.000
21.499,2.732,5.817,2.450,1.000
21.599,2.879,6.012,2.444,1.000
21.699,3.032,6.216,2.535,1.000
21.799,3.186,6.422,2.567,1.000
21.899,3.344,6.631,2.617,1.000
21.999,3.276,6.548,2.639,1.000
22.099,3.462,6.748,2.722,1.000
22.199,3.654,6.953,2.796,1.000
22.299,3.843,7.156,2.778,1.000
22.399,4.029,7.355,2.730,1.000
22.499,4.851,7.575,2.879,1.000
22.599,5.049,7.787,2.889,1.000
22.699,5.250,8.002,2.950,1.000
22.799,5.456,8.223,3.011,1.000
22.899,5.665,8.447,3.066,1.000
22.999,5.882,8.679,3.168,1.000
23.099,6.102,8.914,3.215,1.000
23.199,6.323,9.152,3.246,1.000
