t_s,x_m,y_m,v,k
13.496,0.186,-0.478,0.000,1.000
14.196,0.186,-0.478,0.000,1.000
14.496,0.186,-0.478,0.000,1.000
17.596,-0.038,0.477,0.710,1.000
17.696,0.044,0.486,0.864,1.000
17.796,0.145,0.495,1.008,1.000
17.896,0.256,0.500,1.096,1.000
17.996,0.376,0.502,1.171,1.000
18.096,0.507,0.503,1.261,1.000
18.196,0.652,0.503,1.376,1.000
18.296,0.807,0.503,1.471,1.000
18.396,1.046,1.217,1.555,1.000
18.496,1.118,1.370,1.648,1.000
18.596,1.195,1.539,1.773,1.000
18.696,1.274,1.720,1.868,1.000
18.796,1.361,1.914,1.985,1.000
18.896,1.454,2.109,2.061,1.000
18.996,1.566,2.322,2.197,1.000
19.096,1.684,2.531,2.277,1.000
19.196,1.810,2.748,2.363,1.000
19.296,1.938,2.967,2.428,1.000
19.396,2.314,3.912,2.838,1.000
19.496,2.463,4.147,2.813,1.000
19.596,2.619,4.381,2.813,1.000
19.696,2.781,4.619,2.844,1.000
19.796,2.944,4.866,2.892,1.000
19.896,3.102,5.114,2.915,1.000
19.996,3.260,5.366,2.938,1.000
20.096,3.413,5.615,2.935,1.000
20.196,3.565,5.866,2.931,1.000
20.296,3.718,6.125,2.967,1.000
20.396,4.110,6.931,3.105,1.000
20.496,4.255,7.206,3.104,1.000
20.596,4.396,7.484,3.113,1.000
20.696,4.540,7.758,3.105,1.000
20.796,4.694,8.031,3.119,1.000
20.896,4.858,8.300,3.137,1.000
20.996,5.036,8.569,3.186,1.000
21.096,5.222,8.838,3.230,1.000
21.196,5.413,9.104,3.260,1.000
21.296,5.611,9.374,3.307,1.000
21.396,6.106,10.105,3.514,1.000
21.496,6.321,10.379,3.495,1.000
21.596,6.549,10.653,3.536,1.000
21.696,6.786,10.917,3.540,1.000
21.796,7.034,11.182,3.595,1.000
21.896,7.284,11.444,3.608,1.000
21.996,7.543,11.716,3.693,1.000
22.096,7.801,11.990,3.730,1.000
22.196,8.062,12.266,3.771,1.000
22.296,8.319,12.539,3.760,1.000
22.396,8.884,13.191,3.938,1.000
22.496,9.153,13.482,3.954,1.000
22.596,9.421,13.783,4.003,1.000
22.696,9.679,14.083,3.975,1.000
22.796,9.940,14.391,4.014,1.000
22.896,10.203,14.700,4.041,1.000
22.996,10.473,15.013,4.102,1.000
23.096,10.746,15.329,4.146,1.000
23.196,11.023,15.655,4.229,1.000
23.296,11.294,15.978,4.222,1.000
23.396,11.843,16.573,4.277,1.000
23.496,12.111,16.894,4.202,1.000
23.596,12.381,17.223,4.241,1.000
23.696,12.646,17.550,4.221,1.000
23.796,12.913,17.879,4.232,1.000
23.896,13.179,18.208,4.234,1.000
23.996,13.442,18.542,4.247,1.000
24.096,13.696,18.875,4.202,1.000
24.196,13.951,19.206,4.181,1.000
24.296,14.206,19.528,4.119,1.000
24.396,14.750,20.005,4.144,1.000
24.496,15.053,20.289,4.155,1.000
24.596,15.362,20.571,4.181,1.000
24.696,15.667,20.851,4.146,1.000
24.796,15.969,21.143,4.192,1.000
24.896,16.262,21.443,4.186,1.000
24.996,16.547,21.746,4.169,1.000
25.096,16.829,22.045,4.127,1.000
25.196,17.121,22.339,4.139,1.000
25.296,17.426,22.629,4.189,1.000
25.396,17.962,23.063,4.302,1.000
25.496,18.282,23.347,4.279,1.000
25.596,18.595,23.631,4.238,1.000
25.696,18.903,23.918,4.214,1.000
25.796,19.214,24.215,4.287,1.000
25.896,19.521,24.518,4.302,1.000
25.996,19.818,24.823,4.266,1.000
26.096,20.112,25.130,4.256,1.000
26.196,20.414,25.446,4.346,1.000
26.296,20.721,25.761,4.390,1.000
26.396,21.210,26.193,4.345,1.000
26.496,21.516,26.499,4.333,1.000
26.596,21.823,26.811,4.366,1.000
26.696,22.128,27.127,4.390,1.000
