t_s,x_m,y_m,v,k
13.194,-0.000,-0.006,0.000,1.000
13.694,0.002,-0.007,0.000,1.000
13.994,0.002,-0.007,0.000,1.000
14.394,0.008,-0.003,0.000,1.000
17.594,0.197,-0.220,2.042,1.000
17.694,0.197,-0.220,1.974,1.000
17.794,0.197,-0.220,1.947,1.000
17.894,0.197,-0.220,1.971,1.000
17.994,0.197,-0.220,1.996,1.000
18.094,0.197,-0.220,2.036,1.000
18.194,0.197,-0.220,2.057,1.000
18.294,0.260,-0.612,2.006,1.000
18.394,0.260,-0.612,2.033,1.000
18.494,0.260,-0.612,2.079,1.000
18.594,0.260,-0.612,2.128,1.000
18.694,0.260,-0.612,2.203,1.000
18.794,0.260,-0.612,2.241,1.000
18.894,0.260,-0.612,2.273,1.000
18.994,0.260,-0.612,2.286,1.000
19.094,0.260,-0.612,2.322,1.000
19.194,0.260,-0.612,2.312,1.000
19.294,0.131,-1.049,2.091,1.000
19.394,0.052,-1.247,2.150,1.000
19.494,-0.032,-1.455,2.220,1.000
19.594,-0.115,-1.662,2.224,1.000
19.694,-0.198,-1.870,2.236,1.000
19.794,-0.280,-2.074,2.219,1.000
19.894,-0.363,-2.281,2.222,1.000
19.994,-0.443,-2.478,2.188,1.000
20.094,-0.521,-2.674,2.159,1.000
20.194,-0.599,-2.867,2.133,1.000
20.294,-0.588,-3.469,1.931,1.000
20.394,-0.660,-3.647,1.926,1.000
20.494,-0.731,-3.825,1.924,1.000
20.594,-0.803,-4.003,1.924,1.000
20.694,-0.876,-4.185,1.934,1.000
20.794,-0.949,-4.368,1.949,1.000
20.894,-1.025,-4.555,1.971,1.000
20.994,-1.098,-4.738,1.973,1.000
21.094,-1.173,-4.925,1.985,1.000
21.194,-1.248,-5.112,1.994,1.000
21.294,-1.493,-5.504,1.907,1.000
21.394,-1.568,-5.691,1.947,1.000
21.494,-1.646,-5.886,2.007,1.000
21.594,-1.722,-6.074,2.013,1.000
21.694,-1.799,-6.267,2.038,1.000
