t_s,x_m,y_m,v,k
13.194,-0.000,-0.006,0.000,1.000
13.694,0.002,-0.007,0.000,1.000
13.994,0.002,-0.007,0.000,1.000
14.394,0.008,-0.003,0.000,1.000
17.594,0.197,-0.220,2.042,1.000
17.694,0.197,-0.220,1.974,1.000
17.794,0.197,-0.220,1.947,1.000
17.894,0.197,-0.220,1.971,1.000
17.994,0.197,-0.220,1.996,1.000
18.094,0.197,-0.220,2.036,1.000
18.194,0.197,-0.220,2.057,1.000
18.294,0.080,-1.060,2.006,1.000
18.394,0.080,-1.060,2.033,1.000
18.494,0.080,-1.060,2.079,1.000
18.594,0.080,-1.060,2.128,1.000
18.694,0.080,-1.060,2.203,1.000
18.794,0.080,-1.060,2.241,1.000
18.894,0.080,-1.060,2.273,1.000
18.994,0.080,-1.060,2.286,1.000
19.094,0.080,-1.060,2.322,1.000
19.194,0.080,-1.060,2.312,1.000
19.294,-0.021,-1.428,2.091,1.000
19.394,-0.100,-1.626,2.150,1.000
19.494,-0.184,-1.834,2.220,1.000
19.594,-0.267,-2.040,2.224,1.000
19.694,-0.351,-2.249,2.236,1.000
19.794,-0.432,-2.453,2.219,1.000
19.894,-0.515,-2.660,2.222,1.000
19.994,-0.595,-2.857,2.188,1.000
20.094,-0.673,-3.052,2.159,1.000
20.194,-0.751,-3.245,2.133,1.000
20.294,-0.719,-3.795,1.931,1.000
20.394,-0.791,-3.973,1.926,1.000
20.494,-0.862,-4.151,1.923,1.000
20.594,-0.934,-4.329,1.924,1.000
20.694,-1.007,-4.511,1.934,1.000
20.794,-1.080,-4.694,1.949,1.000
20.894,-1.156,-4.881,1.971,1.000
20.994,-1.229,-5.065,1.973,1.000
21.094,-1.304,-5.251,1.985,1.000
21.194,-1.379,-5.438,1.994,1.000
21.294,-1.608,-5.790,1.907,1.000
21.394,-1.683,-5.977,1.947,1.000
21.494,-1.762,-6.173,2.006,1.000
21.594,-1.837,-6.361,2.013,1.000
21.694,-1.915,-6.554,2.038,1.000
