t_s,x_m,y_m,v,k
13.297,0.105,0.357,0.000,1.000
13.597,0.105,0.357,0.000,1.000
13.797,0.087,0.367,0.000,1.000
14.197,0.087,0.367,0.000,1.000
17.597,-0.116,0.175,2.197,1.000
17.697,-0.124,0.673,2.173,1.000
17.797,-0.124,0.673,2.140,1.000
17.897,-0.124,0.673,2.220,1.000
17.997,-0.124,0.673,2.263,1.000
18.097,-0.124,0.673,2.338,1.000
18.197,-0.124,0.673,2.390,1.000
18.297,-0.124,0.673,2.492,1.000
18.397,-0.124,0.673,2.530,1.000
18.497,-0.124,0.673,2.608,1.000
18.597,-0.124,0.673,2.663,1.000
18.697,-0.066,0.944,2.790,1.000
18.797,0.103,1.169,2.820,1.000
18.897,0.275,1.397,2.851,1.000
18.997,0.447,1.627,2.867,1.000
19.097,0.631,1.872,2.968,1.000
19.197,0.820,2.123,3.048,1.000
19.297,1.013,2.381,3.123,1.000
19.397,1.213,2.647,3.204,1.000
19.497,1.422,2.925,3.313,1.000
19.597,1.632,3.205,3.384,1.000
19.697,2.305,4.157,3.453,1.000
19.797,2.511,4.432,3.444,1.000
19.897,2.731,4.724,3.540,1.000
19.997,2.947,5.012,3.565,1.000
20.097,3.169,5.307,3.619,1.000
20.197,3.393,5.605,3.664,1.000
20.297,3.622,5.911,3.730,1.000
20.397,3.582,5.886,3.814,1.000
20.497,3.851,6.174,3.871,1.000
20.597,4.124,6.466,3.924,1.000
20.697,4.563,7.557,4.062,1.000
20.797,4.843,7.857,4.083,1.000
20.897,5.122,8.156,4.085,1.000
20.997,5.404,8.458,4.106,1.000
21.097,5.686,8.760,4.121,1.000
21.197,5.973,9.068,4.157,1.000
21.297,6.272,9.387,4.248,1.000
21.397,6.567,9.703,4.281,1.000
21.497,6.861,10.018,4.291,1.000
21.597,7.157,10.335,4.312,1.000
21.697,7.574,11.363,4.416,1.000
21.797,7.880,11.691,4.450,1.000
21.897,8.189,12.023,4.494,1.000
21.997,8.501,12.357,4.529,1.000
22.097,8.824,12.702,4.621,1.000
22.197,9.152,13.053,4.700,1.000
22.297,9.483,13.409,4.769,1.000
22.397,9.816,13.765,4.813,1.000
22.497,10.153,14.126,4.864,1.000
22.597,10.491,14.488,4.896,1.000
22.697,11.187,15.213,5.081,1.000
22.797,11.536,15.572,5.048,1.000
22.897,11.896,15.941,5.097,1.000
22.997,12.251,16.306,5.092,1.000
23.097,12.612,16.676,5.125,1.000
23.197,12.972,17.046,5.139,1.000
23.297,13.339,17.423,5.183,1.000
23.397,13.697,17.791,5.168,1.000
23.497,14.059,18.162,5.172,1.000
23.597,14.418,18.532,5.166,1.000
23.697,15.091,19.278,5.326,1.000
23.797,15.467,19.663,5.348,1.000
23.897,15.845,20.052,5.376,1.000
23.997,16.221,20.437,5.378,1.000
24.097,16.839,21.157,5.427,1.000
24.197,17.172,21.596,5.456,1.000
24.297,17.501,22.030,5.451,1.000
24.397,17.832,22.466,5.458,1.000
24.497,18.166,22.907,5.482,1.000
24.597,18.509,23.358,5.533,1.000
24.697,19.608,23.780,5.688,1.000
24.797,19.953,24.234,5.692,1.000
24.897,20.303,24.695,5.724,1.000
24.997,20.655,25.159,5.754,1.000
25.097,21.004,25.619,5.761,1.000
25.197,21.356,26.084,5.782,1.000
25.297,21.708,26.547,5.792,1.000
25.397,22.063,27.016,5.816,1.000
25.497,22.594,27.736,5.829,1.000
25.597,22.914,28.238,5.863,1.000
25.697,23.974,28.722,6.003,1.000
25.797,24.294,29.224,5.987,1.000
25.897,24.617,29.728,5.986,1.000
25.997,24.940,30.234,5.994,1.000
26.097,25.270,30.750,6.030,1.000
26.197,25.594,31.258,6.028,1.000
26.297,25.925,31.775,6.059,1.000
26.397,26.261,32.300,6.105,1.000
26.497,26.600,32.831,6.154,1.000
26.597,26.923,33.336,6.115,1.000
26.697,27.490,34.145,6.310,1.000
26.797,27.996,35.075,6.301,1.000
26.897,28.290,35.650,6.347,1.000
26.997,28.577,36.210,6.331,1.000
27.097,28.865,36.771,6.324,1.000
27.197,29.157,37.342,6.348,1.000
27.297,29.451,37.914,6.370,1.000
27.397,29.730,38.459,6.310,1.000
27.497,30.018,39.020,6.309,1.000
27.597,30.305,39.581,6.306,1.000
27.697,30.986,40.437,6.599,1.000
27.797,31.279,41.008,6.553,1.000
27.897,31.572,41.579,6.521,1.000
27.997,31.861,42.144,6.479,1.000
28.097,32.153,42.714,6.461,1.000
28.197,32.433,43.261,6.390,1.000
28.297,32.722,43.825,6.378,1.000
28.397,33.009,44.385,6.359,1.000
28.497,33.297,44.946,6.349,1.000
28.597,33.577,45.493,6.309,1.000
28.697,33.907,46.474,6.545,1.000
28.797,34.403,47.523,6.510,1.000
28.897,34.624,48.111,6.462,1.000
28.997,34.841,48.688,6.400,1.000
29.097,35.055,49.258,6.335,1.000
29.197,35.266,49.820,6.270,1.000
29.297,35.466,50.352,6.157,1.000
29.397,35.663,50.878,6.057,1.000
29.497,35.861,51.404,5.977,1.000
29.597,36.060,51.934,5.921,1.000
29.697,36.313,52.965,6.245,1.000
29.797,36.521,53.519,6.180,1.000
29.897,36.725,54.062,6.105,1.000
29.997,36.928,54.602,6.037,1.000
30.097,37.123,55.121,5.942,1.000
30.197,37.320,55.645,5.876,1.000
30.297,37.516,56.168,5.822,1.000
30.397,37.715,56.697,5.791,1.000
30.497,37.908,57.212,5.740,1.000
30.597,38.106,57.739,5.720,1.000
30.697,38.791,58.831,6.321,1.000
30.797,39.003,59.395,6.264,1.000
30.897,39.215,59.960,6.220,1.000
30.997,39.427,60.524,6.182,1.000
31.097,39.638,61.085,6.145,1.000
31.197,39.848,61.645,6.113,1.000
31.297,39.393,60.978,6.082,1.000
31.397,39.762,61.458,6.078,1.000
31.497,40.133,61.940,6.077,1.000
31.597,40.511,62.432,6.099,1.000
31.697,40.504,64.158,6.617,1.000
31.797,40.904,64.677,6.605,1.000
31.897,41.305,65.199,6.602,1.000
31.997,41.707,65.721,6.598,1.000
32.097,42.108,66.243,6.594,1.000
32.197,42.515,66.773,6.612,1.000
32.297,42.920,67.299,6.615,1.000
32.397,43.328,67.830,6.630,1.000
32.497,43.735,68.360,6.640,1.000
32.597,44.151,68.900,6.669,1.000
32.697,44.649,70.146,6.878,1.000
32.797,45.068,70.690,6.875,1.000
32.897,45.480,71.225,6.861,1.000
32.997,45.897,71.765,6.854,1.000
33.097,46.314,72.306,6.851,1.000
33.197,46.731,72.847,6.847,1.000
33.297,46.600,72.783,6.831,1.000
33.397,47.131,73.201,6.817,1.000
33.497,47.665,73.623,6.816,1.000
33.597,48.191,74.037,6.795,1.000
33.697,48.565,75.477,6.863,1.000
33.797,49.099,75.898,6.851,1.000
33.897,49.638,76.323,6.853,1.000
33.997,50.171,76.743,6.839,1.000
34.097,50.705,77.164,6.831,1.000
34.197,51.234,77.581,6.815,1.000
34.297,51.768,78.002,6.812,1.000
34.397,52.298,78.420,6.800,1.000
34.497,52.823,78.834,6.780,1.000
34.597,53.335,79.238,6.737,1.000
34.697,54.252,79.824,6.721,1.000
34.797,54.772,80.234,6.703,1.000
34.897,55.293,80.644,6.687,1.000
34.997,55.806,81.049,6.658,1.000
35.097,56.320,81.454,6.635,1.000
35.197,56.825,81.852,6.596,1.000
35.297,57.328,82.249,6.559,1.000
35.397,57.818,82.636,6.501,1.000
35.497,58.316,83.029,6.472,1.000
35.597,58.815,83.422,6.450,1.000
35.697,59.257,83.909,6.431,1.000
35.797,59.807,84.212,6.401,1.000
35.897,60.356,84.515,6.372,1.000
35.997,60.905,84.817,6.350,1.000
36.097,61.447,85.117,6.318,1.000
36.197,61.973,85.407,6.255,1.000
36.297,62.490,85.692,6.184,1.000
36.397,63.024,85.987,6.167,1.000
36.497,63.539,86.271,6.111,1.000
36.597,64.034,86.544,6.022,1.000
36.697,64.526,87.697,6.045,1.000
36.797,65.054,87.988,6.041,1.000
