t_s,x_m,y_m,v,k
13.791,0.001,-0.003,0.000,1.000
13.991,0.001,-0.003,0.000,1.000
14.091,0.001,-0.003,0.000,1.000
17.591,-0.004,-0.181,2.352,1.000
17.691,0.225,-0.159,2.280,1.000
17.791,0.450,-0.141,2.265,1.000
17.891,0.315,-0.861,2.271,1.000
17.991,0.263,-1.080,2.245,1.000
18.091,0.211,-1.300,2.257,1.000
18.191,0.158,-1.523,2.279,1.000
18.291,0.107,-1.758,2.343,1.000
18.391,0.059,-1.993,2.368,1.000
18.491,0.011,-2.249,2.475,1.000
18.591,-0.039,-2.503,2.524,1.000
18.691,-0.094,-2.768,2.598,1.000
18.791,-0.149,-3.035,2.652,1.000
18.891,-0.420,-3.898,2.851,1.000
18.991,-0.490,-4.180,2.877,1.000
19.091,-0.564,-4.471,2.936,1.000
19.191,-0.642,-4.763,2.978,1.000
19.291,-0.727,-5.053,3.002,1.000
19.391,-0.815,-5.343,3.014,1.000
19.491,-0.906,-5.640,3.056,1.000
19.591,-0.991,-5.941,3.092,1.000
19.691,-1.077,-6.264,3.209,1.000
19.791,-1.161,-6.592,3.294,1.000
19.891,-1.447,-7.428,3.470,1.000
19.991,-1.539,-7.768,3.506,1.000
20.091,-1.634,-8.105,3.505,1.000
20.191,-1.734,-8.435,3.461,1.000
20.291,-1.846,-8.782,3.589,1.000
20.391,-1.966,-9.128,3.642,1.000
20.491,-2.090,-9.476,3.683,1.000
20.591,-2.217,-9.828,3.728,1.000
20.691,-2.348,-10.183,3.778,1.000
20.791,-2.487,-10.533,3.767,1.000
20.891,-2.817,-11.317,3.785,1.000
20.991,-2.962,-11.667,3.784,1.000
21.091,-3.102,-12.020,3.800,1.000
21.191,-3.239,-12.380,3.847,1.000
21.291,-3.371,-12.741,3.846,1.000
21.391,-3.503,-13.106,3.877,1.000
21.491,-3.640,-13.474,3.927,1.000
21.591,-3.785,-13.845,3.975,1.000
21.691,-3.939,-14.215,4.001,1.000
21.791,-4.100,-14.581,4.002,1.000
21.891,-4.453,-15.320,4.054,1.000
21.991,-4.637,-15.683,4.072,1.000
22.091,-4.826,-16.045,4.084,1.000
22.191,-5.019,-16.407,4.104,1.000
22.291,-5.214,-16.771,4.127,1.000
22.391,-5.411,-17.137,4.157,1.000
22.491,-5.614,-17.504,4.193,1.000
22.591,-5.823,-17.873,4.237,1.000
22.691,-6.037,-18.239,4.238,1.000
22.791,-6.258,-18.604,4.270,1.000
22.891,-6.685,-19.303,4.401,1.000
22.991,-6.938,-19.666,4.426,1.000
23.091,-7.200,-20.027,4.457,1.000
23.191,-7.468,-20.390,4.512,1.000
23.291,-7.738,-20.759,4.574,1.000
23.391,-8.010,-21.131,4.606,1.000
23.491,-8.285,-21.501,4.604,1.000
23.591,-8.564,-21.872,4.638,1.000
23.691,-8.851,-22.250,4.745,1.000
23.791,-9.144,-22.631,4.801,1.000
23.891,-9.635,-23.289,4.800,1.000
23.991,-9.934,-23.659,4.756,1.000
24.091,-10.240,-24.024,4.762,1.000
24.191,-10.550,-24.388,4.783,1.000
24.291,-10.864,-24.753,4.807,1.000
24.391,-11.181,-25.113,4.801,1.000
24.491,-11.505,-25.469,4.811,1.000
24.591,-11.837,-25.822,4.837,1.000
24.691,-12.179,-26.170,4.866,1.000
24.791,-12.522,-26.509,4.832,1.000
24.891,-13.057,-27.052,4.804,1.000
