t_s,x_m,y_m,v,k
13.095,0.081,-0.401,0.000,1.000
13.395,0.081,-0.401,0.000,1.000
13.995,0.081,-0.401,0.000,1.000
14.195,0.081,-0.401,0.000,1.000
14.295,0.081,-0.401,0.000,1.000
17.595,0.176,0.665,2.004,1.000
17.695,0.267,0.841,1.971,1.000
17.795,0.363,1.017,1.994,1.000
17.895,0.474,1.211,2.120,1.000
17.995,0.595,1.417,2.239,1.000
18.095,0.722,1.626,2.322,1.000
18.195,0.856,1.844,2.418,1.000
18.295,1.293,2.592,2.718,1.000
18.395,1.448,2.832,2.782,1.000
18.495,1.612,3.071,2.834,1.000
18.595,1.786,3.307,2.877,1.000
18.695,1.980,3.558,3.001,1.000
18.795,2.180,3.810,3.090,1.000
18.895,2.382,4.054,3.125,1.000
18.995,2.600,4.303,3.202,1.000
19.095,2.844,4.565,3.364,1.000
19.195,3.091,4.820,3.448,1.000
19.295,3.342,5.077,3.523,1.000
19.395,3.832,5.725,3.609,1.000
19.495,4.088,6.002,3.709,1.000
19.595,4.353,6.289,3.836,1.000
19.695,4.616,6.575,3.876,1.000
19.795,4.885,6.863,3.919,1.000
19.895,5.159,7.145,3.925,1.000
19.995,5.437,7.415,3.887,1.000
20.095,5.721,7.683,3.906,1.000
20.195,6.006,7.953,3.922,1.000
20.295,6.288,8.222,3.905,1.000
20.395,6.762,8.785,3.920,1.000
20.495,7.052,9.050,3.926,1.000
20.595,7.345,9.320,3.975,1.000
20.695,7.633,9.593,3.970,1.000
20.795,7.918,9.870,3.970,1.000
20.895,8.207,10.152,4.029,1.000
20.995,8.497,10.431,4.023,1.000
21.095,8.789,10.710,4.036,1.000
21.195,9.083,10.993,4.077,1.000
21.295,9.555,11.546,4.207,1.000
21.395,9.853,11.844,4.212,1.000
21.495,10.152,12.141,4.215,1.000
21.595,10.458,12.439,4.268,1.000
21.695,10.768,12.738,4.301,1.000
21.795,11.072,13.037,4.271,1.000
21.895,11.378,13.338,4.286,1.000
21.995,11.686,13.642,4.325,1.000
22.095,11.997,13.945,4.339,1.000
22.195,12.314,14.250,4.395,1.000
22.295,12.634,14.553,4.405,1.000
22.395,13.119,15.096,4.521,1.000
22.495,13.451,15.414,4.596,1.000
22.595,13.784,15.743,4.677,1.000
22.695,14.106,16.085,4.699,1.000
22.795,14.416,16.431,4.654,1.000
22.895,14.734,16.780,4.715,1.000
22.995,15.064,17.119,4.726,1.000
23.095,15.398,17.450,4.705,1.000
23.195,15.734,17.785,4.739,1.000
23.295,16.229,18.343,4.793,1.000
23.395,16.579,18.673,4.811,0.988
23.495,16.933,18.998,4.801,0.990
23.595,17.291,19.319,4.815,0.989
23.695,17.651,19.641,4.840,0.988
23.795,18.013,19.973,4.922,0.987
23.895,18.368,20.313,4.914,0.987
23.995,18.716,20.661,4.924,0.987
24.095,19.064,21.014,4.956,0.987
24.195,19.425,21.374,5.093,0.986
24.295,19.959,21.957,5.172,0.996
24.395,20.331,22.317,5.133,0.997
24.495,20.701,22.679,5.207,0.996
24.595,21.068,23.052,5.241,0.995
24.695,21.421,23.429,5.166,0.996
