t_s,x_m,y_m,v,k
13.194,0.159,-0.113,0.000,1.000
13.293,0.159,-0.113,0.000,1.000
13.793,0.159,-0.113,0.000,1.000
13.893,0.159,-0.113,0.000,1.000
17.593,-0.037,-0.035,1.011,1.000
17.694,-0.038,-0.206,1.280,1.000
17.794,0.081,-0.256,1.294,1.000
17.893,0.207,-0.306,1.332,1.000
17.994,0.339,-0.357,1.378,1.000
18.093,0.482,-0.413,1.457,1.000
18.194,0.639,-0.475,1.569,1.000
18.294,0.812,-0.546,1.703,1.000
18.393,0.990,-0.620,1.802,1.000
18.494,1.178,-0.696,1.892,1.000
18.593,1.378,-0.772,1.990,1.000
18.694,0.973,-1.220,2.134,1.000
18.794,0.859,-1.406,2.191,1.000
18.893,0.746,-1.602,2.242,1.000
18.994,0.636,-1.813,2.322,1.000
19.093,0.530,-2.038,2.406,1.000
19.194,0.432,-2.274,2.474,1.000
19.294,0.340,-2.525,2.562,1.000
19.393,0.253,-2.782,2.626,1.000
19.494,0.176,-3.048,2.688,1.000
19.593,0.105,-3.314,2.716,1.000
19.694,-0.361,-3.874,2.776,1.000
19.794,-0.452,-4.141,2.798,1.000
19.893,-0.559,-4.405,2.821,1.000
19.994,-0.683,-4.675,2.897,1.000
20.093,-0.812,-4.949,2.961,1.000
20.194,-0.945,-5.226,3.014,1.000
20.294,-1.081,-5.501,3.043,1.000
20.393,-1.229,-5.786,3.122,1.000
20.494,-1.382,-6.074,3.186,1.000
20.593,-1.537,-6.364,3.238,1.000
20.694,-2.003,-6.909,3.340,1.000
20.794,-2.159,-7.206,3.345,1.000
20.893,-2.317,-7.508,3.385,1.000
20.994,-2.474,-7.816,3.421,1.000
21.093,-2.630,-8.123,3.435,1.000
21.194,-2.792,-8.438,3.501,1.000
21.294,-2.954,-8.761,3.569,1.000
21.393,-3.117,-9.094,3.655,1.000
21.494,-3.279,-9.427,3.688,1.000
21.593,-3.442,-9.759,3.694,1.000
21.694,-3.859,-10.319,3.786,1.000
21.794,-4.037,-10.658,3.823,1.000
21.893,-4.226,-11.000,3.885,1.000
21.994,-4.419,-11.344,3.932,1.000
22.093,-4.614,-11.688,3.951,1.000
22.194,-4.810,-12.037,3.991,1.000
22.294,-5.009,-12.391,4.050,1.000
22.393,-5.213,-12.741,4.047,1.000
22.494,-5.423,-13.096,4.117,1.000
22.593,-5.633,-13.449,4.115,1.000
22.694,-6.039,-14.005,4.167,1.000
22.794,-6.248,-14.361,4.135,1.000
22.893,-6.464,-14.716,4.149,1.000
22.994,-6.683,-15.061,4.096,1.000
23.093,-6.906,-15.407,4.113,1.000
23.194,-7.132,-15.753,4.131,1.000
23.294,-7.359,-16.102,4.159,1.000
23.393,-7.588,-16.446,4.132,1.000
23.494,-7.824,-16.792,4.186,1.000
23.593,-8.063,-17.138,4.206,1.000
23.694,-8.478,-17.650,4.230,1.000
23.794,-8.732,-17.987,4.216,1.008
23.893,-8.996,-18.319,4.253,1.001
23.994,-9.264,-18.650,4.271,1.000
24.093,-9.538,-18.980,4.295,0.999
24.194,-9.816,-19.309,4.301,0.999
24.294,-10.096,-19.638,4.329,0.998
24.393,-10.377,-19.970,4.347,0.998
24.494,-10.660,-20.300,4.348,0.998
24.593,-10.951,-20.624,4.359,0.998
24.694,-11.448,-21.133,4.464,1.009
24.794,-11.764,-21.448,4.457,1.009
24.893,-12.088,-21.757,4.497,1.009
24.994,-12.419,-22.061,4.497,1.009
25.093,-12.758,-22.366,4.557,1.009
25.194,-13.100,-22.672,4.591,1.008
25.294,-13.448,-22.982,4.655,1.008
25.393,-13.798,-23.294,4.685,1.008
25.494,-14.153,-23.603,4.705,1.008
25.593,-14.512,-23.912,4.733,1.008
25.694,-15.096,-24.423,4.878,1.017
25.794,-15.475,-24.729,4.885,1.016
25.893,-15.859,-25.030,4.881,1.016
25.994,-16.249,-25.326,4.896,1.016
26.093,-16.647,-25.617,4.939,1.016
26.194,-17.048,-25.905,4.938,1.016
26.294,-17.444,-26.193,4.901,1.016
26.393,-17.836,-26.481,4.875,1.016
26.494,-18.236,-26.775,4.934,1.016
26.593,-18.638,-27.063,4.940,1.016
26.694,-19.225,-27.496,5.000,1.019
26.794,-19.654,-27.772,4.913,1.022
26.893,-20.073,-28.029,4.934,1.021
26.994,-20.497,-28.282,4.939,1.021
27.093,-20.926,-28.530,4.958,1.021
27.194,-21.354,-28.767,4.902,1.021
27.294,-21.789,-28.998,4.917,1.021
27.393,-22.224,-29.222,4.899,1.021
27.494,-22.666,-29.444,4.928,1.021
27.593,-23.095,-29.654,4.820,1.021
27.694,-23.726,-29.964,4.807,1.026
27.794,-24.164,-30.161,4.809,1.026
27.893,-24.606,-30.352,4.842,1.025
27.994,-25.047,-30.541,4.757,1.026
28.093,-25.486,-30.724,4.753,1.026
28.194,-25.918,-30.906,4.706,1.026
28.294,-26.362,-31.094,4.782,1.026
28.393,-26.791,-31.280,4.698,1.026
28.494,-27.221,-31.469,4.693,1.026
28.593,-27.655,-31.657,4.719,1.026
28.694,-28.279,-31.924,4.842,1.029
28.794,-28.736,-32.099,4.813,1.029
28.893,-29.188,-32.264,4.809,1.030
28.994,-29.642,-32.420,4.799,1.030
29.093,-30.103,-32.578,4.883,1.029
29.194,-30.564,-32.743,4.889,1.029
29.294,-31.022,-32.911,4.884,1.029
29.393,-31.477,-33.082,4.865,1.029
29.494,-31.943,-33.260,4.959,1.029
29.593,-32.409,-33.436,4.978,1.029
29.694,-33.086,-33.720,5.050,1.034
29.794,-33.560,-33.908,5.021,1.034
29.893,-34.023,-34.101,5.055,1.034
29.994,-34.486,-34.304,5.072,1.034
30.093,-34.947,-34.514,5.061,1.034
30.194,-35.407,-34.721,5.043,1.034
30.294,-35.872,-34.926,5.076,1.034
30.393,-36.346,-35.125,5.138,1.034
30.494,-36.823,-35.318,5.142,1.034
30.593,-37.303,-35.508,5.170,1.034
30.694,-37.788,-35.723,5.087,1.029
30.794,-38.249,-35.923,5.127,1.029
30.893,-38.718,-36.133,5.102,1.029
30.994,-39.185,-36.338,5.099,1.029
31.093,-39.652,-36.536,5.070,1.029
31.194,-40.127,-36.727,5.115,1.029
31.294,-40.609,-36.911,5.154,1.029
31.393,-41.094,-37.086,5.158,1.029
31.494,-41.573,-37.257,5.089,1.029
31.593,-42.057,-37.426,5.115,1.029
31.694,-42.541,-37.607,5.060,1.025
31.794,-43.018,-37.771,5.069,1.025
31.893,-43.499,-37.935,5.035,1.026
31.994,-43.979,-38.090,5.054,1.025
32.093,-44.461,-38.243,5.049,1.025
32.194,-44.943,-38.396,5.059,1.025
32.294,-45.421,-38.547,5.019,1.026
32.394,-45.897,-38.699,5.004,1.026
32.493,-46.375,-38.853,5.013,1.026
32.593,-46.853,-39.002,5.011,1.026
32.694,-47.418,-39.188,5.003,1.025
32.794,-47.899,-39.324,5.005,1.025
32.894,-48.381,-39.457,5.030,1.025
32.993,-48.865,-39.592,5.033,1.025
33.093,-49.351,-39.726,5.041,1.025
33.194,-49.837,-39.857,5.034,1.025
33.294,-50.322,-39.981,5.010,1.025
33.394,-50.805,-40.096,4.981,1.025
33.493,-51.294,-40.199,4.996,1.025
33.593,-51.786,-40.286,4.990,1.025
33.694,-52.303,-40.370,4.948,1.024
33.794,-52.800,-40.429,4.905,1.024
33.894,-53.289,-40.474,4.912,1.024
33.993,-53.782,-40.508,4.969,1.024
34.093,-54.275,-40.541,4.934,1.024
34.194,-54.769,-40.575,4.943,1.024
34.294,-55.260,-40.610,4.927,1.024
34.394,-55.758,-40.640,4.972,1.024
34.493,-56.257,-40.666,4.988,1.024
34.593,-56.752,-40.686,4.968,1.024
34.694,-57.189,-40.668,4.875,1.020
34.794,-57.672,-40.673,4.917,1.020
34.894,-58.164,-40.675,4.876,1.020
34.993,-58.650,-40.665,4.850,1.020
35.093,-59.131,-40.643,4.820,1.020
35.194,-59.614,-40.607,4.834,1.020
35.294,-60.091,-40.558,4.806,1.020
35.394,-60.562,-40.492,4.773,1.020
35.493,-61.028,-40.410,4.748,1.020
35.593,-61.493,-40.316,4.744,1.020
35.694,-61.938,-40.187,4.671,1.019
35.794,-62.382,-40.056,4.731,1.018
35.894,-62.833,-39.913,4.719,1.018
35.993,-63.278,-39.755,4.716,1.018
36.093,-63.715,-39.592,4.662,1.018
36.194,-64.154,-39.417,4.713,1.018
36.294,-64.587,-39.231,4.709,1.018
36.394,-65.010,-39.033,4.683,1.018
36.493,-65.419,-38.820,4.633,1.018
36.593,-65.828,-38.588,4.674,1.018
36.694,-66.276,-38.336,4.679,1.019
36.794,-66.662,-38.070,4.660,1.019
36.894,-67.035,-37.796,4.575,1.019
36.993,-67.384,-37.503,4.555,1.019
37.093,-67.723,-37.200,4.552,1.019
37.194,-68.058,-36.886,4.583,1.019
37.294,-68.381,-36.574,4.506,1.019
37.394,-68.714,-36.254,4.583,1.019
37.493,-69.041,-35.935,4.576,1.019
37.593,-69.367,-35.617,4.554,1.019
37.694,-69.704,-35.304,4.498,1.019
37.794,-70.051,-35.018,4.487,1.019
37.894,-70.406,-34.743,4.490,1.019
37.993,-70.771,-34.476,4.529,1.019
38.093,-71.140,-34.216,4.507,1.019
38.194,-71.511,-33.967,4.477,1.019
38.294,-71.894,-33.727,4.513,1.019
38.394,-72.288,-33.501,4.535,1.019
38.493,-72.692,-33.295,4.534,1.019
38.593,-73.107,-33.113,4.531,1.019
38.694,-73.395,-32.955,4.457,1.015
38.794,-73.821,-32.839,4.505,1.014
38.894,-74.263,-32.752,4.526,1.014
38.993,-74.711,-32.700,4.480,1.014
39.093,-75.157,-32.679,4.472,1.014
39.194,-75.606,-32.686,4.482,1.014
39.294,-76.059,-32.719,4.531,1.014
39.394,-76.507,-32.781,4.519,1.014
39.493,-76.952,-32.871,4.536,1.014
39.593,-77.391,-32.995,4.555,1.014
39.694,-77.896,-33.182,4.617,1.016
39.794,-78.324,-33.370,4.572,1.016
39.894,-78.727,-33.586,4.561,1.016
39.993,-79.113,-33.830,4.562,1.016
40.093,-79.481,-34.108,4.615,1.016
40.194,-79.821,-34.415,4.584,1.016
40.294,-80.134,-34.754,4.600,1.016
40.394,-80.424,-35.123,4.664,1.016
40.493,-80.686,-35.516,4.698,1.016
40.593,-80.927,-35.919,4.701,1.016
40.694,-81.220,-36.378,4.729,1.017
40.794,-81.458,-36.803,4.748,1.017
40.894,-81.636,-37.216,4.703,1.017
40.993,-81.822,-37.625,4.657,1.017
41.093,-82.024,-38.026,4.616,1.017
41.194,-82.259,-38.427,4.626,1.017
41.294,-82.510,-38.821,4.639,1.017
41.394,-82.770,-39.204,4.636,1.017
41.493,-83.042,-39.580,4.636,1.017
41.593,-83.337,-39.957,4.691,1.017
41.694,-83.620,-40.445,4.831,1.017
41.794,-83.961,-40.789,4.835,1.017
41.894,-84.316,-41.114,4.827,1.017
41.993,-84.680,-41.426,4.811,1.017
42.093,-85.057,-41.733,4.836,1.017
42.194,-85.449,-42.030,4.877,1.017
42.294,-85.859,-42.308,4.916,1.017
42.394,-86.286,-42.556,4.927,1.017
42.493,-86.728,-42.777,4.939,1.017
42.593,-87.193,-42.963,4.973,1.017
42.694,-87.713,-43.223,5.106,1.017
42.794,-88.196,-43.368,5.064,1.017
42.894,-88.682,-43.512,5.071,1.017
42.993,-89.176,-43.654,5.118,1.017
43.093,-89.675,-43.785,5.143,1.017
43.194,-90.177,-43.898,5.143,1.017
43.294,-90.692,-44.000,5.220,1.017
43.394,-91.210,-44.088,5.244,1.017
43.493,-91.744,-44.168,5.347,1.017
43.593,-92.274,-44.241,5.350,1.017
43.694,-92.856,-44.360,5.390,1.017
43.794,-93.392,-44.408,5.382,1.018
43.894,-93.931,-44.445,5.399,1.017
43.993,-94.469,-44.468,5.382,1.018
44.093,-95.006,-44.474,5.379,1.018
44.194,-95.545,-44.454,5.389,1.018
44.294,-96.084,-44.400,5.406,1.018
44.394,-96.618,-44.318,5.406,1.018
44.493,-97.150,-44.219,5.408,1.018
44.593,-97.684,-44.106,5.437,1.017
44.694,-98.265,-44.009,5.420,1.018
44.794,-98.789,-43.881,5.401,1.018
44.894,-99.310,-43.742,5.395,1.018
44.993,-99.839,-43.589,5.464,1.018
45.093,-100.354,-43.422,5.432,1.018
45.194,-100.861,-43.231,5.426,1.018
45.294,-101.357,-43.018,5.410,1.018
45.394,-101.849,-42.786,5.425,1.018
45.493,-102.329,-42.551,5.383,1.018
45.593,-102.805,-42.310,5.356,1.018
45.694,-103.311,-42.065,5.357,1.018
45.794,-103.789,-41.815,5.393,1.018
45.894,-104.263,-41.562,5.377,1.018
45.993,-104.730,-41.298,5.369,1.018
46.093,-105.186,-41.028,5.329,1.018
46.194,-105.650,-40.743,5.395,1.018
46.294,-106.101,-40.457,5.360,1.018
46.394,-106.543,-40.169,5.315,1.018
46.493,-106.985,-39.883,5.288,1.018
46.593,-107.430,-39.594,5.298,1.018
46.694,-107.883,-39.301,5.299,1.017
46.794,-108.324,-39.010,5.278,1.017
46.894,-108.751,-38.713,5.213,1.018
46.993,-109.169,-38.409,5.190,1.018
47.093,-109.584,-38.095,5.195,1.018
47.194,-109.988,-37.789,5.124,1.018
47.294,-110.391,-37.485,5.082,1.018
47.394,-110.798,-37.189,5.057,1.018
47.493,-111.221,-36.897,5.099,1.018
47.593,-111.647,-36.620,5.090,1.018
47.694,-112.071,-36.331,5.094,1.019
47.794,-112.500,-36.059,5.076,1.019
47.894,-112.927,-35.777,5.113,1.019
47.993,-113.345,-35.493,5.065,1.019
48.093,-113.758,-35.212,5.016,1.019
48.194,-114.173,-34.937,4.996,1.019
48.294,-114.598,-34.664,5.025,1.019
48.394,-115.028,-34.402,5.032,1.019
48.493,-115.460,-34.150,5.014,1.019
48.593,-115.889,-33.903,4.982,1.019
48.694,-116.337,-33.640,5.059,1.020
48.794,-116.774,-33.386,5.045,1.020
48.894,-117.213,-33.135,5.051,1.020
48.993,-117.653,-32.892,5.035,1.020
49.093,-118.102,-32.660,5.051,1.020
49.194,-118.558,-32.439,5.054,1.020
49.294,-119.021,-32.229,5.072,1.020
49.394,-119.485,-32.030,5.062,1.020
49.493,-119.959,-31.834,5.097,1.020
49.593,-120.432,-31.645,5.093,1.020
49.694,-120.906,-31.462,5.089,1.020
49.794,-121.365,-31.292,5.066,1.020
49.894,-121.839,-31.118,5.063,1.020
49.993,-122.305,-30.950,5.039,1.020
50.093,-122.777,-30.779,5.036,1.020
50.194,-123.242,-30.611,5.007,1.020
50.294,-123.712,-30.442,5.002,1.020
50.394,-124.179,-30.281,4.979,1.020
50.493,-124.656,-30.121,5.003,1.020
50.593,-125.123,-29.962,4.968,1.020
50.694,-125.592,-29.796,4.973,1.020
50.794,-126.050,-29.627,4.923,1.020
50.894,-126.516,-29.455,4.949,1.020
50.993,-126.984,-29.283,4.970,1.020
51.093,-127.451,-29.117,4.964,1.020
51.194,-127.912,-28.966,4.896,1.020
51.294,-128.382,-28.825,4.901,1.020
51.394,-128.853,-28.696,4.892,1.020
51.493,-129.323,-28.571,4.875,1.020
51.593,-129.788,-28.446,4.835,1.020
51.694,-130.257,-28.311,4.867,1.020
51.794,-130.732,-28.168,4.924,1.020
51.894,-131.194,-28.029,4.859,1.020
51.993,-131.651,-27.895,4.796,1.020
52.093,-132.119,-27.765,4.839,1.020
52.194,-132.595,-27.643,4.884,1.020
52.294,-133.064,-27.535,4.840,1.020
52.394,-133.536,-27.440,4.826,1.020
52.493,-134.008,-27.355,4.803,1.020
52.593,-134.487,-27.266,4.847,1.020
52.694,-134.956,-27.170,4.809,1.020
52.794,-135.424,-27.060,4.809,1.020
52.894,-135.889,-26.949,4.793,1.020
52.993,-136.360,-26.842,4.817,1.020
53.093,-136.837,-26.743,4.847,1.020
53.194,-137.310,-26.654,4.830,1.020
53.294,-137.778,-26.574,4.773,1.020
53.394,-138.252,-26.494,4.793,1.020
53.493,-138.717,-26.411,4.752,1.020
53.593,-139.192,-26.321,4.806,1.020
53.694,-139.653,-26.228,4.737,1.020
53.794,-140.121,-26.135,4.759,1.020
53.894,-140.590,-26.048,4.767,1.020
53.993,-141.068,-25.972,4.817,1.020
54.093,-141.540,-25.907,4.778,1.020
54.194,-142.015,-25.850,4.782,1.020
54.294,-142.489,-25.796,4.773,1.020
54.394,-142.970,-25.744,4.816,1.020
54.493,-143.438,-25.693,4.749,1.020
54.593,-143.908,-25.642,4.730,1.020
54.694,-144.381,-25.592,4.753,1.020
54.794,-144.857,-25.544,4.772,1.020
54.894,-145.334,-25.501,4.783,1.020
54.993,-145.808,-25.466,4.761,1.020
55.093,-146.278,-25.438,4.723,1.020
55.194,-146.753,-25.415,4.749,1.020
55.294,-147.222,-25.401,4.706,1.020
55.394,-147.688,-25.395,4.672,1.020
55.493,-148.150,-25.399,4.638,1.020
55.593,-148.614,-25.412,4.641,1.020
55.694,-149.075,-25.430,4.620,1.020
55.794,-149.532,-25.456,4.586,1.020
55.894,-149.982,-25.487,4.529,1.020
55.993,-150.435,-25.518,4.538,1.020
56.093,-150.888,-25.550,4.538,1.020
56.194,-151.342,-25.589,4.551,1.020
56.294,-151.784,-25.636,4.481,1.020
56.394,-152.224,-25.697,4.454,1.020
56.493,-152.661,-25.775,4.447,1.020
56.593,-153.099,-25.867,4.463,1.020
56.694,-153.529,-25.965,4.429,1.020
56.794,-153.963,-26.059,4.437,1.020
56.894,-154.402,-26.148,4.465,1.020
56.993,-154.845,-26.236,4.500,1.020
57.093,-155.281,-26.326,4.465,1.020
57.194,-155.715,-26.421,4.456,1.020
57.294,-156.149,-26.522,4.454,1.020
