t_s,x_m,y_m,v,k
13.496,0.186,-0.478,0.127,1.000
14.196,0.271,-0.477,0.001,1.000
14.496,0.271,-0.477,0.000,1.000
17.596,-0.027,0.478,2.445,1.000
17.696,0.206,0.503,2.314,1.000
17.796,0.435,0.522,2.296,1.000
17.896,0.666,0.533,2.306,1.000
17.996,0.903,0.536,2.343,1.000
18.096,1.144,0.536,2.374,1.000
18.196,1.387,0.536,2.400,1.000
18.296,1.651,0.537,2.503,1.000
18.396,1.867,1.343,2.630,1.000
18.496,1.975,1.589,2.668,1.000
18.596,2.086,1.843,2.730,1.000
18.696,2.195,2.103,2.776,1.000
18.796,2.314,2.373,2.854,1.000
18.896,2.442,2.641,2.905,1.000
18.996,2.580,2.904,2.934,1.000
19.096,2.738,3.183,3.044,1.000
19.196,2.898,3.459,3.103,1.000
19.296,3.060,3.735,3.143,1.000
19.396,3.284,4.593,3.223,1.000
19.496,3.459,4.870,3.248,1.000
19.596,3.644,5.147,3.295,1.000
19.696,3.839,5.433,3.376,1.000
19.796,4.028,5.719,3.402,1.000
19.896,4.214,6.013,3.438,1.000
19.996,4.401,6.311,3.474,1.000
20.096,4.585,6.610,3.495,1.000
20.196,4.762,6.902,3.453,1.000
20.296,4.941,7.206,3.491,1.000
20.396,5.196,7.913,3.464,1.000
20.496,5.361,8.225,3.509,1.000
20.596,5.520,8.537,3.501,1.000
20.696,5.678,8.840,3.449,1.000
20.796,5.846,9.137,3.430,1.000
20.896,6.030,9.438,3.487,1.000
20.996,6.222,9.730,3.490,1.000
21.096,6.428,10.027,3.557,1.000
21.196,6.636,10.315,3.558,1.000
21.296,6.854,10.613,3.635,1.000
21.396,7.225,11.228,3.768,1.000
21.496,7.461,11.530,3.812,1.000
21.596,7.708,11.825,3.839,1.000
21.696,7.965,12.111,3.842,1.000
21.796,8.230,12.395,3.871,1.000
21.896,8.509,12.688,3.972,1.000
21.996,8.782,12.974,3.961,1.000
22.096,9.052,13.261,3.949,1.000
22.196,9.320,13.544,3.919,1.000
22.296,9.592,13.833,3.948,1.000
22.396,10.027,14.353,3.995,1.000
22.496,10.297,14.645,3.975,1.000
22.596,10.562,14.942,3.985,1.000
22.696,10.827,15.250,4.031,1.000
22.796,11.089,15.558,4.041,1.000
22.896,11.353,15.869,4.065,1.000
22.996,11.624,16.184,4.120,1.000
23.096,11.901,16.504,4.198,1.000
23.196,12.174,16.825,4.203,1.000
23.296,12.442,17.144,4.179,1.000
23.396,12.878,17.624,4.230,1.000
23.496,13.151,17.950,4.249,1.000
23.596,13.417,18.276,4.218,1.000
23.696,13.680,18.600,4.183,1.000
23.796,13.942,18.923,4.163,1.000
23.896,14.204,19.246,4.158,1.000
23.996,14.457,19.568,4.110,1.000
24.096,14.707,19.896,4.119,1.000
24.196,14.959,20.223,4.128,1.000
24.296,15.215,20.546,4.124,1.000
24.396,15.667,20.929,4.117,1.000
24.496,15.968,21.211,4.123,1.000
24.596,16.275,21.492,4.154,1.000
24.696,16.577,21.770,4.114,1.000
24.796,16.871,22.053,4.086,1.000
24.896,17.160,22.349,4.126,1.000
24.996,17.445,22.653,4.161,1.000
25.096,17.732,22.956,4.171,1.000
25.196,18.021,23.247,4.116,1.000
25.296,18.320,23.532,4.127,1.000
25.396,18.773,23.883,4.174,1.000
25.496,19.079,24.155,4.093,1.000
25.596,19.378,24.427,4.046,1.000
25.696,19.679,24.707,4.106,1.000
25.796,19.983,24.998,4.202,1.000
25.896,20.279,25.291,4.168,1.000
25.996,20.567,25.587,4.135,1.000
26.096,20.852,25.885,4.125,1.000
26.196,21.144,26.190,4.211,1.000
26.296,21.438,26.492,4.213,1.000
26.396,21.861,26.858,4.210,1.000
26.496,22.160,27.158,4.235,1.000
26.596,22.462,27.464,4.295,1.000
26.696,22.758,27.773,4.280,1.000
26.796,23.051,28.088,4.297,1.000
26.896,23.336,28.409,4.298,1.000
26.996,23.616,28.738,4.315,1.000
27.096,23.888,29.076,4.334,1.000
27.196,24.151,29.421,4.339,1.000
27.296,24.411,29.772,4.358,1.000
27.396,24.772,30.197,4.378,1.000
27.496,25.021,30.550,4.336,1.000
27.596,25.271,30.904,4.336,1.000
27.696,25.524,31.261,4.362,1.000
27.796,25.776,31.616,4.357,1.000
27.896,26.025,31.974,4.355,1.000
27.996,26.269,32.336,4.366,1.000
28.096,26.508,32.704,4.379,1.000
28.196,26.743,33.074,4.383,1.000
28.296,26.976,33.440,4.354,1.000
28.396,27.288,33.864,4.307,1.000
28.496,27.522,34.229,4.327,1.000
28.596,27.760,34.591,4.329,1.000
28.696,27.998,34.948,4.305,1.000
28.796,28.233,35.305,4.288,1.000
28.896,28.464,35.664,4.273,1.000
28.996,28.692,36.026,4.276,1.000
29.096,28.914,36.387,4.258,1.000
29.196,29.131,36.748,4.225,1.000
29.296,29.342,37.107,4.193,1.000
29.396,29.611,37.531,4.188,1.000
29.496,29.823,37.892,4.188,1.000
29.596,30.039,38.247,4.161,1.000
29.696,30.257,38.594,4.118,1.000
29.796,30.473,38.936,4.065,1.000
29.896,30.684,39.279,4.036,1.000
29.996,30.894,39.630,4.080,1.000
30.096,31.101,39.977,4.050,1.000
30.196,31.311,40.324,4.052,1.000
30.296,31.516,40.662,3.987,1.000
30.396,31.767,41.077,4.015,1.000
30.496,31.965,41.425,4.008,1.000
30.596,32.159,41.768,3.964,1.000
30.696,32.347,42.109,3.913,1.000
30.796,32.538,42.453,3.926,1.000
30.896,32.731,42.792,3.913,1.000
30.996,32.929,43.133,3.927,1.000
31.096,33.126,43.469,3.908,1.000
31.196,33.324,43.803,3.891,1.000
31.296,33.524,44.141,3.920,1.000
31.396,33.773,44.557,3.961,1.000
31.496,33.964,44.896,3.904,1.000
31.596,34.144,45.242,3.897,1.000
31.696,34.314,45.591,3.886,1.000
31.796,34.477,45.941,3.870,1.000
31.896,34.638,46.294,3.872,1.000
31.996,34.800,46.643,3.857,1.000
32.096,34.964,46.997,3.893,1.000
32.196,35.126,47.355,3.920,1.000
32.296,35.284,47.717,3.939,1.000
32.396,35.486,48.166,3.967,1.000
32.496,35.636,48.537,3.995,1.000
32.596,35.775,48.906,3.954,1.000
32.696,35.902,49.282,3.965,1.000
32.796,36.020,49.665,4.001,1.000
32.896,36.139,50.062,4.103,1.000
32.996,36.254,50.452,4.073,1.000
33.096,36.370,50.844,4.087,1.000
33.196,36.488,51.236,4.088,1.000
33.296,36.610,51.637,4.169,1.000
33.396,36.780,52.130,4.176,1.000
33.496,36.908,52.521,4.128,1.000
33.596,37.040,52.912,4.128,1.000
33.696,37.174,53.312,4.193,1.000
33.796,37.310,53.704,4.166,1.000
33.896,37.451,54.101,4.199,1.000
33.996,37.602,54.502,4.251,1.000
34.096,37.759,54.902,4.281,1.000
34.196,37.920,55.300,4.288,1.000
34.296,38.083,55.697,4.293,1.000
34.396,38.292,56.201,4.346,1.000
34.496,38.467,56.604,4.380,1.000
34.596,38.650,56.994,4.331,1.000
