t_s,x_m,y_m,v,k
13.102,-0.008,0.008,0.000,1.000
13.202,-0.008,0.008,0.000,1.000
13.602,-0.008,0.008,0.000,1.000
13.902,-0.001,0.007,0.000,1.000
14.002,-0.001,0.007,0.000,1.000
17.602,0.009,0.006,0.000,1.000
17.702,0.009,0.006,0.000,1.000
17.802,0.009,0.006,0.000,1.000
17.902,0.011,0.007,0.000,1.000
18.002,0.011,0.007,0.000,1.000
18.102,0.011,0.007,0.000,1.000
18.202,0.011,0.007,0.000,1.000
18.302,0.011,0.007,0.004,1.000
18.402,0.011,0.007,0.002,1.000
18.502,0.011,0.007,0.011,1.000
18.602,0.011,0.007,0.042,1.000
18.702,0.011,0.007,0.079,1.000
18.802,0.011,0.007,0.105,1.000
18.902,0.012,0.006,0.088,1.000
19.002,0.012,0.006,0.102,1.000
19.102,0.012,0.006,0.107,1.000
19.202,0.012,0.006,0.125,1.000
19.302,0.012,0.006,0.108,1.000
19.402,0.012,0.006,0.092,1.000
19.502,0.012,0.006,0.115,1.000
19.602,0.012,0.006,0.118,1.000
19.702,0.012,0.006,0.111,1.000
19.802,0.012,0.006,0.135,1.000
19.902,0.012,0.006,0.163,1.000
20.002,0.012,0.006,0.184,1.000
20.102,0.012,0.006,0.214,1.000
20.202,0.012,0.006,0.293,1.000
20.302,0.012,0.006,0.359,1.000
20.402,0.012,0.006,0.447,1.000
20.502,0.012,0.006,0.469,1.000
20.602,0.012,0.006,0.564,1.000
20.702,0.012,0.006,0.635,1.000
20.802,0.130,-0.037,0.979,1.000
20.902,0.130,-0.037,1.035,1.000
21.002,0.130,-0.037,1.088,1.000
21.102,0.130,-0.037,1.140,1.000
21.202,0.130,-0.037,1.228,1.000
21.302,0.130,-0.037,1.277,1.000
21.402,0.130,-0.037,1.344,1.000
21.502,0.130,-0.037,1.416,1.000
21.602,0.130,-0.037,1.492,1.000
21.702,0.130,-0.037,1.560,1.000
21.802,0.130,-0.037,1.620,1.000
21.902,0.462,0.005,1.817,1.000
22.002,0.631,-0.063,1.831,1.000
22.102,0.805,-0.132,1.867,1.000
22.202,0.979,-0.202,1.873,1.000
22.302,1.157,-0.274,1.901,1.000
22.402,1.338,-0.346,1.923,1.000
22.502,1.520,-0.419,1.945,1.000
22.602,1.709,-0.495,1.988,1.000
22.702,1.899,-0.571,2.017,1.000
22.802,2.090,-0.648,2.033,1.000
22.902,2.740,-0.492,2.037,1.000
23.002,2.928,-0.567,2.030,1.000
23.102,3.119,-0.643,2.043,1.000
23.202,3.312,-0.721,2.067,1.000
23.302,3.496,-0.795,2.020,1.000
23.402,3.682,-0.869,2.011,1.000
23.502,3.872,-0.945,2.026,1.000
23.602,4.066,-1.023,2.063,1.000
23.702,4.264,-1.103,2.102,1.000
23.802,4.944,-0.702,2.107,1.000
23.902,5.139,-0.780,2.104,1.000
24.002,5.345,-0.862,2.172,1.000
24.102,5.554,-0.946,2.222,1.000
24.202,5.767,-1.032,2.263,1.000
24.302,5.992,-1.122,2.356,1.000
24.402,6.223,-1.215,2.439,1.000
24.502,6.456,-1.308,2.485,1.000
24.602,6.693,-1.403,2.525,1.000
24.702,6.937,-1.501,2.591,1.000
24.802,7.469,-1.628,2.726,1.000
24.902,7.722,-1.729,2.725,1.000
25.002,7.975,-1.831,2.726,1.000
25.102,8.229,-1.932,2.731,1.000
25.202,8.486,-2.035,2.758,1.000
25.302,8.745,-2.139,2.776,1.000
25.402,9.002,-2.242,2.776,1.000
25.502,9.273,-2.351,2.868,1.000
25.602,9.547,-2.461,2.918,1.000
25.702,9.830,-2.574,3.008,1.000
25.802,10.112,-2.688,3.029,1.000
25.902,10.504,-3.257,3.165,1.000
26.002,10.800,-3.375,3.179,1.000
26.102,11.098,-3.494,3.203,1.000
26.202,11.404,-3.617,3.281,1.000
26.302,11.716,-3.742,3.344,1.000
26.402,12.023,-3.865,3.312,1.000
26.502,12.334,-3.990,3.345,1.000
26.602,12.641,-4.114,3.319,1.000
26.702,12.955,-4.239,3.369,1.000
26.802,13.268,-4.365,3.374,1.000
26.902,13.706,-4.835,3.423,1.000
27.002,14.025,-4.963,3.433,1.000
27.102,14.355,-5.095,3.532,1.000
27.202,14.689,-5.229,3.580,1.000
27.302,15.028,-5.365,3.634,1.000
27.402,15.368,-5.501,3.656,1.000
27.502,15.719,-5.642,3.751,1.000
27.602,16.072,-5.784,3.798,1.000
27.702,16.431,-5.928,3.851,1.000
27.802,16.796,-6.074,3.916,1.000
27.902,17.367,-6.294,3.894,1.000
28.002,17.729,-6.439,3.902,1.000
28.102,18.083,-6.581,3.833,1.000
28.202,18.437,-6.723,3.816,1.000
28.302,18.795,-6.867,3.851,1.000
28.402,19.155,-7.011,3.870,1.000
28.502,19.519,-7.157,3.911,1.000
28.602,19.884,-7.304,3.925,1.000
28.702,20.247,-7.449,3.912,1.000
28.802,20.858,-7.532,3.974,1.000
28.902,21.229,-7.681,3.998,1.000
29.002,21.605,-7.831,4.034,1.000
29.102,21.978,-7.981,4.029,1.000
29.202,22.355,-8.132,4.044,1.000
29.302,22.735,-8.284,4.078,1.000
29.402,23.115,-8.437,4.093,1.000
29.502,23.490,-8.588,4.059,1.000
29.602,23.880,-8.744,4.146,1.000
29.702,24.254,-8.894,4.073,1.000
29.802,24.639,-9.048,4.119,1.000
29.902,25.165,-9.357,4.133,1.000
30.002,25.546,-9.509,4.114,1.000
30.102,25.929,-9.663,4.121,1.000
30.202,26.310,-9.816,4.113,1.000
30.302,26.692,-9.969,4.113,1.000
30.402,27.083,-10.126,4.170,1.000
30.502,27.475,-10.283,4.200,1.000
30.602,27.876,-10.444,4.268,1.000
30.702,28.275,-10.604,4.286,1.000
30.802,28.866,-10.856,4.390,1.000
30.902,29.273,-11.019,4.388,1.000
31.002,29.681,-11.183,4.392,1.000
31.102,30.090,-11.347,4.402,1.000
31.202,30.499,-11.511,4.405,1.000
31.302,30.904,-11.674,4.385,1.000
31.402,31.321,-11.841,4.431,1.000
31.502,31.740,-12.009,4.469,1.000
31.602,32.160,-12.177,4.497,1.000
31.702,32.583,-12.347,4.526,1.000
31.802,33.009,-12.518,4.552,1.000
31.902,33.683,-12.649,4.644,1.000
32.002,34.106,-12.819,4.602,1.000
32.102,34.544,-12.995,4.658,1.000
32.202,34.976,-13.168,4.655,1.000
32.302,35.415,-13.344,4.692,1.000
32.402,35.847,-13.517,4.675,1.000
32.502,36.282,-13.692,4.680,1.000
32.602,36.725,-13.870,4.722,1.000
32.702,37.165,-14.046,4.729,1.000
32.802,37.606,-14.223,4.736,1.000
32.902,38.319,-14.324,4.833,1.000
33.002,38.766,-14.503,4.826,1.000
33.102,39.212,-14.682,4.819,1.000
33.202,39.648,-14.857,4.760,1.000
33.302,40.082,-15.031,4.722,1.000
33.402,40.523,-15.208,4.737,1.000
33.502,40.953,-15.381,4.694,1.000
33.602,41.395,-15.558,4.723,1.000
33.702,41.842,-15.737,4.759,1.000
33.802,42.295,-15.919,4.809,1.000
33.902,42.964,-16.116,4.897,1.000
34.002,43.406,-16.293,4.833,1.000
