t_s,x_m,y_m,v,k
13.194,-0.000,-0.006,0.000,1.000
13.694,0.002,-0.007,0.000,1.000
13.994,0.002,-0.007,0.000,1.000
14.394,0.008,-0.003,0.000,1.000
17.594,0.197,-0.220,1.530,1.000
17.694,0.197,-0.220,1.501,1.000
17.794,0.197,-0.220,1.488,1.000
17.894,0.197,-0.220,1.505,1.000
17.994,0.197,-0.220,1.524,1.000
18.094,0.197,-0.220,1.572,1.000
18.194,0.197,-0.220,1.600,1.000
18.294,0.080,-1.060,1.680,1.000
18.394,0.080,-1.060,1.681,1.000
18.494,0.080,-1.060,1.712,1.000
18.594,0.080,-1.060,1.717,1.000
18.694,0.080,-1.060,1.755,1.000
18.794,0.080,-1.060,1.771,1.000
18.894,0.080,-1.060,1.830,1.000
18.994,0.080,-1.060,1.843,1.000
19.094,0.080,-1.060,1.903,1.000
19.194,0.080,-1.060,1.905,1.000
19.294,-0.021,-1.428,1.839,1.000
19.394,-0.089,-1.599,1.844,1.000
19.494,-0.160,-1.775,1.882,1.000
19.594,-0.231,-1.950,1.888,1.000
19.694,-0.303,-2.130,1.912,1.000
19.794,-0.372,-2.302,1.885,1.000
19.894,-0.442,-2.476,1.883,1.000
19.994,-0.508,-2.641,1.848,1.000
20.094,-0.575,-2.808,1.831,1.000
20.194,-0.638,-2.964,1.783,1.000
20.294,-0.605,-3.511,1.653,1.000
20.394,-0.666,-3.662,1.642,1.000
20.494,-0.728,-3.817,1.651,1.000
20.594,-0.790,-3.970,1.652,1.000
20.694,-0.850,-4.122,1.646,1.000
20.794,-0.915,-4.283,1.674,1.000
20.894,-0.981,-4.446,1.699,1.000
20.994,-1.046,-4.608,1.712,1.000
21.094,-1.110,-4.768,1.714,1.000
21.194,-1.175,-4.929,1.721,1.000
21.294,-1.417,-5.315,1.701,1.000
21.394,-1.482,-5.477,1.717,1.000
21.494,-1.545,-5.635,1.710,1.000
21.594,-1.611,-5.799,1.727,1.000
21.694,-1.675,-5.958,1.725,1.000
